source	target
P68431	Q8WW12
P68431	Q96PU4
Q9HCE1	Q9NP66
Q9HCE1	Q9HD26
Q9HCE1	Q9NX40
Q15427	Q9Y5L4
Q15427	Q15637
Q15427	Q86VP6
Q15427	Q96RT1
P12830	P18031
P12830	Q14258
P12830	Q9NRY6
P12830	P68431
P12830	Q96RT1
P12830	Q00987
P07900	Q05655
P07900	Q9Y6K9
P07900	Q9H553
P07900	Q6P1K2
P07900	Q00987
P07900	Q9P1W9
P07900	Q7Z6Z7
P07900	Q9UBU9
P07900	Q13131
P07900	Q86VP6
P07900	Q14258
P07900	P55072
P07900	Q9BYM8
P07900	P12830
P17980	Q9HCE1
P17980	P54253
P17980	Q00987
P17980	Q9UBU9
P17980	Q9BQD3
P17980	P63279
P17980	Q7Z6Z7
P63279	Q8WVV9
P63279	Q9UKT9
P63279	Q15645
P63279	Q15427
P63279	Q96PU4
P63279	Q92754
P63279	Q00987
P63279	Q9UBU9
Q15717	Q92754
Q15717	Q9NP66
Q15717	Q86VP6
Q15717	Q9Y5L4
Q15717	Q8WW12
Q15717	Q8N4V1
Q15717	Q9NX40
Q15717	Q9BQ65
Q14258	Q15427
Q14258	Q92734
Q14258	Q15007
Q14258	Q15645
Q14258	Q7Z6Z7
Q14258	Q86VP6
Q14258	Q9UHL9
Q14258	Q9NP66
Q14258	Q6P1K2
Q14258	Q9UKT9
Q14258	Q15717
Q14258	Q9BYM8
Q14258	Q5VTB9
Q9HD26	Q9UBU9
Q86VP6	Q92734
Q86VP6	Q9HCE1
Q86VP6	Q8WW12
Q86VP6	Q9Y5L4
Q86VP6	Q9UBU9
Q05655	Q15717
Q05655	Q9NRY6
Q92734	Q9Y6K9
Q92734	Q93062
Q16666	Q9UBU9
Q16666	Q9HCE1
Q16666	Q7Z6Z7
Q16666	Q92734
P35226	P51784
P35226	Q96PU4
P35226	Q8WW12
P35226	P68431
P35226	Q15717
P35226	Q9HCE1
P35226	Q14258
P35226	Q9UBU9
P35226	P63279
Q7Z6Z7	Q8WW12
P55072	Q15717
P55072	Q7Z6Z7
P55072	Q14258
P55072	Q00987
P55072	Q05655
P55072	Q9GZZ9
P55072	Q13131
P55072	Q14129
Q15006	Q8N4V1
Q15006	Q9UKT9
Q15006	Q8WW12
Q15006	Q15637
Q9H553	Q9NRY6
Q00987	Q96PU4
Q00987	Q16666
Q00987	Q14258
Q00987	Q9NYB0
Q00987	Q9P1W9
Q92754	Q9NRY6
Q9NX40	Q9UBU9
P51784	Q86VP6
P51784	Q9HCE1
P51784	Q9UBU9
P51784	Q8WW12
P51784	Q14258
Q9BYM8	Q9Y6K9
Q15637	Q8WW12
Q15637	Q93062
P27986	Q9UKT9
P27986	Q9NQZ6
Q96PU4	Q9BYM8
Q6P1W5	Q93062
Q6P1W5	Q8N9W6
P02545	Q9HCE1
P02545	Q8WW12
P02545	P12830
P02545	Q9UBU9
P02545	Q15637
P02545	P68431
P02545	P05412
P02545	Q15717
P02545	P55072
P02545	P63279
P02545	Q9ULM2
P02545	P35226
P02545	Q14258
P05067	Q14258
P05067	Q8N4V1
P05067	P05412
P05067	Q03154
P05067	Q9BSJ6
P05067	P07900
P05067	Q00987
P05067	Q5KU26
P05067	Q8N4H5
P05067	Q9BYM8
P05067	Q05655
P05067	P63279
P05067	Q16666
P05067	Q14129
Q15645	Q93062
Q15645	Q9NRY6
P54253	Q8WVV9
P54253	Q6P1W5
P54253	P68431
P54253	Q96PU4
P54253	P63279
P54253	Q15637
P54253	P55072
P54253	Q93062
P54253	Q9P1W9
Q5VTB9	Q9NQZ6
Q5VTB9	Q9HD26
Q5KU26	Q9NQZ6
P05412	P63279
P05412	Q15007
P05412	Q9UBU9
P05412	Q9NYB0
P05412	Q15717
P05412	Q9HCE1
P05412	Q15637
P05412	Q9Y6K9
P05412	Q9HD26
P05412	P18031
P05412	Q15427
P05412	P07900
P05412	P17980
P05412	P55072
P05412	Q00987
P05412	P51784
P05412	Q14258
P05412	Q86VP6
Q8WW12	Q9NYB0
Q8WW12	Q9UBU9
Q8WW12	Q96RT1
Q8WW12	Q96PU4
Q8WW12	Q9HCE1
P18031	Q15645
P18031	Q8WW12
Q13131	Q9UKT9
Q13131	Q15717
Q13131	Q96JM7
Q13131	Q8N1B4
Q13131	Q93062
Q8N4V1	Q8WW12
Q03154	Q8N9W6
Q8N4H5	Q9NX40
Q8N4H5	Q9BQ65
Q14129	Q9UKT9
Q14129	Q6P1W5
Q14129	Q9NQZ6
Q14129	Q9GZV8
Q8WVV9	Q93062
Q8N1B4	Q9BSJ6
Q86VS8	Q9NQZ6
Q86TW2	Q9HCE1
Q86TW2	Q8N4H5
Q86TW2	Q9UBU9
Q15007	Q15717
Q15007	Q16666
Q15007	Q8N1B4
Q6P1K2	Q9NQZ6
Q9NP66	Q9NQZ6
O96006	P63279
O96006	Q13131
O96006	Q14129
Q9BQD3	Q9NQZ6
Q8N302	Q9UBU9
Q8N302	Q9HCE1
Q8N302	Q9NQZ6
Q9P1W9	Q9Y5L4
Q9P1W9	Q9Y6K9
P15622	Q9BQ66
P15622	Q9NQZ6
Q8NEC5	Q9BQ66
Q8NEC5	Q9NRY6
Q86Y33	Q8N9W6
Q86Y33	Q9GZZ9
P07307	P18031
P0C7P0	Q8N4H5
P84101	Q8N9W6
P84101	Q93062
O75340	Q9NRY6
O75340	Q14258
O75340	Q86VP6
O75340	Q9HCE1
O75340	P55072
O75340	Q9UBU9
O43542	Q8WW12
O43542	Q96RT1
O43542	Q14258
O43542	Q9Y5L4
O43542	P05067
O43542	Q8N302
Q96C55	Q9NQZ6
Q9NQZ6	Q9UHL9
Q9NQZ6	Q9ULM2
Q9NQZ6	Q9UK11
O75716	Q9NRY6
O75716	Q9UKT9
O00308	P63279
O00308	Q9UBU9
O00308	P0C7X2
O00308	Q9HCE1
O00308	Q15637
P0C7X2	Q9NQZ6
P48146	Q8N9W6
O60504	O96006
O60504	Q9NQZ6
Q8N9W6	Q93062
Q8N9W6	Q9NQZ3
Q8N9W6	Q8WVV9
Q8N9W6	Q9GZZ9
Q8N9W6	Q92734
O95273	P05412
O95273	Q9BSJ6
O95273	Q9ULM2
O15162	Q92734
O15162	P05067
O15162	Q8NEC5
O15162	O75716
O15162	P0C7X2
O15162	Q9BQ66
O15162	P12830
O15162	Q9NRY6
O15162	Q15637
O15162	Q05655
Q66K41	Q8N9W6
Q66K41	Q93062
O43251	P55072
O43251	Q14258
O43251	Q15717
O43251	P54253
O43251	Q93062
O43251	P35226
O43251	Q6P1W5
O43251	Q8N9W6
O00159	Q8WW12
O00159	P05412
O00159	Q9Y6K9
O00159	P02545
O00159	Q8N302
O00159	Q9Y5L4
A0A1B0GUU1	Q93062
A0A1B0GUU1	Q8N9W6
A0A024R5S0	Q8N9W6
A0A024R5S0	Q93062
