name	submodule	is_seed	spd	component_id
Q15427	2	1	0.008849557522123894	0
Q9P1W9	2	1	0.05	0
Q92917	2	0	0.06666666666666667	0
Q6P2Q9	2	0	0.011428571428571429	0
Q8N9W6	3	1	0.2	1
O15162	3	1	0.06666666666666667	1
Q9UHH9	3	0	0.09090909090909091	1
Q00587	3	0	0.07142857142857142	1
P54259	3	0	0.031578947368421054	1
O60269	3	0	0.1111111111111111	1
Q8N9H8	3	0	0.3333333333333333	1
P51828	3	0	0.3333333333333333	1
Q15077	3	0	1.0	1
O43251	3	0	0.023255813953488372	1
O00308	6	1	0.018292682926829267	1
P51795	6	0	0.1	1
Q6IAN0	6	0	0.058823529411764705	1
P17980	5	1	0.011235955056179775	2
Q8NE28	5	0	0.25	2
P28566	5	0	0.25	2
Q9BSJ6	1	1	0.03333333333333333	3
Q9NQZ6	1	1	0.07142857142857142	3
O95273	1	1	0.07894736842105263	3
Q9P2Z0	1	0	0.16666666666666666	3
Q15973	1	0	0.125	3
Q9ULM2	1	0	0.10526315789473684	3
Q9BYI3	1	0	0.1111111111111111	3
Q8NEP9	1	0	0.2	3
Q15007	4	1	0.038461538461538464	4
Q8N7E2	4	0	0.2	4
