name	connected_components_id	isSeed	nrOfOccurrences	significance	trees	is_seed	spd	component_id
Q8N9W6	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.5	0
Q8N4H5	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.2	0
O00308	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.03468208092485549	0
Q9GZV8	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.25	0
Q96JM7	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.2682926829268293	0
Q9BYM8	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.057971014492753624	0
P17980	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.05027932960893855	0
O95273	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.05405405405405406	0
Q9P1W9	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.45	0
O15162	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.02857142857142857	0
Q15007	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.07407407407407407	0
Q16666	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.03282828282828283	0
Q8WW12	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.5625	0
Q15427	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.07079646017699115	0
P55072	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.034926470588235295	0
Q9HD26	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.01904761904761905	0
Q9NQZ6	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.3333333333333333	0
O96006	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.2894736842105263	0
Q9BSJ6	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.10344827586206896	0
Q92569	0	0	3	0.1	8,10,22	0	0.01834862385321101	0
P45984	0	0	3	0.1	3,17,29	0	0.017857142857142856	0
P07602	0	0	3	0.1	4,13,24	0	0.046511627906976744	0
Q9HCN4	0	0	3	0.1	6,16,27	0	0.03571428571428571	0
Q9Y2J4	0	0	3	0.1	7,14,25	0	0.029850746268656716	0
Q96PU4	0	0	4	0.13333333333333333	3,8,17,26	0	0.023529411764705882	0
Q02535	0	0	3	0.1	4,15,25	0	0.058823529411764705	0
Q8N653	0	0	3	0.1	5,13,25	0	0.03508771929824561	0
P08238	0	0	3	0.1	6,15,24	0	0.003436426116838488	0
Q92734	0	0	10	0.3333333333333333	2,4,7,10,13,16,19,22,25,28	0	0.02586206896551724	0
P52948	0	0	4	0.13333333333333333	2,9,18,27	0	0.02666666666666667	0
P05067	0	0	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	0	0.0029308323563892145	0
P98175	0	0	3	0.1	3,12,22	0	0.023809523809523808	0
Q7Z6Z7	0	0	4	0.13333333333333333	2,9,18,27	0	0.009411764705882352	0
Q9ULM2	0	0	7	0.23333333333333334	1,4,9,14,19,24,29	0	0.10526315789473684	0
Q15717	0	0	4	0.13333333333333333	4,11,20,29	0	0.001869158878504673	0
P25786	0	0	4	0.13333333333333333	0,8,18,28	0	0.01675977653631285	0
O75928	0	0	3	0.1	0,10,21	0	0.0273972602739726	0
O95429	0	0	4	0.13333333333333333	0,9,19,29	0	0.024691358024691357	0
Q9UBY9	0	0	3	0.1	2,17,27	0	0.16666666666666666	0
Q9Y5L4	0	0	3	0.1	4,12,21	0	0.03076923076923077	0
Q9Y6K9	0	0	4	0.13333333333333333	3,8,17,26	0	0.005333333333333333	0
O96017	0	0	3	0.1	6,11,21	0	0.015625	0
P63279	0	0	3	0.1	0,18,29	0	0.004761904761904762	0
O60341	0	0	3	0.1	2,9,20	0	0.01090909090909091	0
Q86VP6	0	0	3	0.1	1,15,24	0	0.003484320557491289	0
P0C7X2	0	0	6	0.2	0,7,12,17,22,27	0	0.06521739130434782	0
P61956	0	0	3	0.1	5,17,28	0	0.009523809523809525	0
Q15637	0	0	3	0.1	5,13,22	0	0.013513513513513514	0
P62714	0	0	3	0.1	1,16,28	0	0.017857142857142856	0
O43251	0	0	10	0.3333333333333333	0,5,8,11,14,17,20,23,26,29	0	0.022988505747126436	0
O75815	0	0	3	0.1	7,14,24	0	0.014084507042253521	0
Q01094	0	0	3	0.1	0,15,27	0	0.015625	0
Q92934	0	0	3	0.1	5,13,22	0	0.04	0
Q6DKK2	0	0	3	0.1	2,14,26	0	0.05263157894736842	0
Q9HCE1	0	0	3	0.1	6,14,23	0	0.004395604395604396	0
P31942	0	0	4	0.13333333333333333	1,11,20,29	0	0.019801980198019802	0
P02545	0	0	3	0.1	5,12,21	0	0.0037105751391465678	0
Q00987	0	0	3	0.1	0,14,23	0	0.00398406374501992	0
P27361	0	0	3	0.1	7,11,23	0	0.00881057268722467	0
P07900	0	0	4	0.13333333333333333	2,10,19,28	0	0.002936857562408223	0
Q5VTB9	0	0	6	0.2	0,8,13,18,23,28	0	0.14285714285714285	0
Q9H8W4	0	0	3	0.1	5,10,20	0	0.03508771929824561	0
Q14BN4	0	0	3	0.1	1,16,26	0	0.037037037037037035	0
O60504	0	0	6	0.2	2,5,10,15,20,25	0	0.034482758620689655	0
Q9GZZ9	0	0	10	0.3333333333333333	1,3,6,9,12,15,18,21,24,27	0	0.02531645569620253	0
Q9BQD3	0	0	6	0.2	3,6,11,16,21,26	0	0.05555555555555555	0
Q9BQE3	0	0	3	0.1	6,12,24	0	0.00980392156862745	0
Q6IQ23	0	0	3	0.1	3,12,23	0	0.003430531732418525	0
Q96RT1	0	0	4	0.13333333333333333	0,10,19,28	0	0.014598540145985401	0
Q15022	0	0	3	0.1	3,13,23	0	0.00964630225080386	0
P54253	0	0	4	0.13333333333333333	1,7,16,25	0	0.013636363636363636	0
Q9Y5K5	0	0	3	0.1	7,15,26	0	0.012195121951219513	0
Q13131	0	0	3	0.1	8,11,22	0	0.017543859649122806	0
Q9UBU9	0	0	4	0.13333333333333333	1,7,16,25	0	0.003952569169960474	0
