Module_id	drugstone_link	link_raw
Uncharacterized.salivary_gland.robust	<a href=https://drugst.one/?id=572c9057bdf54c79a8b96af2de7768c7>Uncharacterized.salivary_gland.robust</a>	https://drugst.one/?id=572c9057bdf54c79a8b96af2de7768c7
Uncharacterized.dorsal_root_ganglia.diamond	<a href=https://drugst.one/?id=d8aa8c3424c345869baa5b82cbe59e4c>Uncharacterized.dorsal_root_ganglia.diamond</a>	https://drugst.one/?id=d8aa8c3424c345869baa5b82cbe59e4c
Uncharacterized.brain.no_tool	<a href=https://drugst.one/?id=720b6a98377f4f0491df5af5c0f977e0>Uncharacterized.brain.no_tool</a>	https://drugst.one/?id=720b6a98377f4f0491df5af5c0f977e0
Uncharacterized.hypothalamus.robust_bias_aware	<a href=https://drugst.one/?id=1cff933f18a94d94b3865cea30e120f0>Uncharacterized.hypothalamus.robust_bias_aware</a>	https://drugst.one/?id=1cff933f18a94d94b3865cea30e120f0
Uncharacterized.brain.rwr	<a href=https://drugst.one/?id=29bbd984beb64c86b3b127d80f6c605e>Uncharacterized.brain.rwr</a>	https://drugst.one/?id=29bbd984beb64c86b3b127d80f6c605e
Uncharacterized.uniprot_ppi.diamond	<a href=https://drugst.one/?id=ea3db9a6a0664dee93d7cfd403bd3441>Uncharacterized.uniprot_ppi.diamond</a>	https://drugst.one/?id=ea3db9a6a0664dee93d7cfd403bd3441
Uncharacterized.brain.robust	<a href=https://drugst.one/?id=ff4d3207bf3c46fc9d73df1b78624b62>Uncharacterized.brain.robust</a>	https://drugst.one/?id=ff4d3207bf3c46fc9d73df1b78624b62
Uncharacterized.hypothalamus.diamond	<a href=https://drugst.one/?id=f1ef99ec1bda4adf96e9866c59964c5d>Uncharacterized.hypothalamus.diamond</a>	https://drugst.one/?id=f1ef99ec1bda4adf96e9866c59964c5d
Uncharacterized.brain.diamond	<a href=https://drugst.one/?id=238eaac16ecd4d52b2462ff8728cb483>Uncharacterized.brain.diamond</a>	https://drugst.one/?id=238eaac16ecd4d52b2462ff8728cb483
Uncharacterized.salivary_gland.rwr	<a href=https://drugst.one/?id=f48057ce76294594bb547248c7aa20f3>Uncharacterized.salivary_gland.rwr</a>	https://drugst.one/?id=f48057ce76294594bb547248c7aa20f3
Uncharacterized.amygdala.diamond	<a href=https://drugst.one/?id=b54b9b74bc2e43aeaaf37ed50ae2915c>Uncharacterized.amygdala.diamond</a>	https://drugst.one/?id=b54b9b74bc2e43aeaaf37ed50ae2915c
Uncharacterized.dorsal_root_ganglia.robust	<a href=https://drugst.one/?id=3d8ea37940d245e4b758fe440e6c4f0a>Uncharacterized.dorsal_root_ganglia.robust</a>	https://drugst.one/?id=3d8ea37940d245e4b758fe440e6c4f0a
Uncharacterized.hypothalamus.rwr	<a href=https://drugst.one/?id=028e9494e1394a20bf72404e63756457>Uncharacterized.hypothalamus.rwr</a>	https://drugst.one/?id=028e9494e1394a20bf72404e63756457
Uncharacterized.amygdala.no_tool	<a href=https://drugst.one/?id=a4b17f5d3837459fbd5ee18d07d6d7e7>Uncharacterized.amygdala.no_tool</a>	https://drugst.one/?id=a4b17f5d3837459fbd5ee18d07d6d7e7
Uncharacterized.brain.domino	<a href=https://drugst.one/?id=99f9815c736d4ecd975f692d03735d7e>Uncharacterized.brain.domino</a>	https://drugst.one/?id=99f9815c736d4ecd975f692d03735d7e
Uncharacterized.hypothalamus.robust	<a href=https://drugst.one/?id=c8307c9dff9040a080623c6c446aa36f>Uncharacterized.hypothalamus.robust</a>	https://drugst.one/?id=c8307c9dff9040a080623c6c446aa36f
Uncharacterized.amygdala.robust	<a href=https://drugst.one/?id=ad0386cad1454b31b32e3dead45c140c>Uncharacterized.amygdala.robust</a>	https://drugst.one/?id=ad0386cad1454b31b32e3dead45c140c
Uncharacterized.uniprot_ppi.robust	<a href=https://drugst.one/?id=0b2f3515410a4199922b5bb25a13ef29>Uncharacterized.uniprot_ppi.robust</a>	https://drugst.one/?id=0b2f3515410a4199922b5bb25a13ef29
Uncharacterized.dorsal_root_ganglia.rwr	<a href=https://drugst.one/?id=4dd52ebd073143e7867ad06b109d435d>Uncharacterized.dorsal_root_ganglia.rwr</a>	https://drugst.one/?id=4dd52ebd073143e7867ad06b109d435d
Uncharacterized.amygdala.rwr	<a href=https://drugst.one/?id=179793bc05024c7b8af77e8c549d7d1d>Uncharacterized.amygdala.rwr</a>	https://drugst.one/?id=179793bc05024c7b8af77e8c549d7d1d
Uncharacterized.uniprot_ppi.rwr	<a href=https://drugst.one/?id=0e61e3f142a546c696d54cdaeb40bace>Uncharacterized.uniprot_ppi.rwr</a>	https://drugst.one/?id=0e61e3f142a546c696d54cdaeb40bace
Uncharacterized.salivary_gland.robust_bias_aware	<a href=https://drugst.one/?id=60c6030fb3704561a5cfd7152ad858ec>Uncharacterized.salivary_gland.robust_bias_aware</a>	https://drugst.one/?id=60c6030fb3704561a5cfd7152ad858ec
Uncharacterized.dorsal_root_ganglia.robust_bias_aware	<a href=https://drugst.one/?id=d81d661dc61f459f8a98f96cbdf53e09>Uncharacterized.dorsal_root_ganglia.robust_bias_aware</a>	https://drugst.one/?id=d81d661dc61f459f8a98f96cbdf53e09
Uncharacterized.hypothalamus.no_tool	<a href=https://drugst.one/?id=c3f67877465e41558722de350a57e751>Uncharacterized.hypothalamus.no_tool</a>	https://drugst.one/?id=c3f67877465e41558722de350a57e751
Uncharacterized.uniprot_ppi.no_tool	<a href=https://drugst.one/?id=e790516620a24c6bb417310a33128f4b>Uncharacterized.uniprot_ppi.no_tool</a>	https://drugst.one/?id=e790516620a24c6bb417310a33128f4b
Uncharacterized.salivary_gland.no_tool	<a href=https://drugst.one/?id=3686c8d0cecd4576ab11e0d010502bc2>Uncharacterized.salivary_gland.no_tool</a>	https://drugst.one/?id=3686c8d0cecd4576ab11e0d010502bc2
