source	target
Q08211	Q14191
Q08211	Q92841
Q08211	Q08945
Q08211	Q8IVM0
Q08211	Q13573
Q08211	Q9BQ69
Q08211	Q8WX92
Q08211	Q9Y4K3
Q08211	Q96SB4
Q13247	Q13573
Q13247	Q96SB4
Q13247	Q9UK58
P51617	Q13158
P51617	Q15750
P51617	P62987
P51617	Q96CG3
P51617	Q8IV45
P51617	Q15306
P51617	Q9Y6K9
P51617	Q9NYJ8
P51617	Q9Y4K3
Q9BVM2	Q9Y265
Q8IV45	Q9Y6R0
P78527	Q9HB75
P78527	Q9Y6K9
P78527	Q14191
P78527	Q13111
P78527	Q8IVM0
P78527	Q13573
P78527	Q86WJ1
P78527	Q9Y265
P78527	Q96T60
P78527	Q8NFH5
P78527	Q08211
P78527	P84243
P78527	Q8IW19
Q9BQ69	Q9Y5B9
Q9BQ69	Q9Y6K9
Q9BQ69	Q9UGN5
P09874	Q8IW19
P09874	Q02880
P09874	P78527
P09874	Q9H967
P09874	Q01831
P09874	Q9NTX7
P09874	Q9Y6K9
P09874	P17542
P09874	P12956
P09874	P84243
P09874	P13010
P09874	Q9Y5B9
P09874	P54132
P09874	P11387
P09874	Q9BQ69
P09874	Q9Y4K3
P09874	Q9NWY4
P09874	P12004
P09874	Q86WJ1
P09874	P46063
P09874	Q08945
P09874	Q9UGN5
P09874	P52757
P09874	P26358
P09874	P09884
P09874	Q9UBC3
P09874	Q9NVC6
P09874	P28370
P09874	Q96T60
P09874	P49450
P09874	Q13547
P09874	Q14191
P09874	Q9UER7
P09874	Q9ULK4
P09874	P62987
P09874	P49916
P09874	Q92769
P09874	Q12798
P09874	P18887
P62987	Q86UY6
P62987	Q9NYJ8
P62987	Q7Z434
P62987	Q8N5C8
P62987	Q8IVM0
P62987	Q13546
P62987	Q14191
P62987	Q86VP1
P62987	Q9Y4K3
P62987	Q9Y6K9
P62987	Q13127
P62987	Q9UBC3
P62987	Q9NX70
P62987	Q7L7L0
P62987	Q9UER7
P62987	Q96CG3
P62987	Q15750
P62987	Q99816
P62987	Q9UNA4
P62987	Q9UHD2
P62987	Q9Y253
