source	target
Q96BA8	P30536
Q07866	Q5SW96
Q07866	P61981
Q96EZ8	P67870
Q9HAV0	O60262
Q9HAV0	P29992
O43805	Q96FJ2
Q8N302	Q9NQZ6
Q8N302	Q9UBU9
P30556	P05408
P30556	P27348
Q13310	Q12926
Q13310	O95793
P24863	O43513
O00400	P00846
O00400	P08238
Q9GZZ9	Q8N9W6
Q9GZZ9	P16989
Q14512	O43427
Q14512	P09038
Q14512	P05230
Q14512	Q9NRR5
P12931	P41240
P12931	Q14289
P12931	Q7Z6J2
P12931	P06213
P12931	P21802
P12931	P49916
P12268	P19838
P12268	P15328
Q8WXF8	O15519
Q8WXF8	O75618
Q8WXF8	Q99729
Q8WXF8	Q92851
Q8WXF8	Q00534
Q8WXF8	Q676U5
Q8WXF8	Q96GN5
Q8WXF8	Q9Y5Q9
O14770	P60709
P63241	P06748
Q15843	Q08211
Q15843	Q13618
Q15843	Q9UKB1
Q15843	Q99729
Q15843	Q00610
Q15843	Q15369
Q15843	Q96SW2
Q15843	Q92734
Q15843	Q13620
Q15843	Q13617
O60437	Q93009
O60551	P60022
O60551	P04637
Q8TEW0	Q15223
Q8TEW0	P04637
Q969R5	P36955
Q969R5	P49368
O60814	P49736
O60814	Q9UQL6
Q9Y265	Q9NYJ8
Q9Y265	P40692
O00327	P67870
O14807	Q7L0Q8
O14807	Q8TEU7
O14807	P15056
O14807	Q92565
O14807	P04049
O14807	P62195
O14807	Q8WWW0
O14807	P42336
O14807	Q9UQ13
O14807	Q7Z6Z7
O14807	P55196
Q53RE8	Q13618
Q53RE8	Q13617
Q53RE8	O95817
Q53RE8	Q13620
Q16864	P19525
Q92956	Q08211
Q92956	P05067
Q92956	P08670
P02545	Q14676
P02545	Q9Y287
P02545	Q7L5A8
P02545	Q8WVX3
P02545	O00560
P02545	O43889
P02545	Q9ULM2
P02545	P05161
P02545	Q5UIP0
Q9UKB1	Q8TBF5
Q9UKB1	P21333
P07339	P07195
Q71U36	Q08211
Q71U36	Q9Y2G8
Q71U36	Q15717
Q71U36	Q9H2H9
Q71U36	P12814
Q71U36	P08754
Q71U36	P16333
Q71U36	P68366
Q71U36	P32121
Q71U36	P20231
Q71U36	P16871
Q71U36	Q86YD3
P16591	Q8WVF5
P16591	P08238
Q96EK5	O14782
Q96EK5	P62136
O75928	Q8IUQ4
O75928	O15379
Q8WUI4	P25101
Q8WUI4	Q96ST3
Q7Z434	Q8NFH5
Q7Z434	P0C7P0
P55884	Q9UBQ5
P13164	P60033
Q92624	P0CG48
Q92624	Q8WWW0
Q9Y6K9	Q9NYJ8
