source	target
Q9Y496	O14782
Q9Y496	P27694
O95639	P06748
Q14676	P21333
Q14676	Q15717
Q14676	P78362
O15503	P17980
Q9H2X6	P61956
O15519	Q8WXF8
O15519	P08238
Q5TAQ9	P78371
Q9HAV7	P09914
Q9HAV7	P27694
P17028	Q9Y5A6
P17028	P04637
Q96GS6	O60760
Q96GS6	P62258
Q14191	P13010
Q7L8A9	Q9NRW1
P52701	P13010
P17948	P49763
P17948	P06241
P30536	O95153
P30536	Q96BA8
Q9HCD5	Q16543
Q9NY72	Q12893
Q9NY72	Q9NRP0
Q9NY72	Q9ULK4
P29992	P25101
Q86YD3	P36955
Q86YD3	Q71U36
P25963	O15379
O14964	P63165
O14964	Q5VSY0
Q8WUH6	P11021
Q8WUH6	P01241
Q8WUH6	Q96SW2
Q8WUH6	Q9UIQ6
Q8WUH6	Q9Y5S9
O60760	Q96B67
Q08211	P13010
O14782	P25054
O14782	Q99459
O14782	Q92845
O14782	Q92630
O14782	Q96EK5
Q9UKL0	O15379
Q9UKL0	Q9NP66
Q9UKL0	Q9H668
P11362	Q15223
P11362	P08238
Q5VSY0	P51116
Q9NRA8	Q99856
Q01484	Q16594
Q01484	P04637
Q01484	Q92565
Q8IUQ4	O75928
Q8IUQ4	P62195
Q13310	Q04637
Q9UER7	O15379
Q9UER7	Q8IUH5
Q9UER7	Q9Y5Q9
Q9UER7	Q96GN5
P22061	P06733
P22061	P30556
P22061	P41597
P63167	Q12888
P32121	Q5JUX0
P32121	P08238
P32121	P27694
P32121	P19338
Q01081	P19338
Q6P2Q9	P19338
P11021	P08238
O43889	Q8N682
O43889	P02545
O43889	P50402
Q8NCM8	Q96F46
Q8ND90	O95990
Q96JM7	O60341
Q99623	O15379
Q99623	Q15714
P00846	Q00597
P00846	P08047
P00846	Q9H2H9
P00846	Q9H845
P00846	O00400
P00846	Q00765
Q5SW96	Q9UPT6
Q5SW96	Q9BYT8
Q5SW96	P98164
Q5SW96	Q07866
Q5SW96	Q00610
Q5SW96	Q13573
Q5SW96	Q9NXF7
Q5SW96	Q9H668
O00327	P67870
O00327	P07900
Q15007	Q9ULK4
Q9HD26	P02511
Q9HD26	Q9UBU9
P55884	Q04637
Q92882	P12931
Q92882	Q16394
Q12926	P11940
Q8WUI4	O15379
P51610	Q71SY5
P51610	Q9UKB1
Q14683	P19338
P67809	P13010
P67809	P15692
P67809	Q6AW86
P67809	Q14999
P48201	Q9UBU9
Q8N4H5	P05067
Q8N4H5	Q9BQ65
Q8N4H5	P0C7P0
Q8N4H5	Q86TW2
Q8N4H5	Q9NX40
Q9BRX9	O43739
Q9BRX9	P40227
Q96IT1	P61956
Q96IJ6	P19838
P48454	P67870
Q969G3	P06733
Q9H9H4	Q96GM5
Q6NSJ2	Q7Z4H7
Q6NSJ2	O60341
Q6NSJ2	Q969H4
P29692	P06748
P62258	O15379
P62258	Q07866
P62258	Q9BUA3
P62258	Q9UKB1
P60033	P13164
P60033	P21333
P60033	P06748
P63172	P54132
P63172	P51808
P63172	P15151
P55209	P19338
Q15233	O15379
Q15233	P51116
Q96RQ3	Q9HCC0
Q8N5R6	P50402
Q8N5R6	P51116
P28370	Q92922
P28370	P84243
Q8WWW0	O14807
Q8WWW0	Q92624
P57105	P60709
P57105	P98164
P16152	O75828
P16152	P62993
Q8IYA8	Q96FJ2
Q8IYA8	Q08379
P04114	Q99541
P04114	P35579
Q5VTL8	P61981
Q9H0A8	Q04206
Q9H0A8	P26196
Q9H0A8	P19838
O75909	Q9BRK4
Q92841	O15379
Q92841	O60504
Q92841	Q9GZZ9
Q86XP3	Q9UBU9
Q13247	P27348
Q8WVV9	Q8N9W6
Q8WVV9	O15379
Q8WVF5	Q5JVL4
Q8WVF5	P16591
Q8WVF5	P51116
Q9BUL8	P55072
Q9BUL8	P12004
Q13432	P06241
Q96ST3	P63165
Q96GY0	Q14203
Q96GY0	Q71U36
Q9BQE3	Q08380
Q13243	P19338
Q99962	P22681
Q99962	P00488
Q8N8U2	Q9UBU9
P07195	P06733
P07195	Q15382
P07195	P84077
P07195	P08754
Q9UPT6	P12931
Q9H3M7	O15379
Q9H3M7	Q9NXF7
P20585	P43246
Q5JR59	P06241
Q5JR59	P15622
Q68DY1	Q02535
P78362	Q6NXP0
O14734	P29590
O43805	Q96FJ2
O43805	Q13363
Q15427	P19338
Q49A26	P06748
Q49A26	P12036
P08237	P61956
P12004	P13010
Q13137	O95990
Q13137	O00214
O75369	P21333
O75369	P25054
O75369	Q14258
O75369	P16333
O75369	P40692
Q07021	P13010
Q07021	Q4J6C6
Q07021	Q9NPH0
O00458	P19525
O00458	Q13547
P25705	P11940
P25705	Q9H845
P09884	P13010
Q13617	Q53RE8
Q13617	P08238
Q9NRS6	O60341
P98066	Q99731
P98066	P0CG48
P14859	P13010
P49458	Q14203
Q7Z434	P17980
Q9NR30	P19338
O15162	P12931
Q8N682	Q9H246
Q9NP66	Q9NQZ6
P49116	O15379
P24666	P49736
P62136	O15379
P62136	Q96S65
P62136	Q92734
P62136	Q9UQ13
P62136	Q96EK5
P21673	Q12873
P34897	Q9BX68
P34897	P02545
P34897	Q96FJ2
Q9BTM1	P49736
P08238	P21333
P08238	Q00597
P08238	P62993
P08238	Q9C0B0
P08238	Q9UKB1
P08238	P16591
P08238	Q00534
P08238	Q14999
P08238	O95817
P08238	Q96SW2
P08238	Q99459
P08238	P04899
P08238	P68400
P08238	P34947
P08238	Q13620
P08238	P04049
P08238	Q9NQC7
