source	target
Q9UNE7	Q9Y4K3
Q08211	Q99459
Q08211	Q9H0W5
Q08211	Q14191
Q08211	Q9UJV9
Q08211	Q96GG9
Q08211	Q92905
Q08211	Q9H492
Q08211	Q9H0R8
Q08211	Q13233
Q08211	Q92841
Q08211	Q86VP6
Q08211	Q15464
Q08211	Q12905
Q08211	Q9UBS0
Q08211	Q71U36
Q08211	Q13617
Q08211	Q14999
Q08211	Q15843
Q08211	Q13322
Q08211	Q14258
Q08211	Q9NRD1
Q08211	Q08945
Q08211	Q49A26
Q08211	Q96RT1
Q08211	Q8IVM0
Q08211	Q9H4L7
Q08211	Q504Q3
Q08211	Q99873
Q08211	Q12906
Q08211	Q9NR30
Q08211	Q9UQ35
Q08211	Q13619
Q08211	Q13573
Q08211	Q6NUN9
Q08211	Q8IYW5
Q08211	Q9NQC7
Q08211	Q9Y5S9
Q08211	Q9UKV8
Q08211	Q9UKB1
Q08211	Q15022
Q08211	Q6P2Q9
Q08211	Q92956
Q08211	Q9Y4K3
Q08211	Q13616
Q08211	Q9HAU4
Q08211	Q9GZQ8
Q08211	Q15428
Q08211	Q9UBU9
Q08211	Q96SB4
Q08211	Q9HCE7
Q08211	Q13620
Q08211	Q93034
Q08211	Q9UQL6
Q08211	Q13148
Q08211	Q13618
Q08211	Q93009
Q99873	Q9UER7
Q99873	Q9HCE7
Q99873	Q9UBU9
Q99873	Q9Y4K3
Q99873	Q9NQC7
Q99873	Q9HAU4
Q99873	Q9H0R8
Q99873	Q9UQL6
Q99873	Q9UBS0
Q9NR30	Q9UQ35
Q9NR30	Q9Y5B9
Q9NR30	Q9Y4K3
Q9NR30	Q9UGI8
Q9NR30	Q9NRD1
Q9NR30	Q9NRC8
Q13310	Q13620
Q13310	Q96B97
Q13310	Q9H0W5
Q13310	Q93034
Q13310	Q13618
Q13310	Q86VP6
Q13310	Q13619
Q13310	Q9NRC8
Q13310	Q8IYW5
Q13310	Q13617
Q13310	Q92905
Q13310	Q99816
Q13310	Q15022
Q13310	Q8WWM7
Q13310	Q14164
Q13310	Q15554
Q13310	Q15717
Q13310	Q6NYC1
Q13310	Q504Q3
Q13310	Q14999
Q13310	Q9H0R8
Q13310	Q6NUN9
Q13310	Q14258
Q13310	Q15428
Q13310	Q96GG9
Q13310	Q9NQC7
Q13310	Q16666
Q13310	Q13616
Q13310	Q9UKB1
Q49A26	Q9NPJ6
Q49A26	Q9NRC8
Q16539	Q96SB4
Q16539	Q6IQ23
Q16539	Q8WWM7
Q16539	Q92831
Q16539	Q92905
Q16539	Q9Y297
Q16539	Q9H0W5
Q16539	Q9NYJ8
Q16539	Q9Y4K3
Q15022	Q92522
Q15022	Q96PU4
Q15022	Q6ZW49
Q15022	Q6P2Q9
Q15022	Q99623
Q15022	Q9Y297
Q15022	Q49A26
Q15022	Q92616
Q15022	Q99873
Q15022	Q15427
Q15022	Q9NVC6
Q15022	Q9Y230
Q15022	Q9UBU9
Q15022	Q8NF91
Q15022	Q16576
