source	target
Q08211	Q14191
Q08211	Q92841
Q08211	Q14244
Q08211	Q13617
Q08211	Q15843
Q08211	Q9H4L7
Q08211	Q8IYW5
Q08211	Q92956
Q08211	Q9H3D4
Q08211	Q93009
P68431	Q07666
P68431	Q09028
P68431	Q9NVP2
P68431	Q9NR48
P68431	Q8N257
P68431	Q86U86
P68431	Q8NCN4
P68431	Q9UIG0
P68431	Q13112
P68431	Q9BZ95
P68431	Q9UNL4
P68431	Q86X55
P68431	Q13547
P68431	Q9Y232
P68431	P78527
P68431	Q9BXS6
P68431	Q9UER7
P68431	Q9NPG3
P68431	Q12873
P68431	Q8WUP2
P68431	Q9Y5B9
P68431	Q16777
P68431	Q8WUB8
P68431	Q14149
P68431	Q96GM5
P68431	Q9Y2M0
P68431	Q92769
P68431	Q9NVM4
P68431	Q9Y2V0
P68431	Q53GL7
P68431	Q9NPI1
P68431	Q8IWY9
P68431	Q92922
P68431	Q96HA7
P68431	Q96T23
P68431	P98175
P68431	Q969G3
P68431	Q16778
P68431	Q96QV6
P68431	Q9Y294
P68431	Q8TEX9
P68431	Q5FWF5
P68431	Q9Y2Q1
P68431	Q86Y91
P68431	Q9Y6J0
P68431	Q9UKL0
P68431	Q13111
P68431	Q149N8
P68431	Q6ZU65
P68431	Q9UIS9
P68431	Q9UHJ3
P68431	Q9H3R0
P68431	Q92878
P68431	Q6ZRQ5
P68431	Q15723
P68431	Q68CP9
P68431	Q8TAQ2
P68431	Q96T88
Q13310	Q8IYW5
Q13310	Q13617
Q13310	Q8WWM7
Q14790	Q53GL7
Q14790	Q9UHD2
Q14790	Q9BZ95
Q14790	Q9Y6K9
Q14790	Q9UKL3
Q14790	Q8WXF8
Q14790	Q7Z434
Q13247	Q8TAD8
Q13247	Q9UK58
Q13247	Q8NAV1
Q13247	Q13617
Q9NRR4	Q9Y466
Q9H3D4	Q9NZJ4
Q9H3D4	Q9P1Z0
Q9H3D4	Q9UER7
Q9H4A3	Q9Y6J0
Q9H4A3	Q9Y6X2
Q9H4A3	Q9UBQ5
Q9H4A3	Q9Y3Q8
Q9H4A3	Q9UKL3
