source	target
Q86VW0	Q9BRK4
Q86VW0	P35080
Q86VW0	O43187
Q86VW0	Q9UER7
Q5T7M9	Q92187
O14964	Q01850
O14964	P07437
O14964	P25054
P48431	O14770
P48431	O95816
Q92187	P62736
O95816	P10398
O95816	Q08380
O95816	P47897
Q14576	Q12926
P02511	P05067
Q9NWS9	Q9BRK4
Q9NWS9	P49796
Q9NWS9	Q13526
Q9NWS9	P14373
O14782	Q96EK5
O14782	Q8IXZ2
O14782	P25054
O14782	Q9H4B6
O14782	Q99459
Q9H3H3	Q15056
Q9H3H3	Q9Y6H6
Q5SY16	Q9HD23
Q5SY16	Q16666
P10398	Q96EK5
P10398	P62736
P10398	O43187
P07339	Q16666
P07339	Q14258
P49796	P29992
Q8WXF8	Q99729
Q8WXF8	O43251
Q8WXF8	Q00534
P05412	Q9HD23
P05412	P07437
P07437	Q9Y4K3
P07437	O00459
P07437	Q08380
P07437	P68104
P07437	P04406
P07437	Q99459
P07437	P05067
P07437	Q96QD9
Q12926	Q99729
Q12926	O43251
Q12926	Q8IXZ2
P47897	Q9Y6H6
Q9Y4K3	Q14192
Q9Y4K3	Q13526
Q9Y4K3	P62987
Q9Y4K3	Q13501
Q9Y4K3	Q13315
Q9Y4K3	O43187
Q9HD23	P28335
Q9HD23	Q8TCT7
P04406	Q9Y6H6
P62987	O14770
P62736	P28335
P62736	P35080
P62736	Q9NYL9
Q9NRA8	Q9H4B6
Q9NRA8	Q00534
Q02535	Q68DY1
Q02535	Q16666
Q02535	P19419
O00459	P68104
Q8IXZ2	Q08380
P13056	O60341
Q14258	O14770
Q01850	P48454
Q01850	Q8TCT7
P29992	P25101
P29992	Q5T3F8
P29992	Q9HAV0
P29992	Q13315
P29992	Q96QD9
Q99459	O60341
Q99459	P19474
Q9Y6H6	P68104
Q96SW2	O14770
Q96SW2	O60341
Q96SW2	P19474
P25054	P19474
Q9UER7	P19474
P19474	P14373
Q5T3F8	Q08380
Q13501	O14770
Q9HAV0	O14770
P05067	O14770
Q8NFH5	Q16666
Q14192	Q68DY1
Q14192	Q16666
P19419	Q00534
O14770	Q9NYL9
