source	target
Q9Y2W1	Q9Y383
Q9Y2W1	Q9Y4K3
Q9Y2W1	Q9Y3B4
Q99729	Q9GZQ8
Q99729	Q9UJV9
Q99729	Q9H0R8
Q99729	Q9UBU9
Q99729	Q9H492
Q99729	Q9NQC7
Q08211	Q99459
Q08211	Q9UJV9
Q08211	Q92905
Q08211	Q9H492
Q08211	Q9H0R8
Q08211	Q92841
Q08211	Q86VP6
Q08211	Q12905
Q08211	Q13617
Q08211	Q14999
Q08211	Q9UKV3
Q08211	Q12906
Q08211	Q9NR30
Q08211	Q15029
Q08211	Q9UQ35
Q08211	Q86V81
Q08211	Q9Y2W1
Q08211	Q9UKM9
Q08211	Q13573
Q08211	Q9NQC7
Q08211	Q13151
Q08211	Q15022
Q08211	Q6P2Q9
Q08211	Q9Y4K3
Q08211	Q13616
Q08211	Q53GS9
Q08211	Q16629
Q08211	Q9GZQ8
Q08211	Q15428
Q08211	Q9UBU9
Q08211	Q96SB4
Q08211	Q13620
Q08211	Q7L2J0
Q08211	Q93034
Q08211	Q13148
Q08211	Q13618
Q9NR30	Q9UQ35
Q9NR30	Q9Y2W1
Q9NR30	Q9Y4K3
Q9NR30	Q9NRC8
Q13310	Q9Y383
Q13310	Q13620
Q13310	Q93034
Q13310	Q13618
Q13310	Q8WXA9
Q13310	Q86VP6
Q13310	Q9UHX1
Q13310	Q9NRC8
Q13310	Q13595
Q13310	Q86V81
Q13310	Q13617
Q13310	Q92905
Q13310	Q15022
Q13310	Q14999
Q13310	Q9H0R8
Q13310	Q15428
Q13310	Q9NQC7
Q13310	Q16666
Q13310	Q13616
Q9BUJ2	Q9H492
Q9BUJ2	Q9GZQ8
Q9BUJ2	Q9NQC7
Q9BUJ2	Q9H0R8
Q9BUJ2	Q9NRC8
Q9BUJ2	Q9UBU9
Q02878	Q92905
Q02878	Q08211
Q02878	Q9NQC7
Q02878	Q9UBU9
Q02878	Q86VP6
Q02878	Q86VM9
Q02878	Q13620
Q02878	Q9H0R8
Q02878	Q9NRC8
Q02878	Q12905
Q02878	Q12906
Q02878	Q9UQ35
Q02878	Q13616
Q02878	Q15287
Q02878	Q9H307
Q02878	Q9NR30
Q02878	Q13618
Q02878	Q13595
Q02878	Q13148
Q02878	Q9UKM9
Q02878	Q9UHX1
Q02878	Q9H492
Q02878	Q13617
Q02878	Q93034
Q02878	Q6P2Q9
Q02878	Q14999
Q02878	Q13310
Q15022	Q15029
Q15022	Q6P2Q9
Q15022	Q15287
Q15022	Q9UKM9
Q15022	Q16629
Q15022	Q15427
Q15022	Q9Y383
Q15022	Q9BUQ8
Q15022	Q9UKV3
Q15022	Q9UBU9
Q15022	Q86V81
Q15022	Q15459
Q15022	Q99567
Q15022	Q9ULR0
Q15022	Q9UMS4
Q15022	Q9HCS7
Q15022	Q9Y2W1
Q15022	Q9Y3B4
Q15022	Q15393
Q15022	Q9BZJ0
Q15022	Q96PK6
Q15022	Q15637
Q15022	Q96DI7
Q13247	Q9Y383
Q13247	Q86VP6
Q13247	Q13573
Q13247	Q14103
Q13247	Q9UJV9
Q13247	Q15428
Q13247	Q86VM9
Q13247	Q15637
Q13247	Q13595
Q13247	Q96SB4
Q13247	Q9NQC7
Q13247	Q15427
Q13247	Q13616
Q13247	Q8WXA9
Q13247	Q92905
Q13247	Q8IYB3
Q13247	Q14999
Q13247	Q15287
Q13247	Q16629
Q13247	Q15022
Q13247	Q13617
Q9GZQ8	Q9H492
Q9GZQ8	Q9Y383
Q9GZQ8	Q9UJV9
Q9GZQ8	Q9UQ35
Q9UJV9	Q9Y2W1
Q9UJV9	Q9UMS4
Q9UJV9	Q9ULR0
Q9UJV9	Q9UQ35
Q9UJV9	Q9UKM9
Q9UJV9	Q9UKV3
Q9H0R8	Q9UMS4
Q9H0R8	Q9H492
Q9H0R8	Q9UBU9
Q9H0R8	Q9NR30
Q9UBU9	Q9UJV9
Q9UBU9	Q9Y2W1
Q9UBU9	Q9ULR0
Q9UBU9	Q9UMS4
Q9UBU9	Q9UKM9
Q9H492	Q9UQ35
Q9H492	Q9UHX1
Q9NQC7	Q9UMS4
Q9NQC7	Q9Y4K3
Q9NQC7	Q9UQ35
Q9NQC7	Q9Y3B4
Q9NQC7	Q9Y2W1
Q15427	Q9NQC7
Q15427	Q86V81
Q15427	Q9Y3B4
Q15427	Q15428
Q15427	Q99459
Q15427	Q15637
Q15427	Q9UQ35
Q15427	Q86VP6
Q15427	Q9BUJ2
Q15427	Q92905
Q15427	Q92841
Q15427	Q8IYB3
Q15427	Q15459
Q15427	Q6P2Q9
P11940	Q8WXA9
P11940	P15927
P11940	P27694
P11940	Q9H492
P11940	Q12906
P11940	Q14999
P11940	Q86VP6
P11940	Q13283
P11940	Q86VM9
P11940	P19320
P11940	Q93034
P11940	P26368
P11940	Q16666
P11940	Q6P2Q9
P11940	Q14103
