source	target
O95816	P07437
O95816	Q9Y4K3
O95816	P10398
O95816	P47897
P19474	Q9UER7
P19419	P05067
P19419	Q02535
P19419	Q00534
Q92478	P05067
P15336	P07437
P15336	O14770
P35080	Q9Y4K3
P35080	Q86VW0
P25054	O14964
P25054	O14782
O14770	P62987
O14770	Q9HAV0
O14770	Q9HBZ2
O14770	Q96SW2
O14770	P48431
O14770	P05067
O14770	P60709
O14770	P08047
O14770	Q9NYL9
O14770	Q14258
O60341	P13056
O60341	Q9NS23
O60341	Q99459
O60341	P05412
P32121	P25101
P32121	Q9Y4K3
Q9NRA8	Q00534
Q9NRA8	Q9H4B6
Q9HAV0	P29992
Q96SW2	Q9Y4K3
O14964	P07437
O14964	Q01850
O14964	P14373
Q92905	P25101
Q92905	Q08380
Q96EK5	O14782
Q96EK5	P10398
Q9H3H3	Q15056
Q9H3H3	Q9Y6H6
P49796	Q9NWS9
P49796	P29992
P48454	Q01850
P48454	P05067
Q16666	Q02535
Q16666	P07339
Q16666	Q8NFH5
Q16666	Q14192
Q16666	Q5SY16
Q16666	P08047
Q16666	P05067
Q9NRI5	P07437
Q9NRI5	O14782
P04406	P07437
P04406	Q9Y6H6
Q13526	Q9Y4K3
Q13526	Q9NWS9
P12931	Q9Y4K3
P12931	P25101
Q02535	Q68DY1
P48431	Q08380
Q9HBZ2	Q01850
P02511	P05067
Q9HD23	P28335
Q9HD23	Q8TCT7
Q9HD23	P05412
Q9HD23	Q5SY16
P07437	Q08380
P07437	O00459
P07437	P05412
P07437	P05067
P07437	P68104
Q9Y4K3	P62987
Q9Y4K3	P68104
Q9Y4K3	O43187
Q9Y4K3	Q14258
Q9Y4K3	Q14192
Q9Y4K3	P05067
Q8TCT7	Q01850
Q9UER7	Q86VW0
Q14192	Q68DY1
P28335	P62736
Q9H4B6	O14782
P62736	P10398
P62736	Q92187
P62736	P35609
P62736	Q9NYL9
P62736	P05412
P05067	P07339
P05067	O00459
O00459	P68104
Q9NS23	Q9Y6H6
Q9NWS9	Q9BRK4
Q9NWS9	P35609
Q9NWS9	P14373
Q99729	Q8WXF8
Q99729	Q12926
Q14258	P29992
Q99459	O14782
Q99459	Q12926
Q5T7M9	Q92187
P29992	P25101
P14373	Q08380
Q8IXZ2	O14782
Q8IXZ2	Q08380
P47897	Q9Y6H6
Q8WXF8	Q00534
Q8WXF8	O43251
Q86VW0	Q9BRK4
Q86VW0	O43187
Q08380	P60709
Q9Y6H6	P68104
O43251	Q12926
Q12926	Q14576
