source	target
Q15691	Q96SN8
Q15691	Q5SW79
Q15691	Q86V48
Q15691	Q9Y2D8
Q15691	Q86YT6
Q15691	Q9NX95
Q15691	Q8WXW3
Q15691	Q96DN5
Q15691	Q66GS9
Q15691	Q5TB80
Q15691	Q9BR77
Q15691	Q9Y4K3
Q15691	Q96R06
Q15691	Q8IUD2
Q15691	Q86VQ0
Q15691	Q5VT06
Q5TB80	Q66GS9
Q5TB80	Q9Y2I6
Q5TB80	Q9BY89
Q5TB80	Q9NX95
Q5TB80	Q6P1N0
Q5TB80	Q86YT6
Q5TB80	Q96DN5
Q5TB80	Q9NUQ3
Q5TB80	Q96JN8
Q5TB80	Q8IW35
Q5TB80	Q99550
Q5TB80	Q96CS2
Q5TB80	Q9BRX9
Q5TB80	Q9Y5B8
Q5TB80	Q9H3U1
Q5TB80	Q9P2S5
Q5TB80	Q7Z7A1
Q5TB80	Q9NVX0
Q5TB80	Q8WXW3
Q5TB80	Q86V48
Q5TB80	Q8IUZ0
Q5TB80	Q9BT92
Q5TB80	Q8NHV4
Q5TB80	Q9NPJ6
Q5TB80	Q96NB1
Q5TB80	Q9BRR8
Q5TB80	Q96ST8
Q5TB80	Q96LB3
Q5TB80	Q9ULL1
Q5TB80	Q8IUD2
Q5TB80	Q8N960
Q5TB80	Q8IWC1
Q5TB80	Q9Y2D8
Q5TB80	Q86VQ0
Q5TB80	Q99871
P02511	Q14203
P02511	Q6P1N0
P02511	P07196
Q6NZI2	Q9NNX1
Q6NZI2	Q8TD31
Q6NZI2	Q9UKL0
Q6NZI2	Q96JG6
Q6NZI2	Q8IYB1
Q6NZI2	Q96P16
Q6NZI2	Q9UPT5
Q6NZI2	Q9NP66
Q6NZI2	Q86Y13
Q6NZI2	Q9NV70
Q6NZI2	Q96EK4
Q6NZI2	Q9UID3
Q6NZI2	Q96BD5
Q6NZI2	Q9HCH0
Q6NZI2	Q8TBA6
Q15468	Q6P1N0
Q15468	Q9Y2D8
Q15468	Q9BRX9
Q15468	Q9UHD2
Q15468	Q9UPQ9
Q15468	Q8IZH2
Q15468	Q9BT92
Q15468	Q6P2H3
Q15468	Q8IUZ0
Q15468	Q6ZTW0
Q15468	Q8NHV4
Q15468	Q9HC77
Q15468	Q96C92
Q15468	Q9Y5B8
Q15468	Q8IYB1
Q15468	Q9BRR8
Q15468	Q9H3U1
Q15468	Q99871
Q14203	Q6P1N0
Q14203	Q99871
Q14203	Q8TD16
Q14203	Q8IWC1
Q14203	Q9NRI5
Q14203	Q9Y2I6
Q14203	Q9C0F1
Q14203	Q9BRR8
Q14203	Q14204
Q14203	Q96EV8
Q14203	Q8NHV4
Q14203	Q5T5Y3
Q14203	Q86V48
Q14203	Q15691
Q14203	Q96G01
Q14203	Q8N157
Q14203	Q5SW79
Q14203	Q8N4C6
Q14203	Q96R06
P08727	Q96CS2
P08727	Q9Y2J4
P08727	P0C1Z6
P08727	Q9NRA8
P08727	Q9BVG8
P08727	Q8IYI6
P08727	Q9NYB9
P08727	P23258
P08727	Q9NX04
P08727	Q15154
P08727	Q8IYE0
Q9UHD2	Q9Y2I6
Q9UHD2	Q9Y2D8
Q9UHD2	Q9Y4K3
Q9BV73	Q9Y2D8
Q9BV73	Q9NRA8
Q9BV73	Q9NXR1
Q9BV73	Q9Y2I6
Q9NVX0	Q9Y2I6
Q9BUZ4	Q9Y4K3
Q9BUZ4	Q9UPT5
Q9BUZ4	Q9HBZ2
Q96ST8	Q9NPJ6
Q96ST8	Q9H3U1
Q96ST8	Q99871
Q96ST8	Q9BR77
Q96ST8	Q9BRX9
Q96ST8	Q9NRM7
Q96ST8	Q9Y2D8
Q96ST8	Q9Y2I6
Q96ST8	Q9P2S5
Q96ST8	Q9BT92
Q96ST8	Q9ULL1
Q96ST8	Q9NVX0
Q96ST8	Q9NUQ3
Q96ST8	Q9BY89
Q96ST8	Q99550
Q96ST8	Q9BRR8
Q96ST8	Q9Y5B8
P62736	Q96EK4
P62736	Q14203
Q9H3U1	Q9HC77
Q9H3U1	Q9P2K1
Q9H3U1	Q9P2S5
Q8TDR0	Q9NWB7
Q8TDR0	Q96EV8
Q8TDR0	Q96LB3
Q8TDR0	Q9Y4K3
Q8TDR0	Q9NRI5
Q8TDR0	Q9NV70
Q8TDR0	Q9NYB9
Q86V48	Q96GS4
Q86V48	Q9Y2D8
Q86V48	Q8N4C6
Q86V48	Q96ST8
Q86V48	Q8N960
Q86V48	Q8N137
Q86V48	Q9NPJ6
Q86V48	Q86VQ0
Q86V48	Q96NL6
Q86V48	Q9Y2I6
P14373	Q9NRM7
P14373	Q9NXR1
P14373	Q9H788
P14373	Q08380
P14373	Q9BT92
P14373	Q8TD31
P14373	Q9Y5B8
P14373	Q9P2K3
P14373	Q86VQ0
P14373	Q9NX04
P14373	Q9UHD2
P14373	P19474
P14373	Q9BVG8
P14373	Q9NP66
P14373	Q96EV8
P14373	Q9NNX1
P14373	Q66GS9
P14373	Q8TES7
P14373	Q9GZM8
P14373	Q96CS2
P14373	Q9HBZ2
P14373	Q96IZ5
P14373	Q9Y2J4
P14373	Q5TB80
P14373	Q7Z3B3
Q15276	Q86Y13
Q15276	Q8TD31
Q15276	Q96A65
Q15276	Q4V328
Q15276	Q5VIR6
Q15276	Q9NV70
Q15276	Q9HCH0
Q15276	Q9NNX1
Q15276	Q9UKL0
Q15276	Q8TBA6
P37198	Q96CS2
P37198	Q7Z3B4
P37198	Q9NYB9
P37198	P40222
P37198	Q9BVL2
P37198	Q16666
P37198	Q8NFH5
P37198	Q969G3
P37198	Q8TD31
P37198	Q8IY31
P37198	Q9UL45
P37198	Q9BVG8
P37198	Q8IYE0
P37198	Q9BV73
P37198	Q7Z3B3
P37198	Q9Y3C0
P37198	Q96BD5
Q13625	Q96NL6
Q13625	Q9NRM7
Q13625	Q15154
Q13625	Q8IW35
Q13625	Q9BUZ4
Q13625	Q8N137
Q13625	Q9NPJ6
Q13625	Q96ST8
Q13625	Q9Y2I6
Q13625	Q9C0F1
Q13625	Q9HC77
Q13625	Q8N960
Q13625	Q7Z7A1
Q13625	Q66GS9
Q13625	Q8N4C6
Q13625	Q96KN7
Q13625	Q5TB80
Q13625	Q8TES7
Q13625	Q9Y2J4
Q13625	Q9Y2D8
Q9Y2V7	Q9Y4K3
Q9Y2V7	Q9Y3C0
Q08379	Q9P2K3
Q08379	Q96CS2
Q08379	Q9HBZ2
Q08379	Q1MSJ5
Q08379	Q15154
Q08379	Q9BVG8
Q08379	Q969G3
Q08379	Q8IY31
Q08379	Q9Y5B8
Q08379	Q9NX04
Q08379	Q9Y2V7
Q08379	Q9Y3C0
Q08379	Q8TD31
Q08379	Q9NXR1
Q08379	Q8TES7
Q08379	Q9H788
Q08379	Q13077
Q08379	Q96IZ5
Q08379	Q99608
Q08379	Q7Z3B3
Q08379	Q9GZM8
Q08379	Q9BUZ4
Q08379	Q3B820
Q08379	Q8IYE0
Q08379	Q9UBB9
Q08379	Q9NRI5
Q08379	Q9Y2J4
Q9NPJ6	Q9UHD2
Q9NPJ6	Q9P2S5
Q9NPJ6	Q9NXR1
Q9NPJ6	Q9Y2D8
Q9NPJ6	Q9UPQ9
Q9NPJ6	Q9NUQ3
Q9NPJ6	Q9NVX0
Q9NPJ6	Q9NV70
Q9P2K3	Q9UBB9
