source	target
Q15691	Q96SN8
Q15691	Q5SW79
Q15691	Q86V48
Q15691	Q9Y2D8
Q15691	Q86YT6
Q15691	Q8WXW3
Q15691	Q5TB80
Q15691	Q9BR77
Q15691	Q9Y4K3
Q15691	Q8IUD2
Q15691	Q86VQ0
Q15691	Q5VT06
Q5TB80	Q9Y2I6
Q5TB80	Q9BY89
Q5TB80	Q8N0Z3
Q5TB80	Q6P1N0
Q5TB80	Q86YT6
Q5TB80	Q9NUQ3
Q5TB80	Q68CZ6
Q5TB80	Q8IW35
Q5TB80	Q99550
Q5TB80	Q96CS2
Q5TB80	Q9BRX9
Q5TB80	Q9Y5B8
Q5TB80	Q9H3U1
Q5TB80	Q9P2S5
Q5TB80	Q7Z7A1
Q5TB80	Q9NVX0
Q5TB80	Q8WXW3
Q5TB80	Q86W54
Q5TB80	Q86V48
Q5TB80	Q8IUZ0
Q5TB80	Q9BT92
Q5TB80	Q8NHV4
Q5TB80	Q9NPJ6
Q5TB80	Q96NB1
Q5TB80	Q9BRR8
Q5TB80	Q8WWK9
Q5TB80	Q8IUD2
Q5TB80	Q8N960
Q5TB80	Q8IWC1
Q5TB80	Q9Y2D8
Q5TB80	Q86VQ0
Q5TB80	Q99871
P02511	Q14203
P02511	Q6P1N0
P02511	Q15834
Q15468	Q6P1N0
Q15468	Q9Y2D8
Q15468	Q9BRX9
Q15468	Q9UHD2
Q15468	Q9UPQ9
Q15468	Q9BT92
Q15468	Q6P2H3
Q15468	Q8IUZ0
Q15468	Q6ZTW0
Q15468	Q8NHV4
Q15468	Q96C92
Q15468	Q9Y5B8
Q15468	Q9BRR8
Q15468	Q9H3U1
Q15468	Q99871
Q4VCS5	Q9NVX0
Q4VCS5	Q8TCU4
Q4VCS5	Q9NRM7
Q4VCS5	Q8N137
Q4VCS5	Q9BV73
Q4VCS5	Q9Y2J4
Q4VCS5	Q8N4C6
Q4VCS5	Q8N0Z3
Q4VCS5	Q8TAB5
Q4VCS5	Q9NPJ6
Q4VCS5	Q9H4B6
Q14203	Q6P1N0
Q14203	Q99871
Q14203	Q8IWC1
Q14203	Q9NRI5
Q14203	Q9Y2I6
Q14203	Q9C0F1
Q14203	Q9BRR8
Q14203	Q96EV8
Q14203	Q8NHV4
Q14203	Q5T5Y3
Q14203	Q86V48
Q14203	Q8WWK9
Q14203	Q15691
Q14203	Q8N157
Q14203	Q5SW79
Q14203	Q8N4C6
P08727	P35908
P08727	P19012
P08727	Q96CS2
P08727	Q9Y2J4
P08727	Q9NRA8
P08727	Q9BVG8
P08727	Q6NYC8
P08727	Q12824
P08727	Q9NYB9
P08727	Q9NX04
P08727	Q15154
P08727	Q8IYE0
Q9NX63	Q9Y2D8
Q9NX63	Q9Y2J4
Q9UHD2	Q9Y2I6
Q9UHD2	Q9Y2D8
Q9UHD2	Q9Y4K3
Q9BV73	Q9Y2D8
Q9BV73	Q9NRA8
Q9BV73	Q9NXR1
Q9BV73	Q9Y2I6
Q9NVX0	Q9Y2I6
Q15560	Q9C0F1
Q15560	Q9UJV3
Q15560	Q96JN2
Q15560	Q8TES7
Q15560	Q9BRK4
Q9BUZ4	Q9Y4K3
Q9BUZ4	Q9P0T4
P62736	Q14203
P62736	Q8ND90
Q9H3U1	Q9P2S5
Q9H3U1	Q9UJV3
Q9BRK4	Q9BXY8
Q9BRK4	Q9Y2I6
Q9BRK4	Q9BV73
Q9BRK4	Q9NXR1
Q9BRK4	Q9NX04
Q9BRK4	Q9BVG8
Q9BRK4	Q9NUL5
Q9BRK4	Q9BT92
Q9BRK4	Q9Y2D8
Q9BRK4	Q9NRM7
Q9BRK4	Q9H788
Q9BRK4	Q9P2K3
Q9BRK4	Q9NX63
Q9BRK4	Q9P0T4
Q9BRK4	Q9H6L4
Q86V48	Q96GS4
Q86V48	Q9Y2D8
Q86V48	Q8N4C6
Q86V48	Q8N960
Q86V48	Q8N137
Q86V48	Q8N0Z3
Q86V48	Q9NPJ6
Q86V48	Q86VQ0
Q86V48	Q96MT8
Q86V48	Q9Y2I6
P14373	Q9NRM7
P14373	Q9NXR1
P14373	Q13895
P14373	Q9H788
P14373	Q08380
P14373	Q9BT92
P14373	Q96BZ8
P14373	Q9H6L4
P14373	Q8TD31
P14373	Q9BXY8
P14373	P36406
P14373	Q9Y5B8
P14373	Q2TBE0
P14373	Q9P2K3
P14373	Q8WWY3
P14373	Q86VQ0
P14373	Q9NX04
P14373	Q9UHD2
P14373	Q8WTP8
P14373	Q12824
P14373	P55040
P14373	P19474
P14373	Q7L273
P14373	Q9BVG8
P14373	Q9UJV3
P14373	Q9NX63
P14373	Q08117
P14373	Q96EV8
P14373	Q9P0T4
P14373	Q15560
P14373	Q8TES7
P14373	P25800
P14373	Q8N5A5
P14373	P15622
P14373	Q9GZM8
P14373	Q96CS2
P14373	Q96IZ5
P14373	Q9Y2J4
P14373	Q6NYC8
P14373	Q6IPM2
P14373	P25786
P14373	Q5TB80
P14373	Q7Z3B3
P14373	Q9Y252
P14373	Q8TCX5
P14373	Q9BUH8
P37198	Q96CS2
P37198	Q7Z3B4
P37198	Q9NYB9
P37198	P40222
P37198	Q6ZUS5
P37198	Q16666
P37198	Q8NFH5
P37198	Q8TAB5
P37198	Q969G3
P37198	Q8TD31
P37198	Q8IY31
P37198	Q9UL45
P37198	Q9BVG8
P37198	Q8IYE0
P37198	Q9BV73
P37198	Q7Z3B3
P37198	Q9Y3C0
Q13625	Q9NRM7
Q13625	Q15154
Q13625	Q8IW35
Q13625	Q9BUZ4
Q13625	Q8N137
Q13625	Q8WWY3
Q13625	Q9NPJ6
Q13625	Q9Y2I6
Q13625	Q9C0F1
Q13625	Q8N960
Q13625	Q7Z7A1
Q13625	Q4VCS5
Q13625	Q8N4C6
Q13625	Q2TBE0
Q13625	Q15834
Q13625	Q96KN7
Q13625	Q5TB80
Q13625	Q8TES7
Q13625	Q8N5A5
Q13625	Q9Y2J4
Q13625	Q9Y2D8
P36406	Q13077
P36406	Q9Y252
P36406	Q6NYC8
P36406	Q01850
P36406	Q9BVG8
P36406	Q96CS2
P36406	P51116
P36406	Q9P0T4
P36406	Q5VWN6
P36406	Q6IPM2
P36406	P55040
P36406	Q8IYE0
P36406	Q9H788
P36406	Q8TES7
P36406	Q8TBZ8
Q8NHQ1	Q9Y252
Q8NHQ1	Q9H788
Q8NHQ1	Q96CN9
Q8NHQ1	Q96BR9
Q8NHQ1	Q96GN5
Q8NHQ1	Q96SQ5
Q8NHQ1	Q8WWY3
Q8NHQ1	Q9P2K3
Q8NHQ1	Q9BXY8
Q8NHQ1	Q8TCX5
Q8NHQ1	Q96CS2
Q8NHQ1	Q969G3
Q8NHQ1	Q8WXW3
Q8NHQ1	Q96BZ8
Q8ND90	Q9BXY8
Q8ND90	Q8WWY3
Q8ND90	Q8TES7
Q8ND90	Q9P0T4
Q8ND90	Q9H788
Q8ND90	Q96IZ5
Q8ND90	Q8TBZ8
Q8ND90	Q96BZ8
Q08379	Q9UJV3
Q08379	Q8N5A5
Q08379	Q9P2K3
Q08379	Q96CS2
Q08379	Q1MSJ5
Q08379	Q8N6V9
Q08379	Q13895
Q08379	Q16512
Q08379	Q63ZY3
Q08379	Q15560
Q08379	Q96CN9
Q08379	Q68DK2
Q08379	Q6IPM2
Q08379	Q15154
Q08379	Q96NC0
