source	target
Q14240	Q9Y2D8
Q14240	Q99750
P02511	Q15834
P02511	P07196
P08727	Q8N6Y0
P08727	P19012
P08727	Q96CS2
P08727	Q9H5Z6
P08727	Q9Y2J4
P08727	Q9NRA8
P08727	Q9UKT9
P08727	Q9BVG8
P08727	Q6NYC8
P08727	Q8IYX8
P08727	Q9NYB9
P08727	Q9NX04
P08727	Q8IYE0
P08727	Q9H257
P15884	Q96SQ5
P15884	Q9Y252
P15884	Q9UKJ5
P15884	P25800
P15884	Q9NYB9
P15884	P29972
P15884	Q9NQL9
P15884	Q14129
P15884	Q96BZ8
P15884	Q9H5Z6
P15884	Q5TZK3
P15884	Q15973
P15884	P55040
P15884	Q9NUL5
P15884	Q9NX04
P15884	Q6NYC8
P15884	Q0D2H9
P15884	Q8TAU3
P15884	Q6P597
P15884	P25786
P15884	Q08117
P15884	Q969G3
P15884	P49901
Q16666	Q7Z3B4
Q16666	Q8NFH5
Q16666	Q7Z417
Q9BUZ4	Q9Y4K3
Q9BUZ4	Q9P0T4
Q9BUZ4	Q9HBZ2
P62736	Q8ND90
Q9BZW7	Q9C0F1
Q9BZW7	Q9P2K3
Q9BZW7	Q9Y252
Q9BZW7	Q9UJV3
Q9BRK4	Q9BXY8
Q9BRK4	Q9NWS9
Q9BRK4	Q9NX04
Q9BRK4	Q9BVG8
Q9BRK4	Q9NUL5
Q9BRK4	Q9BVV2
Q9BRK4	Q9H5Z6
Q9BRK4	Q9Y2D8
Q9BRK4	Q9BT49
Q9BRK4	Q9H788
Q9BRK4	Q9BWG6
Q9BRK4	Q9P2K3
Q9BRK4	Q9NVL8
Q9BRK4	Q9P0T4
Q9BRK4	Q9H257
Q9BRK4	Q9HBZ2
P14373	Q7Z3I7
P14373	Q13895
P14373	Q9H788
P14373	Q08380
P14373	Q96BZ8
P14373	Q8TD31
P14373	Q9BXY8
P14373	P36406
P14373	Q53FD0
P14373	Q2TBE0
P14373	Q9P2K3
P14373	Q8WWY3
P14373	Q96HA8
P14373	Q9NX04
P14373	Q9BQ24
P14373	Q8WTP8
P14373	P55040
P14373	P19474
P14373	Q7L273
P14373	Q9BVG8
P14373	Q9UJV3
P14373	Q14129
P14373	Q08117
P14373	Q8TAU3
P14373	Q8NA54
P14373	Q9P0T4
P14373	Q8TES7
P14373	Q7Z3S9
P14373	Q9NQL9
P14373	P25800
P14373	Q8N5A5
P14373	P15622
P14373	Q9BVV2
P14373	Q06250
P14373	Q86Y33
P14373	Q15040
P14373	Q9NVL8
P14373	Q9NWS9
P14373	Q96CS2
P14373	Q9HBZ2
P14373	Q96IZ5
P14373	Q9Y2J4
P14373	Q6NYC8
P14373	P25786
P14373	Q15561
P14373	Q9BWG6
P14373	Q63HK5
P14373	Q8IWZ5
P14373	Q7Z3B3
P14373	Q68D86
P14373	Q9Y252
P37198	Q8IYX8
P37198	Q96CS2
P37198	Q7Z3B4
P37198	Q9NYB9
P37198	P40222
P37198	Q16666
P37198	Q8NFH5
P37198	Q8TAB5
P37198	Q969G3
P37198	Q8TD31
P37198	Q8IY31
P37198	Q9UL45
P37198	Q14129
P37198	Q9BVG8
P37198	Q8IYE0
P37198	Q7Z3B3
P37198	Q9Y3C0
O95967	Q5T5A8
O95967	O95990
O95967	Q5TA82
O95967	Q8WWY3
O95967	Q02930
O95967	P29972
O95967	Q7Z417
O95967	Q8N5R6
O95967	Q5TZK3
O95967	Q14129
O95967	P49639
O95967	Q8NEC5
O95967	P50222
O95967	Q9H5Z6
Q12933	Q9Y4K3
Q12933	Q96IZ5
Q12933	Q14129
Q12933	Q8IYX8
Q12933	Q7Z3B3
Q12933	Q8IWZ5
Q12933	Q8NEC5
Q12933	Q8TD31
Q12933	Q9BRK4
