source	target
Q99729	Q9H0R8
Q99729	Q9HCE1
Q99729	Q9NQC7
Q14790	Q92851
Q14790	Q9Y4K3
Q14790	Q8WXF8
Q9H0R8	Q9HCE1
Q9H0R8	Q9NS23
Q9NQC7	Q9UMX0
Q9NQC7	Q9Y4K3
Q13501	Q14999
Q13501	Q13618
Q13501	Q14258
Q13501	Q9Y4K3
Q13501	Q9H0R8
Q13501	Q16543
Q13501	Q9Y5Q9
Q13501	Q9H4B6
Q13501	Q13616
Q13501	Q14790
Q13501	Q9NQC7
Q13501	Q9HCE1
Q13501	Q16666
Q14240	Q99459
Q14240	Q9NQC7
Q14240	Q14258
P11940	P62993
P11940	Q14999
P11940	Q86VP6
P11940	Q13283
P11940	P32121
P11940	P19320
P11940	Q93034
P11940	Q16666
P11940	Q14258
P11940	Q14240
P11940	P78362
P11940	Q13618
P11940	P49736
P11940	Q13043
P11940	Q15717
P11940	Q9NRD1
P11940	P68104
P11940	Q01081
P11940	Q13616
P11940	Q9H0R8
P11940	P60520
P11940	P38398
P11940	Q12926
P11940	Q92905
P11940	Q9NQC7
P11940	P67809
P11940	Q9Y4K3
P62993	Q15717
P62993	Q92905
P62993	Q96SW2
P62993	Q13618
P62993	Q08379
P62993	P68104
P62993	Q9Y496
P62993	P63279
P62993	Q08380
P62993	Q14258
P62993	Q9BRK4
P62993	Q9NQC7
P78362	Q13618
P78362	Q01081
P78362	Q9HAU0
P78362	Q9BRK4
P78362	Q9H0R8
P78362	Q14576
P78362	Q14258
P78362	Q86VP6
P07900	P12931
P07900	P10275
P07900	P60709
P07900	Q96SW2
P07900	Q93034
P07900	P68104
P07900	Q9H0R8
P07900	P47897
P07900	P29474
P07900	Q13043
P07900	P38398
P07900	P60520
P07900	P62993
P07900	P49736
P07900	Q86VP6
P07900	P37840
P07900	Q14258
P07900	Q00534
P07900	Q92630
P07900	Q08380
P07900	Q13616
P07900	Q99459
P07900	P49407
P07900	Q92905
P07900	P08238
P07900	P09651
P07900	Q9NQC7
P07900	P10398
P07900	Q13618
P07900	P09914
P07900	P55072
P07900	P19320
P07900	Q9NRD1
P07900	Q13283
P07900	Q16543
Q01844	Q9NS23
Q01844	Q86VP6
Q01844	Q99459
Q01844	Q92793
Q01844	Q13616
Q01844	Q93034
Q01844	Q14576
Q01844	Q9BQY4
Q01844	Q15056
Q01844	Q92905
Q01844	Q14999
Q01844	Q16543
Q01844	Q9NRA8
Q01844	Q9H0R8
Q01844	Q13618
Q01844	Q15717
Q01844	Q99729
P16949	P19320
P16949	Q86VW0
P16949	Q9UMX0
P16949	P55072
P16949	Q13263
P02511	Q13547
P02511	P37840
P02511	P05067
P02511	Q13283
P02511	Q14790
P08238	P46108
P08238	Q13616
P08238	Q08380
P08238	Q00534
P08238	P19474
P08238	P12931
P08238	Q16543
P08238	P19320
P08238	P60520
P08238	P60709
P08238	Q93034
P08238	P62993
P08238	Q99459
P08238	Q9NQC7
P08238	Q9NRD1
P08238	Q14999
P08238	Q86VP6
P08238	P49736
P08238	P10275
P08238	P10398
P08238	Q92630
P08238	P32121
P08238	P55072
P08238	Q13618
P08238	P38398
P08238	Q96SW2
P08238	Q92905
P08238	Q9H0R8
P08238	P09914
P08238	P09651
P46108	P60709
P46108	P68104
P46108	P62993
P63279	Q16543
P63279	Q92905
P63279	Q13263
P63279	Q9BQY4
P63279	Q9Y4K3
P63279	Q13547
P63279	Q92793
P63279	Q9UER7
P63279	Q8NFH5
P63279	Q08379
Q13283	Q9HCE1
Q13283	Q16666
Q13283	Q86VP6
Q13283	Q13618
Q13283	Q15717
Q13283	Q9Y4K3
Q13283	Q14258
Q13283	Q9NQC7
Q13283	Q13616
Q13283	Q9H0R8
Q13283	Q99459
Q13283	Q99729
Q13283	Q92905
Q13283	Q15056
P12931	P62993
P12931	P25101
P12931	Q16543
P12931	Q92845
P12931	Q92905
P12931	P37840
P12931	P22681
P12931	P46108
P12931	P49407
P12931	Q9Y4K3
P12931	P78362
P12931	P60709
P12931	Q92793
P12931	P32121
P12931	P27986
P08727	P63279
P08727	Q9HAU0
P08727	Q9NRA8
P08727	Q9BVG8
P08727	Q9Y5K5
P08727	P46108
P08727	P62993
P08727	Q9NQC7
P08727	P19320
P08727	P25054
Q92793	Q9NRA8
Q92793	Q9UER7
Q15717	Q86VP6
Q15717	Q8WWI5
Q15717	Q9HAF1
Q15717	Q9H4B6
Q15717	Q92793
Q15717	Q96GN5
Q15717	Q676U5
Q15717	Q9H0R8
Q15717	Q99459
Q15717	Q93034
Q15717	Q9HAU0
Q15717	Q9NQC7
Q15717	Q92905
Q13547	Q16385
Q13547	Q99459
Q13547	Q9UER7
Q13547	Q9Y5X4
Q13547	Q9Y4K3
Q13547	Q92793
Q14258	Q93034
Q14258	Q92838
Q14258	Q9Y4K3
Q14258	Q8NBJ4
Q14258	Q92793
Q14258	Q86VP6
Q14258	Q5T9L3
Q14258	Q14999
Q14258	Q9UMX0
Q14258	Q7Z4N8
Q14258	Q8WWI5
Q14258	Q15717
Q14258	Q99729
Q14258	Q9H6U8
Q14999	Q15717
Q14999	Q99729
Q14999	Q8NFH5
Q14999	Q16385
Q14999	Q15056
Q14999	Q99459
Q14999	Q96BR6
Q14999	Q8WXF1
Q13616	Q9Y4K3
Q13616	Q92905
Q13616	Q99459
Q13616	Q86VP6
Q13616	Q93034
Q13616	Q13618
Q13616	Q9NS23
Q13616	Q15717
Q13616	Q99729
Q13616	Q9NRD1
Q8IXZ2	Q9HCE1
Q86VP6	Q9HCE1
Q86VP6	Q99459
Q86VP6	Q93034
Q86VP6	Q99729
Q86VP6	Q92905
Q13618	Q9H0R8
Q13618	Q8WXF1
Q13618	Q9HCE1
Q13618	Q15717
Q13618	Q14790
Q13618	Q99459
Q13618	Q93034
Q13618	Q86VP6
Q13618	Q9UER7
Q13618	Q99729
Q13618	Q92905
Q13618	Q9H4B6
Q13618	Q16543
Q92905	Q9HCE1
Q92905	Q99459
Q92905	Q96SW2
Q92905	Q93034
Q92905	Q9NRD1
Q92905	Q99729
P51532	P60520
P51532	Q92905
P51532	Q99459
P51532	Q9NRD1
P51532	Q14258
P51532	Q86VP6
P51532	Q13547
P51532	P60709
P51532	Q13263
P51532	Q16666
P51532	Q13618
P51532	Q9Y5Q9
P51532	Q9ULV5
Q99459	Q9NQC7
Q99459	Q9Y5K5
Q99459	Q9H0R8
Q99459	Q9NRI5
P19320	P47897
P19320	P60709
P19320	Q13263
P19320	P67809
P19320	Q15056
P19320	Q01844
P19320	P68104
P19320	P49736
P19320	Q15717
P19320	P51532
P19320	P55072
P19320	Q99729
P19320	Q13283
P19320	P23246
P19320	P22681
P19320	P62993
Q93034	Q99729
Q93034	Q9Y4K3
Q16666	Q8NFH5
Q16666	Q9HCE1
Q16666	Q8WXF1
Q9UER7	Q9Y5Q9
P38398	Q16666
P38398	Q01844
P38398	P55072
P38398	Q14192
P38398	Q02952
P38398	Q9HCE1
P38398	Q14258
P38398	Q99459
P38398	P63279
P38398	Q9Y5K5
P38398	Q99729
P38398	Q86VP6
P38398	P49736
P38398	Q14240
P38398	Q13547
P38398	Q16543
P38398	Q92793
P38398	P47897
P38398	Q96SW2
P38398	P67809
P38398	Q13263
P38398	P51532
P38398	Q08380
P62736	Q92905
P62736	Q13616
P62736	Q92793
P62736	Q92187
P62736	Q86VP6
P62736	P67809
P62736	Q9H0R8
P62736	Q13618
P49736	Q13283
P49736	Q14192
P49736	P62993
P49736	Q86VP6
P49736	Q99729
P49736	Q14240
P49736	P68104
P49736	Q01844
P49736	Q08380
P49736	Q14258
P49736	P62736
P49736	P55072
P49736	Q00534
P60709	Q99729
P60709	Q9NQC7
P60709	Q13616
P60709	P68104
P60709	Q86VP6
P60709	Q93034
P60709	Q92905
P60709	P62993
P60709	P78362
P60709	Q9H0R8
P60709	Q9Y5K5
P60709	P67809
P60709	Q08380
P60709	Q13618
P60709	Q99459
P60709	Q14240
P60709	Q15717
Q9BRK4	Q9NWS9
Q9BRK4	Q9BVG8
Q9BRK4	Q9H0A6
P49407	P60709
P49407	Q9Y496
P49407	Q9Y4K3
P49407	P49796
P49407	P67809
P49407	Q13618
P49407	Q13283
P02751	P11940
P02751	Q9UMX0
P02751	Q01081
P02751	Q15056
P02751	Q08380
P02751	Q99729
P02751	P07900
P02751	P47897
P02751	P12931
P02751	Q01844
P02751	Q86VP6
P02751	P62993
P02751	P04406
P02751	Q15717
P02751	P49736
P02751	P07437
P02751	P55072
P02751	P68104
P02751	P23246
P02751	P67809
P02751	P08727
P02751	P08238
P02751	Q13547
P02751	P07339
P02751	Q13283
P02751	P05067
P02751	P09651
P02751	P05412
P02751	P60709
P02751	Q13263
P02751	P06396
P02751	P16949
P14373	Q93034
P14373	Q08380
P14373	P63279
P14373	P19474
P14373	P62993
P14373	Q9BVG8
P14373	Q14129
P14373	Q9UER7
P14373	Q13547
P14373	Q9NWS9
P14373	Q9Y5K5
P55072	Q16543
P55072	Q9NQC7
P55072	Q14240
P55072	P60709
P55072	Q9UMX0
P55072	Q15717
P55072	Q96EK5
P55072	Q96SW2
P55072	Q9NRD1
P55072	Q13616
P55072	Q14258
P55072	Q92905
P55072	Q93034
P55072	Q9Y4K3
P55072	P62993
P55072	Q13618
P55072	Q14999
P55072	Q9Y5Q9
P55072	Q13283
P55072	Q14129
Q08379	Q99459
Q08379	Q14129
Q08379	Q93034
Q08379	Q14240
Q08379	Q13227
Q08379	Q9BVG8
Q08379	Q96DA0
Q08379	Q8NEY4
Q08379	Q9UER7
Q08379	Q9NRI5
Q14192	Q16666
Q14192	Q9Y4K3
Q14192	Q9NQC7
Q14192	Q92793
Q14192	Q68DY1
Q14192	Q9UEU0
Q02952	Q13043
Q02952	Q92630
Q02952	Q9H4B6
Q16543	Q9HCE1
Q16543	Q9NQC7
Q16543	Q9Y4K3
Q16543	Q9H0A6
Q16543	Q9BQ95
Q16543	Q9NRD1
P47897	Q9NQC7
P47897	Q9HCE1
P47897	Q9Y6H6
P47897	P49736
P47897	Q14999
P47897	Q13618
P47897	Q13616
P47897	Q9BRK4
P47897	Q9H4B6
Q96SW2	Q9Y4K3
Q96SW2	Q99729
P67809	P78362
P67809	Q14240
P67809	Q14999
P67809	Q9NRD1
P67809	Q13618
P67809	Q92905
P67809	Q13283
P67809	Q14258
P67809	Q93034
P67809	Q01844
P67809	Q9NQC7
P67809	Q9Y4K3
P67809	Q99729
P67809	Q86VP6
P67809	Q15717
P67809	Q13616
P67809	P68104
P67809	Q9HCE1
P67809	Q14790
Q13263	Q96BR6
Q13263	Q13618
Q13263	Q9Y4K3
Q13263	Q13547
Q13263	Q13616
Q13263	Q99459
Q13263	Q14999
Q13263	Q86VP6
Q13263	Q92905
Q13263	Q9NRD1
Q13263	Q14790
Q13263	Q14258
Q13263	Q92793
Q08380	Q13616
Q08380	Q92905
Q08380	Q93034
Q08380	Q9H0R8
Q08380	Q8IXZ2
Q08380	Q9NRD1
Q08380	Q86VP6
Q08380	Q14999
Q08380	Q13618
P38606	Q13618
P38606	Q8NEY4
P38606	Q15717
P38606	Q9UEU0
P38606	Q9NRD1
P38606	Q14999
Q8NEY4	Q9BQ95
P25054	Q14258
P25054	P62993
P25054	Q9HAU0
P25054	Q9BRK4
P25054	P47897
P25054	Q01844
P25054	Q08379
P25054	Q13263
P25054	Q9Y496
P25054	Q92905
P25054	Q92793
P25054	Q92845
P25054	Q9H4B6
P32121	P67809
P32121	P78362
P32121	Q93034
P32121	Q13618
P32121	P49407
P32121	Q9Y4K3
P32121	P55072
P32121	P60709
P32121	Q13263
P32121	Q9Y496
P32121	P68104
P37840	P68104
P37840	P60709
P37840	P49407
P37840	Q13501
P37840	Q9H0R8
P37840	Q9Y4K3
P19474	Q13501
P19474	Q13283
P19474	P63279
P19474	Q96SW2
P19474	Q13616
P19474	P60520
P19474	Q13547
P19474	Q9NQC7
P19474	Q9H0R8
P19474	P55072
P19474	P25054
P19474	P22681
P19474	Q9UER7
P19474	Q92793
P19474	Q9NRD1
P19474	Q99459
Q676U5	Q9H0R8
Q676U5	Q8WXF8
Q676U5	Q9HCE1
P22681	Q14258
P22681	P60709
P22681	Q9Y4K3
P22681	P27986
P22681	P46108
P22681	Q8NBJ4
P22681	P62993
P22681	P68104
P23246	Q9H0R8
P23246	Q15717
P23246	P63279
P23246	P49736
P23246	Q9HCE1
P23246	Q01081
P23246	Q13547
P23246	P60520
P23246	Q99459
P23246	Q14258
P23246	P32121
P23246	Q92905
P23246	P38398
P23246	Q01844
P23246	Q14999
P23246	Q8WXF1
P23246	Q14192
P23246	Q9NQC7
P10321	Q14999
P10321	P67809
P10321	Q92187
P10321	Q16666
P10321	P34903
P10321	Q9NRD1
P68104	Q9Y6H6
P68104	Q14999
P68104	Q9H0R8
P68104	Q9HCE1
P68104	Q9Y4K3
P68104	Q9NRD1
P68104	Q92905
P68104	Q16543
P68104	Q86VP6
P68104	Q13616
P68104	Q13618
P68104	Q99459
P68104	Q14258
P68104	Q93034
P68104	Q14192
Q9NRI5	Q9Y496
Q15056	Q8WXF1
Q15056	Q9HCE1
Q15056	Q9H3H3
P60520	Q13043
P60520	Q676U5
P60520	P67809
P60520	Q13283
P60520	Q8WXF1
P60520	Q13263
P60520	Q08380
P60520	Q01081
P60520	Q99459
P60520	Q13501
P60520	Q13618
P60520	Q9NS23
P60520	Q9H0R8
P60520	Q15717
P60520	P68104
P60520	P60709
P60520	P62736
P60520	Q01844
P60520	Q99729
P60520	Q9Y5Q9
P60520	Q9HCE1
P10275	Q8WXF1
P10275	P56524
P10275	Q92793
P10275	P38398
P10275	Q9UER7
P10275	P60709
P10275	P55072
P10275	P63279
P10275	Q16666
P10275	Q00534
P10275	P51532
P10275	P23246
P10275	Q14790
P10275	Q13547
P10275	P62993
P10275	P12931
P10275	Q16543
P10275	Q92845
P10275	P46108
P10275	Q14192
P10275	P27986
P10275	P13056
Q13227	Q13547
Q13227	Q86VW0
Q13227	Q99459
P27986	P46108
P27986	Q13618
P27986	Q13501
P27986	P30260
P27986	P38398
P27986	P34903
P27986	Q14790
P27986	P62993
P04629	Q08379
P04629	P06730
P04629	Q9Y5Q9
P04629	Q13616
P04629	Q13283
P04629	P51532
P04629	Q13501
P04629	Q15056
P04629	Q93034
P04629	Q9Y496
P04629	P07437
P04629	P12931
P04629	P67809
P04629	P27986
P04629	P62993
P04629	P07900
P04629	P68104
P04629	Q9Y5K5
P04629	Q96EK5
P04629	Q00534
P04629	Q92545
P04629	Q01081
P04629	Q01844
P04629	P22681
P04629	Q99459
P04629	P30260
P04629	P49736
P04629	P09651
P04629	Q99729
P04629	Q15717
P04629	Q9UMX0
P04629	Q14576
P04629	P46108
P04629	P55072
P04629	Q08380
P04629	P47897
P04629	Q13263
P04629	Q16543
P04629	Q13618
P04629	Q9HCE1
P04629	Q9Y4K3
P04629	P23246
P04629	Q92845
P04629	Q86VP6
P04629	Q8WXF1
P04629	P11940
P04629	P78362
P04629	Q92905
P04629	P08238
P04629	P38606
Q96EK5	Q9Y496
Q96EK5	Q9H4B6
O95816	P00533
O95816	Q14258
O95816	P09651
O95816	Q08380
O95816	P55072
O95816	Q9NQC7
O95816	Q13618
O95816	Q14999
O95816	Q9Y4K3
O95816	Q96SW2
O95816	P02751
O95816	P07437
O95816	P07900
O95816	P10398
O95816	P47897
O95816	P49736
Q9H4B6	Q9NRA8
Q9H4B6	Q9NS23
O60506	P09651
O60506	Q99729
O60506	P03372
O60506	Q14999
O60506	Q13618
O60506	P67809
O60506	Q14258
O60506	Q13616
O60506	P04629
O60506	P04406
O60506	Q01081
O60506	P62993
O60506	O75147
O60506	Q92905
O60506	P05067
O60506	P49736
O60506	O95816
O60506	Q93034
O60506	P23246
O60506	P05412
O60506	P60520
O60506	Q9H0R8
O60506	Q9NRD1
O60506	Q9NQC7
O60506	P02751
O60506	Q15056
O60506	P11940
O60506	P19320
O60506	Q13283
O60506	P38398
O60506	Q12926
O60506	Q86VP6
O60506	P25054
O60506	Q08380
O60506	P46108
P04406	P60709
P04406	P38398
P04406	P07900
P04406	Q9UMX0
P04406	P62993
P04406	Q9Y6H6
P04406	Q13043
P04406	P09651
P04406	P32121
P04406	Q14258
P04406	Q9NRD1
P04406	Q92905
P04406	P49736
P04406	P05412
P04406	Q14999
P04406	P19320
P04406	P68104
P04406	P60520
P04406	P08238
P04406	Q9NQC7
P04406	P22681
P04406	Q13616
P04406	P07437
P04406	P05067
P04406	P37840
P04406	Q86VP6
P04406	P10275
P04406	Q01844
P04406	Q9H0R8
P04406	Q99459
P04406	P04629
P04406	Q13618
P05067	Q9NUI1
P05067	Q14999
P05067	Q9Y4K3
P05067	Q14258
P05067	Q9UMX0
P05067	Q9BVG8
P05067	Q16543
P05067	Q9Y496
P05067	P62993
P05067	P49796
P05067	Q9H0A6
P05067	P05412
P05067	Q92630
P05067	P19419
P05067	Q92478
P05067	Q14181
P05067	P49736
P05067	P60520
P05067	P29474
P05067	P07339
P05067	P12931
P05067	P07437
P05067	P47897
P05067	P60709
P05067	P06730
P05067	Q9BQ95
P05067	Q14192
P05067	P49407
P05067	P07900
P05067	Q676U5
P05067	P37840
P05067	Q92905
P05067	P09651
P05067	Q9Y5K5
P05067	P78362
P05067	Q13618
P05067	Q9Y2H9
P05067	Q13283
P05067	P06396
P05067	Q8IXZ2
P05067	P48167
P05067	P63279
P05067	P56524
P05067	P48454
P05067	Q14790
P05067	Q16666
P05067	Q14129
P09651	Q14999
P09651	P68104
P09651	Q92905
P09651	P55072
P09651	P32121
P09651	Q99729
P09651	Q13283
P09651	P23246
P09651	P19320
P09651	P49736
P09651	Q15717
