name	rank	p_hyper	is_seed	spd	component_id
P02511	0	0.0	1	0.025974025974025976	0
P62736	0	0.0	1	0.13675213675213677	0
Q9Y4K3	0	0.0	1	0.06483300589390963	0
P19474	0	0.0	1	0.1625	0
Q15056	0	0.0	1	0.25	0
Q08380	0	0.0	1	0.14864864864864866	0
Q9NRA8	0	0.0	1	0.0784313725490196	0
O95816	0	0.0	1	0.15789473684210525	0
P07437	0	0.0	1	0.14606741573033707	0
Q16666	0	0.0	1	0.13144329896907217	0
Q8NFH5	0	0.0	1	0.42857142857142855	0
P13056	0	0.0	1	0.18518518518518517	0
P19419	0	0.0	1	0.08888888888888889	0
P07339	0	0.0	1	0.12962962962962962	0
P48454	0	0.0	1	0.027777777777777776	0
Q9HD23	0	0.0	1	0.03225806451612903	0
Q01081	0	0.0	1	0.5267857142857143	0
O60341	0	0.0	1	0.07984790874524715	0
Q12926	0	0.0	1	0.3157894736842105	0
P10398	0	0.0	1	0.050505050505050504	0
P09914	0	0.0	1	0.4634146341463415	0
O14770	0	0.0	1	0.04	0
P25101	0	0.0	1	0.09090909090909091	0
Q01850	0	0.0	1	0.05660377358490566	0
P29992	0	0.0	1	0.03125	0
Q14576	0	0.0	1	0.375	0
O14964	0	0.0	1	0.06763285024154589	0
O14782	0	0.0	1	0.18181818181818182	0
O00459	0	0.0	1	0.10091743119266056	0
Q8WXF8	0	0.0	1	0.125	0
Q9Y2W1	101	1.744036793479396e-30	0	0.3790322580645161	0
Q99729	161	1.3869302939078289e-38	0	0.49038461538461536	0
Q08211	65	2.6893136658807756e-14	0	0.3203125	0
Q9NR30	66	9.948978373484538e-15	0	0.3202614379084967	0
Q13310	175	1.2975296662611239e-37	0	0.3546099290780142	0
Q9BUJ2	178	3.1443326017532506e-37	0	0.3770491803278688	0
Q02878	181	1.532469558300516e-36	0	0.2231404958677686	0
Q15022	90	9.819162307651694e-27	0	0.23870967741935484	0
Q13247	166	1.0110921604521053e-37	0	0.5540540540540541	0
Q9GZQ8	172	1.5984871309272884e-36	0	0.18181818181818182	0
Q9UJV9	72	6.4866499656876145e-18	0	0.5705128205128205	0
Q9H0R8	139	2.9206063760689828e-34	0	0.17954545454545454	0
Q9UBU9	41	3.12067138335631e-08	0	0.08917835671342686	0
Q9H492	159	1.1892020045045885e-37	0	0.18461538461538463	0
Q9NQC7	168	4.272965150299725e-37	0	0.14807302231237324	0
Q15427	126	1.2515210199363424e-32	0	0.4642857142857143	0
P11940	50	1.819272921200983e-09	0	0.2897959183673469	0
P78362	195	3.3861135817782864e-34	0	0.15306122448979592	0
Q01844	187	1.1026116362405291e-35	0	0.12568306010928962	0
Q9P0U3	40	5.677294031827976e-09	0	0.21951219512195122	0
P49792	23	7.487276511829029e-15	0	0.37583892617449666	0
Q00839	98	1.385813469744889e-28	0	0.2194616977225673	0
Q13435	108	9.699774200039725e-31	0	0.3875968992248062	0
P63279	32	7.146706659835816e-11	0	0.13349514563106796	0
P55735	26	1.7668616008897223e-12	0	0.22857142857142856	0
Q13283	48	1.0595263531062572e-09	0	0.13953488372093023	0
P19338	136	5.235652508554649e-33	0	0.21676300578034682	0
Q13620	182	3.353982764338145e-37	0	0.19672131147540983	0
Q9UKM9	61	9.41561416968865e-13	0	0.5844155844155844	0
Q13148	154	2.656274283401312e-36	0	0.2491103202846975	0
Q14999	38	7.859331619903397e-10	0	0.20318021201413428	0
Q13616	143	7.720217001408497e-35	0	0.1617391304347826	0
Q86VP6	113	1.1297901803905334e-31	0	0.19434628975265017	0
Q13618	95	8.814197622979348e-28	0	0.13152804642166344	0
Q92905	127	2.90727302272656e-32	0	0.15226939970717424	0
Q13595	106	4.812853150063104e-31	0	0.38028169014084506	0
P38919	78	1.421494843621294e-21	0	0.3673469387755102	0
P61326	92	6.0317208320594664e-27	0	0.3699421965317919	0
Q13243	81	6.575627422901666e-24	0	0.5126050420168067	0
Q9NRC8	46	2.473552227697738e-09	0	0.11754966887417219	0
Q99459	60	2.768672247640673e-12	0	0.18974358974358974	0
Q13573	52	1.0281628804531512e-09	0	0.2016949152542373	0
P02751	145	6.213632433424379e-35	0	0.13253012048192772	0
P37198	6	1.4160374876992504e-05	0	0.34782608695652173	0
P55072	9	3.000273957665902e-06	0	0.09157509157509157	0
P63165	34	1.3236948472495752e-10	0	0.11219512195121951	0
Q13617	164	7.355365432213384e-39	0	0.19390581717451524	0
Q8NFH4	20	9.024060937662335e-13	0	0.6666666666666666	0
P25054	43	1.2402167703245999e-08	0	0.11444141689373297	0
Q9UN86	49	1.9351155164543512e-09	0	0.3424657534246575	0
P26599	160	1.1409486633891804e-37	0	0.38571428571428573	0
P35637	44	1.88900266895e-08	0	0.2358490566037736	0
P52272	63	5.428777294597185e-14	0	0.3670886075949367	0
P15927	180	3.480111085077579e-37	0	0.16707616707616707	0
Q8NFH3	22	9.715504554520803e-14	0	0.42105263157894735	0
Q8WUM0	21	1.9489720655563116e-14	0	0.52	0
Q12906	134	5.3740590018547404e-33	0	0.25597269624573377	0
Q92841	148	2.853593133885284e-36	0	0.35260115606936415	0
P22626	158	7.88586114614312e-38	0	0.32	0
P51991	157	1.2310874151649634e-36	0	0.4915254237288136	0
Q14974	18	1.935624268942395e-11	0	0.23829787234042554	0
Q13151	146	3.781818034171367e-35	0	0.5288461538461539	0
P52597	156	2.1132412750843352e-36	0	0.3446327683615819	0
P31943	151	1.4815527407607504e-35	0	0.3368421052631579	0
Q9BTX1	30	8.178385088423027e-12	0	0.2647058823529412	0
Q9UMS4	77	3.512900563295621e-21	0	0.41208791208791207	0
P35244	179	2.269599898138505e-37	0	0.18591549295774648	0
P14866	149	2.90132793027088e-37	0	0.4263565891472868	0
P43243	138	2.1444956466871136e-33	0	0.36180904522613067	0
Q86V81	137	9.662958077091493e-34	0	0.32903225806451614	0
Q93034	174	7.1366666797586525e-37	0	0.1863905325443787	0
P11021	189	9.609478979402013e-36	0	0.14418604651162792	0
P23246	57	3.901247030248016e-11	0	0.3645320197044335	0
P78406	17	2.962566098406955e-11	0	0.28440366972477066	0
Q14498	91	3.7304143844846025e-26	0	0.4697986577181208	0
P31153	2	1.0218886812809004e-05	0	0.24444444444444444	0
Q6P2Q9	62	5.501141139876877e-13	0	0.48255813953488375	0
P19320	163	4.149863232860987e-39	0	0.1381118881118881	0
P27694	177	2.325484136368829e-36	0	0.16627634660421545	0
Q07955	76	2.9092761603644905e-20	0	0.4576271186440678	0
P26368	56	1.875068914116491e-10	0	0.33147632311977715	0
Q14103	167	1.2965629313169043e-38	0	0.24621212121212122	0
P17844	97	1.6698685807822239e-28	0	0.3179916317991632	0
P60520	119	2.2725853671145473e-30	0	0.19444444444444445	0
Q96PK6	140	5.554786654367926e-34	0	0.3695652173913043	0
Q12905	144	2.871027148905529e-35	0	0.26258992805755393	0
Q7L2J0	147	5.678504441833319e-36	0	0.3231707317073171	0
Q8WXA9	152	5.147370507048585e-36	0	0.6056338028169014	0
Q15637	112	2.570658680209122e-32	0	0.30697674418604654	0
Q9UQ35	70	3.9135022209292396e-17	0	0.3991228070175439	0
Q9BVL2	7	1.0761350450170222e-05	0	0.4	0
Q15233	188	6.511582900310965e-36	0	0.2694610778443114	0
Q13123	51	2.716500934096533e-09	0	0.4594594594594595	0
Q96SW2	1	8.008491649264791e-06	0	0.30851063829787234	0
Q2TAY7	103	7.258476011466396e-31	0	0.5818181818181818	0
Q92973	47	9.258562042650209e-10	0	0.2463768115942029	0
Q9Y383	153	1.7099216604393046e-35	0	0.294478527607362	0
P09234	186	2.5561311405811936e-36	0	0.4864864864864865	0
P67809	141	1.3845032677508254e-33	0	0.23768115942028986	0
O60506	150	3.0414825710406526e-38	0	0.2315112540192926	0
P02545	45	7.820534015138083e-09	0	0.15900383141762453	0
O94906	71	4.1163363378132527e-17	0	0.5849056603773585	0
P31942	165	5.1724893940236314e-40	0	0.4368932038834951	0
P09651	93	1.2959226017209133e-26	0	0.23504273504273504	0
P07910	59	8.14701426354154e-12	0	0.398876404494382	0
P16989	200	3.7740312230565803e-35	0	0.35714285714285715	0
P84103	55	5.690341667455036e-10	0	0.4857142857142857	0
O75643	79	8.590240381530634e-23	0	0.46551724137931033	0
Q96SB4	169	6.511489446188621e-37	0	0.23109243697478993	0
Q15428	85	4.371613628526942e-26	0	0.5857142857142857	0
Q16629	74	5.733311405969606e-19	0	0.5862068965517241	0
P62318	89	2.168452443549751e-26	0	0.48484848484848486	0
Q9UKV3	94	8.403623378914879e-28	0	0.37168141592920356	0
Q9H307	196	4.9892588483241285e-34	0	0.330188679245283	0
Q9UHX1	120	3.4917040783759778e-31	0	0.3984375	0
Q8WWY3	192	5.857600756523576e-36	0	0.27450980392156865	0
Q08170	171	4.6204318800788866e-39	0	0.5818181818181818	0
Q92621	10	8.970522227068301e-07	0	0.4375	0
P62314	84	6.658935502276273e-25	0	0.4935897435897436	0
P62995	135	9.52114555474029e-34	0	0.5375	0
Q9HCS7	116	8.24822801818633e-31	0	0.5932203389830508	0
Q92499	199	2.9152194548265705e-34	0	0.28368794326241137	0
P11387	64	1.1003386836909697e-13	0	0.3618421052631579	0
Q9Y3B4	86	5.112683188040915e-26	0	0.5679012345679012	0
P09913	185	2.9567938796462556e-35	0	0.6170212765957447	0
P62316	87	1.982513887596002e-26	0	0.5932203389830508	0
Q86VM9	104	3.89348723858964e-31	0	0.3141592920353982	0
Q9NRG9	31	3.724805516662534e-11	0	0.375	0
Q15287	100	2.0555948850337336e-29	0	0.3383084577114428	0
Q96DI7	130	3.991464854141194e-33	0	0.5441176470588235	0
Q15393	73	8.97601191966223e-18	0	0.46408839779005523	0
Q53GS9	114	3.885602716111107e-32	0	0.43333333333333335	0
Q15029	69	1.3003724377491407e-16	0	0.4658385093167702	0
Q8TEM1	39	1.961358039695195e-09	0	0.5	0
Q15459	75	3.126902812636233e-19	0	0.4425287356321839	0
P55769	184	1.2061889743698314e-35	0	0.2866666666666667	0
P05412	133	3.586034642744299e-32	0	0.09472161966738973	0
Q9NZC7	190	1.5961223372330518e-35	0	0.2304147465437788	0
Q5SRE5	13	3.696719954778687e-09	0	0.4411764705882353	0
Q8IYB3	82	6.245464687321132e-24	0	0.45751633986928103	0
Q99567	15	4.876797125459106e-10	0	0.5	0
P46060	33	1.0259330173466964e-09	0	0.26495726495726496	0
P98175	194	1.1507978916758372e-34	0	0.4050632911392405	0
P03372	197	2.9048128796159637e-33	0	0.10196078431372549	0
P49790	14	6.032248426199471e-09	0	0.44	0
P63162	193	7.429762787478982e-36	0	0.3333333333333333	0
P62826	37	1.7721187229847894e-10	0	0.2125	0
P52294	54	7.350667479061898e-11	0	0.20168067226890757	0
O95793	155	8.973856298217549e-36	0	0.2145214521452145	0
P12270	42	4.266889316561272e-09	0	0.4367816091954023	0
P08621	99	5.37007325225546e-29	0	0.4105263157894737	0
Q9UKX7	27	1.563024674544558e-11	0	0.17647058823529413	0
Q12874	111	3.03842512650697e-31	0	0.45901639344262296	0
Q9HC62	35	5.381419410090249e-10	0	0.28125	0
Q96HA1	29	3.597202923665548e-12	0	0.24489795918367346	0
P62306	124	2.3001398062329564e-31	0	0.375	0
P35658	16	1.9828627136016658e-10	0	0.47619047619047616	0
P62304	117	5.698874248722187e-31	0	0.4383561643835616	0
O75147	28	2.3385463236479642e-11	0	0.24036697247706423	0
O95400	109	2.9376987498993986e-31	0	0.40875912408759124	0
P14678	128	1.9380262822550807e-33	0	0.43103448275862066	0
O75533	80	3.2963455734313713e-23	0	0.42780748663101603	0
P49756	183	4.769572161514737e-36	0	0.463768115942029	0
Q9BZJ0	125	6.375355265699484e-33	0	0.5636363636363636	0
O75400	105	1.4003865754332392e-30	0	0.3407821229050279	0
