name	is_seed	spd	component_id
P02511	1	0.0	0
P62736	1	0.008403361344537815	1
P10398	1	0.010101010101010102	1
Q9Y4K3	1	0.0019157088122605363	2
Q08380	1	0.006666666666666667	2
P07437	1	0.014336917562724014	2
Q01850	1	0.038461538461538464	2
P48454	1	0.02857142857142857	2
O14964	1	0.009389671361502348	2
O00459	1	0.008620689655172414	2
Q8NEY4	1	0.0	3
P19474	1	0.0	4
Q15056	1	0.0	5
Q9NRA8	1	0.0	6
Q16666	1	0.005050505050505051	7
Q8NFH5	1	0.01694915254237288	7
P07339	1	0.017857142857142856	7
P13056	1	0.037037037037037035	8
O60341	1	0.007272727272727273	8
P04259	1	0.030303030303030304	8
P19419	1	0.0	9
Q92478	1	0.0	10
Q9HD23	1	0.0	11
Q01081	1	0.0	12
P09914	1	0.0	13
O14770	1	0.0	14
P25101	1	0.047619047619047616	15
P29992	1	0.03125	15
Q9Y6H6	1	0.0	16
Q8WXF8	1	0.0	17
Q5T7M9	1	0.0	18
Q68DY1	1	0.0	19
O14782	1	0.0	20
Q86VW0	1	0.0	21
