Sample	custom_content_topology-nodes	custom_content_topology-edges	custom_content_topology-seeds	custom_content_topology-diameter	custom_content_topology-components	custom_content_topology-largest_component	custom_content_topology-max_dist_to_seed	custom_content_topology-isolated_nodes
Host_Cytoplasm.amygdala.diamond	235	5715	35	6.0	6	230	2	5
Host_Cytoplasm.amygdala.domino	16	16	7	6.0	2	13	1	0
Host_Cytoplasm.amygdala.firstneighbor	2311	60045	35	5.0	1	2311	1	0
Host_Cytoplasm.amygdala.no_tool	35	16	35	0	21	10	0	16
Host_Cytoplasm.amygdala.robust	72	99	35	9.0	3	70	1	2
Host_Cytoplasm.amygdala.robust_bias_aware	72	96	35	9.0	4	69	1	3
Host_Cytoplasm.amygdala.rwr	112	410	35	6.0	1	112	1	0
Host_Cytoplasm.brain.diamond	236	5453	36	6.0	7	230	2	6
Host_Cytoplasm.brain.domino	5	4	2	4.0	1	5	1	0
Host_Cytoplasm.brain.firstneighbor	2346	60673	36	5.0	1	2346	1	0
Host_Cytoplasm.brain.no_tool	36	16	36	0	22	10	0	17
Host_Cytoplasm.brain.robust	78	116	36	9.0	2	77	1	1
Host_Cytoplasm.brain.robust_bias_aware	79	118	36	11.0	3	77	1	2
Host_Cytoplasm.brain.rwr	105	432	36	5.0	1	105	1	0
Host_Cytoplasm.dorsal_root_ganglia.diamond	236	2311	36	6.0	11	225	3	9
Host_Cytoplasm.dorsal_root_ganglia.domino	14	11	6	2.0	3	7	1	0
Host_Cytoplasm.dorsal_root_ganglia.firstneighbor	2367	63782	36	5.0	1	2367	1	0
Host_Cytoplasm.dorsal_root_ganglia.no_tool	36	17	36	0	21	10	0	16
Host_Cytoplasm.dorsal_root_ganglia.robust	73	108	36	10.0	2	72	1	1
Host_Cytoplasm.dorsal_root_ganglia.robust_bias_aware	73	104	36	9.0	4	70	1	3
Host_Cytoplasm.dorsal_root_ganglia.rwr	101	441	36	6.0	1	101	1	0
Host_Cytoplasm.hypothalamus.diamond	236	5331	36	6.0	7	230	2	6
Host_Cytoplasm.hypothalamus.domino	15	12	6	4.0	3	7	1	0
Host_Cytoplasm.hypothalamus.firstneighbor	2319	60386	36	5.0	1	2319	1	0
Host_Cytoplasm.hypothalamus.no_tool	36	16	36	0	22	10	0	17
Host_Cytoplasm.hypothalamus.robust	75	108	36	10.0	3	73	1	2
Host_Cytoplasm.hypothalamus.robust_bias_aware	77	113	36	7.0	4	73	1	2
Host_Cytoplasm.hypothalamus.rwr	109	502	36	6.0	1	109	1	0
Host_Cytoplasm.salivary_gland.diamond	234	2123	34	6.0	11	223	2	9
Host_Cytoplasm.salivary_gland.domino	8	6	4	3.0	2	4	1	0
Host_Cytoplasm.salivary_gland.firstneighbor	2272	59314	34	5.0	1	2272	1	0
Host_Cytoplasm.salivary_gland.no_tool	34	12	34	0	22	7	0	17
Host_Cytoplasm.salivary_gland.robust	74	111	34	8.0	3	70	1	1
Host_Cytoplasm.salivary_gland.robust_bias_aware	74	109	34	9.0	4	69	1	2
Host_Cytoplasm.salivary_gland.rwr	107	558	34	6.0	1	107	1	0
Host_Cytoplasm.uniprot_ppi.diamond	241	2708	41	6.0	12	229	2	10
Host_Cytoplasm.uniprot_ppi.domino	20	22	8	5.0	2	11	1	0
Host_Cytoplasm.uniprot_ppi.firstneighbor	2974	82882	41	5.0	1	2974	1	0
Host_Cytoplasm.uniprot_ppi.no_tool	41	17	41	0	26	10	0	21
Host_Cytoplasm.uniprot_ppi.robust	94	136	41	9.0	4	91	1	3
Host_Cytoplasm.uniprot_ppi.robust_bias_aware	95	143	41	9.0	4	92	1	3
Host_Cytoplasm.uniprot_ppi.rwr	196	1532	41	6.0	1	196	1	0
