source	target
Q7L4P6	O95153
O00267	Q96IT1
O00267	P07900
O75208	Q8TC12
O75208	P12236
P08559	P02545
P08559	O14734
P04150	Q96F46
P04150	P07900
P04150	Q96IT1
O43805	P62195
O43805	Q9UM82
O43805	Q86VQ0
O43805	P12429
P62258	P07900
P62258	P34897
P62258	P49721
P62258	Q8TEW0
P62258	Q86VQ0
P62258	P62136
P62258	Q9BUA3
P62258	Q06124
P62258	Q01814
P62258	Q14999
P62258	Q9C0B0
Q00597	P00846
Q00597	P07900
P16591	Q8WVF5
P16591	P07900
P16591	P31946
Q9BUZ4	O15162
Q9BUZ4	Q9Y2W2
Q9BUZ4	Q08379
Q53RE8	Q13617
Q53RE8	Q13618
Q53RE8	O95817
Q53RE8	Q13620
Q49A26	Q16666
O95990	Q8ND90
O95990	Q9BRK4
Q15233	Q01844
Q15233	Q9H8W4
Q15233	Q8IXM3
Q15233	P60033
P08238	P07900
P08238	O00400
P08238	Q9C0B0
P08238	Q9UBU9
Q9NQC3	Q9NRS6
Q9NQC3	P02545
Q9NQC3	Q96FQ6
P05141	P07900
P05141	P82930
Q9Y2W2	Q01844
Q9Y2W2	P27986
P06213	O43739
P06213	P31946
P48201	Q9HCE1
P48201	P06576
P48201	Q9BQB6
P48201	Q9UBU9
P48201	Q13439
P48201	Q8N2G8
Q08379	Q9Y3Q8
Q08379	Q5JVL4
Q08379	Q96SQ5
Q08379	P80370
Q08379	Q9H668
Q08379	Q8IUH5
O94925	P35914
O94925	P63241
Q5JVL4	Q8WVF5
Q3KP66	Q13137
Q3KP66	O43739
Q9Y5S9	Q8WUH6
Q9Y5S9	Q01844
Q16763	P0CG48
Q16763	O76095
Q16763	P55072
O14933	P05161
Q96BY9	P21673
Q96BY9	Q9NRS6
O95989	Q15051
P49916	Q4J6C6
P49916	O76095
Q6P1K2	Q9NQZ6
Q6P1K2	P07900
O75828	P01130
O75828	Q01844
O75828	P16152
Q9ULM2	Q9NQZ6
Q9ULM2	P02545
P05408	Q9UMX0
P05408	Q9NRR5
P05408	Q07666
P05408	P30556
P41240	P55072
P29590	P02545
P29590	O14734
Q9NQZ6	Q9NP66
Q9NQZ6	P15622
Q9NQZ6	P0C7X2
Q9NQZ6	Q9BQD3
Q9NQZ6	Q9UHL9
Q9NQZ6	O60504
P35372	P0CG48
Q00610	Q5SW96
Q00610	P27348
Q99541	P53779
Q99541	P84077
Q99541	P04114
O95639	Q9BRK4
Q9UPT6	Q5SW96
Q9UPT6	Q02750
P01024	P02751
Q5JR59	P12236
Q5JR59	Q9UNY5
Q9BX68	Q14999
Q9BX68	P34897
Q8IUH5	P68104
Q8IUH5	Q12893
P84077	P0CG48
P84077	P49368
P84077	Q9NRW1
Q8N5R6	Q8ND90
Q8N5R6	Q6DKK2
Q8N5R6	Q9NRR5
O00483	Q16774
O00483	P12236
Q9C005	P0CG48
Q9C005	P50402
Q9NQC7	Q5JUX0
Q9NQC7	P07900
P15692	P49763
P15692	P07900
P15408	Q96EY1
P15408	O43739
Q99962	P00488
Q99962	P50402
Q99962	P05067
Q9NZ94	P68104
Q9NZ94	Q16774
P15151	Q15223
P15151	P63172
Q02750	P31946
