source	target
Q15369	O76095
Q15369	Q9Y3Q8
Q8WUH6	Q9Y5S9
Q8WUH6	P11021
Q8WUH6	Q96SW2
Q8WUH6	Q9UIQ6
Q8WUH6	Q15717
Q14512	Q9NRR5
Q14512	P09038
P05408	Q9NRR5
P05408	P30556
P05408	Q9UMX0
P05408	Q07666
Q5SW96	Q9BYT8
Q5SW96	Q9H668
Q5SW96	P01130
Q5SW96	Q13573
Q5SW96	Q07866
Q5SW96	Q9UPT6
Q5SW96	P05549
Q5SW96	P63010
Q5SW96	Q00610
O60504	Q9H9H4
O60504	Q9NQZ6
P54920	P55072
Q15427	Q01844
Q15427	O75177
Q15427	P16333
P08238	P07437
P08238	Q9UKB1
P08238	O00400
P08238	P11021
P08238	O75530
P08238	P07948
P08238	Q8NBE8
P08238	P22607
P08238	Q00597
P08238	P12814
P08238	Q96SW2
P08238	P16591
P08238	Q7Z6Z7
P08238	P11362
P08238	O95817
P08238	Q14999
P06732	P27348
P06732	Q9NXF8
O76095	P49916
O76095	Q16763
P26045	P27348
P26045	O14734
P00488	P08567
P00488	Q99962
Q00597	P00846
Q13432	Q9BRK4
Q13432	P53779
Q13432	Q15714
Q15051	P68104
Q15051	Q16774
Q9HCD5	Q16543
P07900	P04114
P07900	Q96EY1
P07900	P52789
P07900	P15692
P07900	P10914
P07900	P07437
P07900	O00267
P07900	Q6P1K2
P07900	P36897
P21673	P04637
P21673	Q96BY9
O60341	Q9NRS6
O60341	P04637
P20309	Q96EY1
P20309	Q8TBF5
P98066	Q99731
P98066	P0CG48
P98066	P02776
Q12926	Q8IUH3
Q12926	Q9H000
Q12926	Q86SE5
Q5JUX0	Q9BUA3
Q5JUX0	Q9NQP4
Q5JUX0	P34947
Q5JUX0	P32121
Q5JUX0	Q9NQC7
Q12893	O43889
Q12893	Q9P0N5
Q12893	Q8IUH5
Q12893	Q9NY72
Q12893	Q86X19
Q12893	Q8N205
Q14258	P27348
Q14258	O43739
P63172	P02545
P63172	P15151
P09429	Q15661
P09429	P04637
P82930	P05141
P82930	Q4J6C6
Q8IYH5	Q9H159
Q8IYH5	Q96IT1
Q8IYH5	Q9Y6K9
Q9BQB6	P48201
Q9BQB6	P02545
P16871	P08567
P16871	P07437
Q00765	O15162
Q00765	P00846
Q00765	Q9NXF8
P27986	Q9NQZ6
P27986	P61981
P27986	Q15661
Q6P1K2	Q9NQZ6
Q86YD3	P36955
Q86YD3	Q05639
Q16394	Q92882
P16152	P0CG48
O75909	Q9Y3Q8
O75909	Q9BRK4
O75909	Q9NP66
P32121	P27348
P41240	P55072
P15531	P51116
P49916	Q4J6C6
O75208	Q8TC12
O75208	P12236
P01130	O75828
Q9UBU9	Q9NX57
Q9UBU9	Q16774
Q9UBU9	P68104
Q15714	Q9NRP0
P30556	P27348
P30556	Q8ND90
P15622	Q9NQZ6
P15622	Q5JR59
O43739	Q9BRX9
O43739	P35568
O43739	P42336
O43739	P06213
O43739	Q969H4
O43739	Q13227
O43739	P15408
O43739	Q3KP66
Q9Y2K6	Q7L4P6
Q9Y2K6	P02545
P36955	P68400
P36955	Q969R5
P36955	Q96PU5
P36955	P40692
P36955	Q06124
P36955	P68366
P36955	Q96AD5
P36955	Q9P2G9
P36955	P11021
Q9NRW1	Q7L8A9
Q9UBQ5	Q16666
P05067	Q6UWN8
P05067	P07437
P05067	Q9NXF8
P05067	Q8N682
P05067	Q92882
P78371	P07437
P78371	Q9BRX9
P78371	Q969R5
P78371	Q14999
Q15654	P34897
Q15654	P12236
Q15654	Q5JVL4
Q15654	Q99757
Q15654	P29972
Q9BQD3	Q9NQZ6
Q9BQD3	Q8N5R6
Q9BQD3	Q01844
Q9NRS6	Q15041
Q9NRS6	P49902
Q9NRS6	Q9NYD6
Q9NRS6	Q9UI14
Q9NRS6	Q86VN1
Q9NRS6	Q96BY9
Q9NRS6	P02751
Q9NRS6	Q9NQC3
Q9NRS6	Q96HR9
Q5JVL4	Q8WVF5
Q16082	Q16774
Q16082	P68104
P35372	P0CG48
Q4J6C6	P38432
Q4J6C6	Q9UPT9
Q4J6C6	P21912
Q4J6C6	Q15717
P02545	Q8WVX3
P02545	Q15041
P02545	Q8NF91
P02545	Q92882
P02545	Q969F0
P02545	P01100
P02545	Q15233
P02545	Q7L5A8
P02545	Q9UI14
P02545	O43889
P02545	Q9NQC3
P02545	Q96HR9
O43865	Q16543
O43865	Q92838
Q99962	P50402
P12814	P08567
P35241	P08567
P35241	P55072
Q9UPY8	O00560
Q49A26	Q16666
Q96IT1	O00267
Q96IT1	Q13263
Q96IT1	Q8NF99
Q96IT1	Q13185
Q9BYT8	Q8NF91
Q9UIQ6	Q01844
O60337	Q9NXF8
O60337	P0CG48
Q86VN1	P0CG48
Q16666	Q9Y5S9
Q16666	P04637
Q16666	P09038
Q16666	Q8IWA0
Q16666	Q13185
Q8WVF5	P51116
Q8WVF5	P16591
O95251	P04637
O95251	Q8NHQ1
O95251	Q13137
P04114	Q99541
Q969F0	Q9H2H9
Q969F0	Q8N205
P05114	P36873
Q9NRP0	Q9H2H9
Q9NRP0	P16444
Q9NRP0	O75530
Q9NRP0	Q9NY72
Q9NRP0	P80370
Q9NRP0	Q92838
Q9NRP0	Q01814
Q9NRP0	O15488
Q9NRP0	P05161
P15056	P27348
P15056	O14807
Q13617	P27348
Q13617	Q53RE8
Q9NZL4	Q92956
P62136	Q96S65
P62136	Q04917
P61981	P07437
P61981	P35568
P61981	Q9NYD6
P61981	Q9C0B0
P61981	Q8TEW0
P61981	Q8TEU7
P61981	Q07866
P61981	Q8NF99
P61769	Q9BXS6
P63010	P12236
Q6NSJ2	Q7Z4H7
Q6NSJ2	Q9NP66
Q6NSJ2	Q969H4
Q9Y2W2	Q01844
Q9Y2W2	P36873
P55072	O15503
P55072	P50991
P55072	Q02750
P55072	P63241
P55072	Q05639
P55072	Q92956
P55072	Q9BUL8
P55072	P38432
P55072	Q9UMX0
P55072	Q16763
P55072	Q14999
P55072	Q9UKB1
P55072	Q9NQC7
P06213	P31946
Q9Y3Q8	Q08379
Q9Y3Q8	Q8N5R6
Q9Y3Q8	P04156
Q9Y3Q8	Q9UKB1
Q9Y3Q8	P51116
Q96SQ5	O15162
Q96SQ5	Q96S65
O94952	P35914
O94952	P04637
P04637	Q9BSJ6
P04637	P07437
P04637	P49902
P04637	Q07666
P04637	P08047
P04637	P05549
P04637	Q13227
P04637	P31689
Q13618	P27348
Q13618	P15328
Q13618	Q53RE8
O95990	Q9BRK4
Q08380	P07437
Q08380	P51116
Q3KP66	Q13137
Q969R5	Q9H159
Q99541	P53779
Q99541	P84077
P11362	Q15223
Q99757	O43805
Q8NBE8	O14734
P50402	P07437
P50402	O43889
P50402	Q9P0N5
P50402	P08559
P07948	P15328
Q9ULM2	Q9NQZ6
Q9ULM2	Q9BRK4
P29590	O14734
P29590	O15162
Q9UKV8	P05141
Q9UKV8	P15328
P55196	P27348
P55196	O14807
P55196	Q15223
Q8WVC6	Q8TC12
Q8WVC6	P0CG48
Q02750	Q9UPT6
O15162	P12236
O15162	O95336
O15162	P0C7X2
O95295	P62258
O95295	Q6QNY1
Q8TBF5	Q9UKB1
P80370	Q08379
P0C7X2	Q9NQZ6
Q9BV68	P05141
Q9BV68	O95989
Q9BV68	P35914
P27348	P07437
P27348	Q15772
P27348	Q06830
P27348	P68400
P27348	Q9NRR5
P27348	Q15717
P27348	O95817
P27348	Q14999
P27348	P04049
P27348	Q96PU5
P27348	P34947
