source	target
Q9C0B0	Q9NYF5
Q9H4A3	Q9Y4F9
Q9H4A3	Q9UMS6
Q9H4A3	Q9Y3Q8
Q9H4A3	Q9NYF5
Q99832	Q9NRH3
Q99832	Q9BPW8
Q99832	Q9HBY8
Q99832	Q9NQW1
Q99832	Q9GZS0
Q99832	Q9H7D0
Q99832	Q9NXB0
Q99832	Q9NW82
Q99832	Q9BUR4
Q99832	Q9BQS8
Q99832	Q9Y3L5
Q99832	Q9C0K7
Q99832	Q9UJT1
Q99832	Q9Y4R7
Q99832	Q9BYB4
Q99832	Q9UPM9
Q99832	Q9Y2I8
P63104	Q96N96
P63104	Q9UMS6
P63104	Q99832
P63104	Q07002
P63104	Q08495
P63104	Q96GE4
P63104	Q9Y2U5
P63104	Q684P5
P63104	Q9P0K1
P63104	Q9NYF5
P63104	Q9UPU9
P63104	Q9NQU5
P63104	Q99469
P63104	Q5PRF9
P63104	Q9NYF0
P63104	Q9P0L2
P63104	Q16890
P63104	Q12802
P63104	Q86YV0
P63104	Q9BWT1
P63104	Q9Y4F9
P63104	Q12912
P63104	Q9H4A3
P63104	Q8TE04
P63104	Q5VV41
P63104	Q7L8J4
P63104	Q92628
P63104	Q9UPR5
P63104	Q9H902
P63104	P78371
P63104	Q14678
P63104	Q96TC7
P63104	Q9UKF7
P63104	Q6PJG9
P63104	Q8ND90
P63104	Q0VF96
P63104	Q9GZV5
P63104	Q7KZI7
P63104	Q6ICG6
P63104	Q9C0B0
P63104	Q04917
P63104	Q13470
P63104	Q8NCJ5
P31946	Q5PRF9
P31946	Q96NE9
P31946	Q9P0K1
P31946	P47974
P31946	P61962
P31946	Q13470
P31946	Q6PJG9
P31946	Q9UPR5
P31946	Q9UPU9
P31946	P31947
P31946	Q7L8J4
P31946	Q9Y2H2
P31946	Q9Y2U5
P31946	P55851
P31946	Q8TF72
P31946	Q7Z6J6
P31946	Q07002
P31946	Q16890
P31946	Q96N96
P31946	P61981
P31946	Q96PX8
P31946	Q6ICG6
P31946	Q04917
P31946	Q12802
P31946	Q9UBF8
P31946	Q9UKF7
P31946	Q7KZI7
P31946	Q9C0B0
P31946	P50749
P31946	Q9H4A3
P31946	Q9NYF0
P31946	Q13972
P31946	Q14678
P31946	Q7L7X3
P31946	Q99469
P31946	P32418
P31946	Q08495
P31946	P63104
P31946	Q9P0L2
P31946	Q96TC7
P31946	P57103
P31946	Q7Z460
P31946	P62258
Q14145	Q8IUH3
Q14145	Q9Y3Q8
P27348	Q9NYF0
P27348	P50991
P27348	Q04917
P27348	Q9UKF7
P27348	P63104
P27348	Q8TE04
P27348	Q9H4A3
P27348	P50990
P27348	Q9UPR5
P27348	P50749
P27348	Q9Y2U5
P27348	P31947
P27348	Q6N021
P27348	Q9UBF8
P27348	Q6ICG6
P27348	Q7KZI7
P27348	Q13470
P27348	Q96TC7
P27348	P31946
P27348	P62258
P27348	Q14678
P27348	Q9NQU5
P27348	Q5PRF9
P27348	P57103
P27348	Q32P44
P27348	Q9P0K1
P27348	Q9BWT1
P27348	Q96N96
P27348	Q4FZB7
P27348	P27448
P27348	Q9GZV5
P27348	P55851
P27348	Q16890
P27348	Q9NRR5
P27348	Q07002
P27348	Q5VV41
P27348	P32418
P27348	Q96NE9
P27348	P29074
P27348	P61981
P27348	Q6PJG9
P27348	Q7Z6J6
Q04917	Q7KZI7
Q04917	Q86YD1
Q04917	Q9BWT1
Q04917	Q9P0L2
Q04917	Q8NCJ5
Q04917	Q6ICG6
Q04917	Q13470
Q04917	Q96NE9
Q04917	Q6N021
Q04917	Q9UKF7
Q04917	Q6PJG9
Q04917	Q96N96
Q04917	Q6UUV9
Q04917	Q14678
Q04917	Q9Y2U5
Q04917	Q07002
Q04917	Q9P0K1
Q04917	Q9NYF0
Q04917	Q7Z460
Q04917	Q7Z6J6
Q04917	Q32P44
Q04917	Q9UPU9
Q04917	Q9H902
Q04917	Q13796
P61981	Q5PRF9
P61981	Q7Z460
P61981	Q14678
P61981	Q9BWT1
P61981	Q96NE9
P61981	Q7L7X3
P61981	Q6N021
P61981	Q9UMS6
P61981	Q9P0L2
P61981	Q9C0B0
P61981	P78371
P61981	P62258
P61981	Q9H902
P61981	Q6ICG6
P61981	Q96TC7
P61981	Q96GE4
P61981	P63104
P61981	Q9UBF8
P61981	Q12912
P61981	Q7Z6J6
P61981	Q6PJG9
P61981	Q12802
P61981	Q7L8J4
P61981	Q7KZI7
P61981	Q0VF96
P61981	Q32P44
P61981	Q9Y4F9
P61981	Q9H4A3
P61981	Q5TBA9
P61981	Q9NYF5
P61981	Q4FZB7
P61981	Q9UKF7
P61981	Q9NQU5
P61981	Q08495
P61981	Q6UUV9
P61981	Q13796
P61981	Q04917
P61981	Q5VV41
P61981	Q9NYF0
P61981	Q13470
P61981	Q96N96
P61981	Q99437
P61981	Q9UPU9
P61981	Q9GZV5
P61981	Q9Y2U5
P62258	Q07002
P62258	Q99437
P62258	Q7KZI7
P62258	Q9UKF7
P62258	Q6PJG9
P62258	Q9NQU5
P62258	Q9H4A3
P62258	Q9C0B0
P62258	Q86YV0
P62258	Q13972
P62258	Q6ICG6
P62258	Q13796
P62258	Q9NYF5
P62258	Q9BSJ6
P62258	P63104
P62258	Q14678
P62258	Q12802
P62258	Q5PRF9
P62258	Q7Z460
P62258	Q08495
P62258	Q9NYF0
P62258	Q0VF96
P62258	Q9H902
P62258	Q9P0L2
P62258	Q9Y2U5
P62258	Q13470
P62258	Q99469
P62258	Q684P5
P62258	Q96GE4
P62258	Q04917
P62258	Q9UPU9
P62258	Q92628
P62258	Q9P0K1
P62258	Q96N96
P62258	Q9UPR5
P62258	Q6UUV9
P62258	Q9GZV5
P62258	Q12912
P62258	Q99471
P62258	Q9Y4F9
P17036	Q9BUZ4
P17036	Q5JR59
Q9BRK4	Q9BXY8
Q9BRK4	Q9ULM2
Q9BRK4	Q9BUY5
Q9BRK4	Q9BZL3
Q9BRK4	Q9P2Z0
Q8NHQ1	Q9BSJ6
Q8NHQ1	Q9H7H0
Q8NHQ1	Q96GY3
Q8NHQ1	Q96SK3
Q8NHQ1	Q9BXY8
Q8NHQ1	Q9ULM2
