source	target
Q99873	Q9UBU9
Q99873	Q9Y4K3
Q99873	Q9NQC7
Q99873	Q9H0R8
Q99873	Q9UQL6
Q49A26	Q9NPJ6
Q9H0R8	Q9H492
Q9H0R8	Q9UKV8
Q9H0R8	Q9UBU9
Q9UBU9	Q9Y5S9
Q9UBU9	Q9Y2W2
Q9C0B0	Q9UMX0
Q9C0B0	Q9H2H9
Q9C0B0	Q9NQC3
Q9UKB1	Q9Y3Q8
Q9H492	Q9UKB1
Q9H492	Q9UMX0
Q9H492	Q9UKV8
Q9H492	Q9NRR5
Q9H492	Q9HCD5
Q9NQC7	Q9UMX0
Q9NQC7	Q9Y6K9
Q9NQC7	Q9UBQ5
Q9NQC7	Q9Y4K3
O95817	P63172
O95817	Q15427
O95817	P63104
O95817	P62993
O95817	P31946
O95817	P78362
O95817	Q9H8Y8
O95817	P07900
O95817	Q01844
O95817	Q5S007
O95817	P34931
O95817	P27348
O95817	Q04917
O95817	P05161
O95817	P08238
O95817	Q9Y6K9
O95817	P01241
O95817	P61981
O95817	P62258
O95817	P42858
O95817	P05141
O95817	P08670
O95817	P63279
O95817	Q9UKB1
O95817	P62195
O95817	P21796
O95817	P12236
O95817	Q13283
O95817	P12931
O95817	Q9UBU9
O95817	Q13620
O95817	Q15554
O95817	Q53RE8
P04637	Q13620
P04637	P21673
P04637	P29590
P04637	P08670
P04637	P34931
P04637	Q00610
P04637	P0CG48
P04637	P53779
P04637	P05412
P04637	P07900
P04637	P63104
P04637	P24941
P04637	P55072
P04637	P08047
P04637	P36873
P04637	Q92793
P04637	Q969H0
P04637	P68366
P04637	P07437
P04637	P68104
P04637	P40227
P04637	Q8IVT5
P04637	P05141
P04637	Q9UKB1
P04637	P49902
P04637	Q15717
P04637	P60709
P04637	P63279
P04637	P62195
P04637	Q13233
P04637	P62987
P04637	P09429
P04637	P78371
P04637	P06748
P04637	Q13526
P04637	Q16666
P04637	P67809
P04637	P49368
P04637	Q9UQL6
P04637	Q13283
P04637	P07948
P04637	Q9UKV8
P04637	P62136
P04637	P50991
P04637	Q04206
P04637	Q07666
P04637	P11021
P04637	Q9H0W5
P04637	P68400
P04637	P40337
P04637	Q09472
P04637	P08559
P04637	Q7Z6Z7
P04637	P27348
