source	target
Q9C0B0	Q9UHH9
Q99832	Q9BQ87
Q99832	Q9BPW8
Q99832	Q9HBY8
Q99832	Q9H7D0
Q99832	Q9NXB0
Q99832	Q9NW82
Q99832	Q9BUR4
Q99832	Q9BQS8
Q99832	Q9Y3L5
Q99832	Q9C0K7
Q99832	Q9UJT1
Q99832	Q9Y4R7
Q99832	Q9BYB4
Q99832	Q9UPM9
Q99832	Q9Y2I8
Q99832	Q9P2G9
P07900	Q9Y2E6
P07900	Q719I0
P07900	Q96RR4
P07900	Q15185
P07900	Q8TDR2
P07900	Q9BQI3
P07900	Q8TD08
P07900	Q13451
P07900	Q96QP1
P07900	Q14296
P07900	P78371
P07900	Q86YJ5
P07900	Q96BT7
P07900	Q49AN0
P07900	Q86YV6
P07900	Q8TC59
P07900	Q9Y6S9
P07900	Q7L622
P07900	P80192
P07900	Q6ZSB9
P07900	Q13105
P07900	Q9C0B0
P07900	P52789
P07900	Q9H7B4
P07900	Q53HC5
P07900	Q86UV7
P07900	Q6J9G0
P07900	Q96QS6
P07900	P41222
P07900	Q9NPJ1
P07900	Q7Z624
P07900	Q9UHH9
P07900	Q86UP8
P07900	P08238
P07900	Q07002
P07900	Q6PIJ6
P07900	Q9UL19
P07900	Q7Z3Z4
P07900	P13762
P07900	Q9BRZ2
P07900	Q96AZ1
P07900	Q09013
P07900	Q96ME1
P07900	Q16543
P07900	Q9HBY8
P07900	Q8N165
P08238	Q49AN0
P08238	Q9C0B0
P08238	Q6ZSB9
P08238	Q8TC59
P08238	Q96RR4
P08238	P80192
P08238	Q9H7B4
P08238	Q96QP1
P08238	Q9BRZ2
P08238	Q96AZ1
P08238	Q9BQI3
P08238	P78371
P08238	Q09013
P08238	Q8TDR2
P08238	P13762
P08238	Q86YJ5
P08238	Q9UHH9
P08238	Q16543
P08238	Q01432
P08238	Q9Y6S9
P08238	Q7L622
P08238	Q8N165
P08238	Q14296
P08238	Q96QS6
P08238	Q13105
P08238	Q86UP8
P08238	Q9HBY8
P08238	Q6J9G0
P08238	Q9Y2E6
P08238	Q86YV6
P08238	Q53HC5
P08238	Q15185
P08238	Q13451
P08238	Q9H0B8
P08238	Q96ME1
P08238	Q7Z624
P08238	P20594
P08238	Q86UV7
P08238	Q7Z3Z4
P08238	Q8TD08
P08238	Q6PIJ6
P08238	Q8N446
P08238	Q07002
Q9BRK4	Q9ULM2
Q9BRK4	Q9NWQ4
Q9BRK4	Q9UQ90
Q9BRK4	Q9BUY5
Q9BRK4	Q9H0A9
Q9BRK4	Q9H6L4
P50402	Q8WXH0
P50402	Q16543
P50402	Q9UH99
P50402	Q8NF91
P50402	Q9BQS8
P50402	Q8N5R6
P50402	Q8NHQ1
Q8NHQ1	Q9H7H0
Q8NHQ1	Q96SQ5
Q8NHQ1	Q9ULM2
Q8NHQ1	Q9NWQ4
Q8NHQ1	Q8TCX5
Q8NHQ1	Q96NG3
Q8NHQ1	Q9BUY5
Q8ND90	Q9NRR5
Q8ND90	Q9H7H0
Q8ND90	Q96ME1
Q8ND90	Q9H1D0
Q8ND90	Q96GS6
Q8ND90	Q9UQ90
Q8ND90	Q96GV9
Q8ND90	Q9H0A9
Q8ND90	Q96IZ5
Q08379	Q5H9K5
Q08379	Q96LX7
Q08379	Q5TAP6
Q08379	Q86VK4
Q08379	Q8IXS8
Q08379	Q7Z4I7
Q08379	Q68DK2
Q08379	Q96NG3
Q08379	Q6IPM2
Q08379	Q8TBE0
Q08379	Q8TCX5
Q08379	Q5W5X9
Q08379	Q96IZ5
Q08379	Q96SQ5
Q08379	Q8N143
Q08379	Q15735
Q08379	Q7Z2X4
Q08379	Q96ME1
Q08379	Q9BUZ4
Q08379	Q96GS6
Q16864	Q9C0B0
Q16864	Q9P2H0
P50990	Q96BT7
P50990	P50991
P50990	Q92526
P50990	Q9UPM9
P50990	Q49AN0
P50990	P78371
P50990	Q8IYD2
P50990	Q9HBY8
P50990	Q9BPW8
P50990	Q9C0B0
P50990	Q92636
P50990	Q99832
P50990	P57775
P50990	Q9H7D0
P50990	Q9NPJ1
P50990	Q7Z4S6
P50990	Q96AZ1
P50990	Q7Z624
P50990	P60510
P50990	Q9BUR4
P50990	Q6NXE6
P50990	Q969R5
Q96AZ1	Q99832
Q13137	Q14296
Q13137	Q8IY34
Q13137	Q8N4T4
Q13137	Q9H7H0
Q13137	Q8N143
Q13137	Q8TCX5
Q13137	Q9BUY5
Q13137	Q7Z4I7
Q13137	Q6PIY7
Q13137	Q8N5R6
Q13137	Q9BUZ4
Q13137	Q8TBE0
Q13137	Q96ME1
P50991	Q92636
P50991	Q9UPM9
P50991	P57775
P50991	Q86VZ2
P50991	Q9HBY8
P50991	Q8IYD2
P50991	P78380
P50991	P60510
P50991	Q9BPW8
P50991	Q969R5
P50991	Q9C0B0
P50991	Q9BQ87
P50991	Q8WW22
P50991	Q9NXB0
P50991	Q96BT7
P50991	Q9Y4R7
P50991	Q9Y2I8
P50991	Q8N5D0
P50991	P78371
P50991	Q6NXE6
P50991	Q96AZ1
P50991	Q49AN0
P50991	Q92526
P50991	Q14990
P50991	Q99832
P50991	Q9NPJ1
P50991	Q9BUR4
P50991	Q8NB37
