source	target
Q13618	P08238
Q13618	Q53RE8
Q13618	P15328
Q96SW2	P08238
Q96SW2	Q8WUH6
P15408	P01100
P15408	O43739
P11362	P08238
P11362	Q15223
Q9BYT8	Q5SW96
Q9BYT8	Q8NF91
O00214	Q15223
O00214	Q13137
O14734	P05161
O14734	P29590
O14734	P26045
O14734	Q8IWL3
O14734	Q04864
O14734	P01106
O14734	P08559
O14734	P50542
Q7L4P6	P41223
Q7L4P6	P63279
Q7L4P6	O43741
Q7L4P6	Q8N5A5
Q13617	P08238
Q13617	Q53RE8
O95251	O95295
O95251	Q16666
O95251	Q96FC9
O15503	P55072
Q9NQZ6	P27986
Q9NQZ6	O60504
Q9NQZ6	Q9UHL9
Q9NQZ6	Q6P1K2
Q9NQZ6	Q9UK11
Q9NQZ6	Q9BQD3
Q9NQZ6	P0C7X2
Q9NQZ6	P15622
Q9NQZ6	Q9ULM2
Q9NQZ6	Q9NP66
P63241	P55072
P63241	O94925
P63241	Q14999
Q8IWA0	P08567
Q8IWA0	Q16666
Q13185	Q96IT1
Q13185	P62258
Q9NP66	Q6NSJ2
Q9NP66	O75909
Q9Y6K9	P07900
Q9Y6K9	Q5D1E8
Q9Y6K9	Q8IYH5
Q9Y6K9	Q9Y5S9
Q9Y6K9	Q9BSJ8
Q9Y6K9	O15488
Q5D1E8	P0CG48
Q9NQC3	Q9NRS6
Q9NQC3	P54920
P49916	O76095
P49916	Q4J6C6
Q9UKB1	P08238
Q9UKB1	Q8TBF5
Q9UKB1	Q9Y3Q8
P04637	P20023
P04637	P55072
P04637	P63279
P04637	P49902
P04637	Q15714
P04637	Q9HCE1
P04637	O60341
P04637	Q13227
P04637	O43741
P04637	P05549
P04637	P08047
P04637	P09429
P04637	P22087
P04637	Q8TEW0
P04637	Q00610
P04637	O15524
P04637	P68366
P04637	Q8IXM3
P04637	Q9UKV8
P04637	P53779
Q15772	P27348
Q8NF91	P50402
Q8NF91	Q16666
Q01814	Q9NRP0
Q01814	P62258
P50991	P55072
Q9NPJ6	P01024
Q9NPJ6	P50402
Q9NPJ6	O43805
P07437	P49721
P07437	P55072
P07437	Q6IBW4
P07437	P60033
P07437	Q9NQP4
P07437	Q04864
Q99972	P36955
Q99972	P68104
P41223	P49368
P35914	P50542
P35914	Q3MHD2
P35914	Q00403
P35914	O94925
P35914	Q15041
P35914	Q9BV68
Q969R5	P78371
Q969R5	P36955
Q969R5	Q9H159
Q9H813	Q8N2G8
O60337	P0CG48
O60337	Q9NXF8
P02545	P55085
P02545	Q8WVX3
P02545	P63172
P02545	Q969F0
P02545	Q7L5A8
P02545	Q92882
P02545	P29972
P02545	Q15041
P02545	Q9UI14
P02545	Q9BQB6
P02545	Q96HR9
P02545	O43889
P06576	P08238
P06576	P48201
Q96AD5	P0CG48
Q96AD5	P36955
P53779	P78371
P53779	Q99541
P53779	Q13432
Q14999	P08238
Q14999	Q9BX68
Q14999	P27348
Q14999	P68104
Q14999	P16152
Q14999	P50402
Q8NHQ1	Q9BXS6
Q8NHQ1	P14555
Q8NHQ1	P50402
Q9UBQ5	Q16666
Q9UBQ5	Q9NQC7
P54920	P55072
P35241	P08567
P35241	P55072
P50990	P55072
P50990	P49368
Q9P0N5	Q12893
Q9P0N5	O14654
Q6ZP80	P17931
Q6ZP80	Q8N205
Q9Y4P9	Q9H8W4
Q13137	O95990
Q13137	Q9BUZ4
Q13137	Q3KP66
Q13137	P0C7X2
Q13137	Q6IQ23
Q99731	P98066
P08567	P16871
P08567	Q04771
P08567	Q7L0Q8
P08567	P36897
P08567	P26038
P08567	P51659
P08567	P12814
P08567	P07996
P40616	Q13439
Q15717	Q5JUX0
Q15717	Q8WUH6
Q15717	P55072
Q15717	Q96S65
Q15717	Q04917
Q92956	P55072
Q92956	Q9NZL4
Q92956	Q9NRR5
Q9Y2W2	Q9BUZ4
Q9Y2W2	P61981
Q8ND90	Q8N5R6
Q8ND90	O95990
Q53RE8	O95817
Q53RE8	Q13620
P36897	P07900
P05114	P36873
Q04917	Q14103
Q04917	O75592
Q04917	Q07866
Q04917	P55072
Q04917	P35568
Q04917	Q86X19
Q04917	P42336
Q04917	P55196
Q04917	Q96PU5
Q9BQD3	Q01844
Q00610	Q5SW96
P13164	P20023
P13164	P60033
Q96EY1	P07900
Q96EY1	P20309
P27348	P55072
P27348	P06732
O75909	Q9Y3Q8
O75909	Q9BRK4
Q6P1K2	P07900
Q9BV68	O95989
Q9BV68	P55072
Q8NF99	Q96IT1
Q8NF99	P61981
Q8IUH5	Q12893
Q8IUH5	P68104
Q16774	Q14103
Q16774	Q15051
Q16774	O00483
Q16774	Q6DKK2
Q16774	Q9HCE1
Q9HCD5	Q16543
O14654	P27986
O14654	P55072
O14654	Q06124
O14654	Q86X19
Q9UHL9	P0CG48
Q7L5A8	O43889
P00846	Q9H2H9
P00846	Q00765
P00846	P08047
P00846	Q00597
P00846	O00400
Q9H8W4	Q15233
Q13620	P08238
P26038	Q01844
O75592	Q9H159
O00560	P0CG48
O00560	Q15223
P16152	P0CG48
P63010	P0CG48
P63010	Q5SW96
O75177	Q15427
Q9NX57	Q9UBU9
Q5SW96	Q07866
Q5SW96	Q9UPT6
Q5SW96	P05549
Q5SW96	P05067
Q5SW96	Q13573
Q5SW96	P01130
Q5SW96	Q9H668
P06213	P41240
P06213	O43739
P0CG48	O75828
P0CG48	P35372
P0CG48	P98066
P0CG48	P84077
P0CG48	Q04771
P0CG48	P98160
P0CG48	P40692
P0CG48	Q8WVC6
P0CG48	Q86VN1
P0CG48	P51659
P0CG48	Q3MHD2
P0CG48	Q9UBU9
P15056	P08238
P15056	O14807
P15056	Q15382
Q06830	Q13162
O43889	P50402
O43889	Q8N682
O43889	Q12893
O43889	Q96BA8
O43889	Q15382
Q6UWN8	P05067
Q8TEW0	Q15223
Q12893	Q86X19
Q12893	Q8N205
P35568	O43739
Q9UK11	Q99750
Q15369	Q16666
Q15369	O76095
Q15369	O14807
P49368	Q08380
P49368	Q9P2G9
P49368	P17931
Q7L0Q8	O14807
Q9H159	P29590
Q9H159	Q96FC9
P56181	P12236
P42336	O14807
P42336	O43739
P61981	Q9NYD6
P61981	P55072
P61981	P27986
P38432	Q4J6C6
P38432	P55072
P34897	Q9BX68
P34897	P62258
O95817	P08238
P48201	Q9UBU9
P48201	Q8N2G8
P48201	Q13439
P48201	Q9BQB6
P48201	Q9HCE1
Q9H2H9	Q969F0
Q9H2H9	Q9NRP0
Q49A26	Q16666
Q9BUZ4	O15162
Q9UKV8	P08238
Q9UKV8	P15328
P01024	P02751
P15692	P49763
P15692	P07900
Q7L8A9	Q9NRW1
Q9NYD6	Q9NRS6
Q86VN1	Q9NRS6
Q8TEU7	O14807
Q8TEU7	P31946
Q9HCE1	Q9NXF8
Q00597	P08238
P21673	Q9Y3Q8
P21673	Q13432
P21673	Q96BY9
Q13432	Q9NRR5
O75828	Q01844
O75828	P01130
P61956	P08238
P61956	Q96IT1
O15524	Q15223
Q9BRK4	O95639
Q9BRK4	P12236
Q9BRK4	Q6IBW4
P62136	Q96S65
P62136	P55072
P68366	P36955
Q9NXF8	P03372
Q9NXF8	P06732
Q9NXF8	Q00765
Q9NZL4	P11021
P49721	P15328
Q9Y3Q8	Q08379
Q9Y3Q8	P04156
Q9H668	Q08379
Q9C005	P50402
P27986	Q15661
O43741	Q9GZV8
P41240	P55072
P41240	Q8IWL3
Q08380	P07900
Q9ULM2	Q05639
Q6IQ23	P08238
Q6IQ23	P15328
Q9NRP0	P55085
Q9NRP0	Q15714
Q9NRP0	O75530
Q9NRP0	P16444
Q9NRP0	O15488
Q9NRP0	P80370
Q9NRP0	Q92838
Q9NRP0	P51686
Q5JUX0	Q9BUA3
Q5JUX0	P34947
Q5JUX0	Q9NQP4
Q5JUX0	Q9NQC7
Q5JUX0	P32121
P98066	O00585
P98066	P07996
P68400	P08238
P68400	P36955
Q96HR9	Q9NRS6
Q96BA8	P30536
Q01844	Q13162
Q01844	Q15233
Q01844	Q99750
Q01844	Q15427
Q01844	Q9UIQ6
Q01844	Q9H3N1
P08559	P78371
O43805	P62195
P20309	Q8TBF5
Q86X19	P50402
P15151	P63172
P15151	Q15223
O60341	Q6NSJ2
O60341	Q9NRS6
Q8N5R6	Q6DKK2
Q9H9H4	O60504
Q13573	P08238
Q9Y5S9	Q8WUH6
P62258	O95295
P62258	P55072
P62258	Q9BUA3
P62258	P51686
P62258	Q00403
P35372	P84077
Q9BRX9	P78371
Q9BRX9	O43739
Q08379	P80370
Q08379	P15622
Q6NSJ2	O43482
Q6NSJ2	Q969H4
O43739	Q3KP66
O43739	Q13227
O43739	Q969H4
O43739	Q14258
O43739	O43482
P98160	Q14512
P62195	P55072
P62195	O14807
Q15654	O43865
Q15654	O00585
Q15654	O43482
P05161	P08238
P49902	Q9NRS6
Q96SQ5	Q96S65
Q96SQ5	Q16543
O00483	P12236
Q14512	Q9NRR5
P15880	P08238
P15880	Q96IT1
P12830	P08238
P12830	Q15223
P36873	Q96S65
P36873	P55072
O00400	P08238
P02751	P08238
P02751	Q9NRS6
Q969F0	P50402
Q969F0	Q8N205
P55072	P78371
P55072	P08238
P55072	P40227
P55072	Q16543
P55072	Q9BUL8
P55072	P31946
P55072	Q05639
P55072	Q02750
P55072	P16871
P55072	Q15051
P55072	P04114
P55072	P26045
P55072	Q14258
P29972	Q96S65
Q9P2G9	P36955
P10914	P07900
Q00765	O15162
Q00765	O95989
Q06124	P36955
P78371	P01106
P78371	Q9UBU9
P68104	P07900
Q16543	P05067
Q16543	Q8N5A5
Q9BX68	P05067
Q8IXM3	Q4J6C6
P50542	O95989
P52789	P07900
Q15427	P16333
P17931	P08238
Q16666	P29590
Q8WVC6	Q8TC12
Q9H3N1	Q8TC12
Q86YD3	P36955
Q86YD3	Q05639
O43865	Q92838
P22087	Q96IT1
P56378	Q9C0B0
P09429	Q15661
Q8N5A5	O95273
P04114	Q99541
P04114	Q13162
P16444	Q8TC12
Q8WUH6	Q9UIQ6
Q8WUH6	P11021
Q15661	P16333
Q96BY9	Q9NRS6
P12236	O15162
P03372	P08238
Q92882	Q16394
Q9BSJ8	Q8TC12
Q9NRS6	Q9UI14
Q9NRS6	Q15041
Q8N682	P05067
P55198	Q05639
Q15223	P04156
Q6IBW4	P15328
Q99541	P84077
Q8IYH5	Q96IT1
Q8TC12	Q6QNY1
O14807	P04049
O14807	P55196
O14807	Q7Z6Z7
P36955	P40692
P36955	Q96PU5
P32121	P08238
P05141	P07900
Q15041	O95989
P08238	Q9C0B0
P08238	P04049
P08238	Q9UBU9
P08238	O75530
P08238	P07948
P08238	P34947
P08238	P11021
P08238	Q9NQC7
P08238	Q7Z6Z7
P08238	P12814
P61769	Q9BXS6
P15328	P07948
P31946	P01100
O95295	Q6QNY1
Q9UPT6	Q02750
