name	is_seed	spd	component_id
Q49A26	1	1.0	0
P04637	1	1.0	0
P63172	1	1.0	0
Q15427	1	1.0	0
P31946	1	1.0	0
P07900	1	1.0	0
Q01844	1	1.0	0
P27348	1	1.0	0
Q04917	1	1.0	0
P08238	1	1.0	0
Q9Y6K9	1	1.0	0
P61981	1	1.0	0
P62258	1	1.0	0
P05141	1	1.0	0
P12236	1	1.0	0
Q53RE8	1	1.0	0
Q9H159	1	1.0	0
Q16666	1	1.0	0
Q9BUZ4	1	1.0	0
Q9BRK4	1	1.0	0
P50402	1	1.0	0
P55072	1	1.0	0
Q12933	1	1.0	0
Q8NHQ1	1	1.0	0
Q8ND90	1	1.0	0
Q08379	1	1.0	0
P30536	1	1.0	0
Q9H9H4	1	1.0	0
P50991	1	1.0	0
P50990	1	1.0	0
P78371	1	1.0	0
Q06609	1	1.0	0
Q16543	1	1.0	0
P49368	1	1.0	0
Q06830	1	1.0	0
Q9C005	1	1.0	0
Q96EY1	1	1.0	0
P40227	1	1.0	0
Q08380	1	1.0	0
Q9H000	1	1.0	0
Q16864	1	1.0	0
P54920	1	1.0	0
P0CG48	1	1.0	0
Q13162	1	1.0	0
P98066	1	1.0	0
Q13137	1	1.0	0
Q5D1E8	1	1.0	0
P16152	1	1.0	0
P35372	1	1.0	0
Q9UKT9	1	1.0	0
Q05639	1	1.0	0
P68104	1	1.0	0
Q96FQ6	1	1.0	0
Q8NF91	1	1.0	0
Q13432	1	1.0	0
P24666	1	1.0	0
P41240	1	1.0	0
Q14525	1	1.0	0
Q15233	1	1.0	0
Q9Y2W2	1	1.0	0
Q8TC12	1	1.0	0
Q9NRW1	1	1.0	0
Q92956	1	1.0	0
Q7Z4H7	1	1.0	0
Q99962	1	1.0	0
P02545	1	1.0	0
P52789	1	1.0	0
P17987	1	1.0	0
P07437	1	1.0	0
Q6ZP80	1	1.0	0
Q9BXS6	1	1.0	0
Q9HCD5	1	1.0	0
P26641	1	1.0	0
Q9BX68	1	1.0	0
Q9BUL8	1	1.0	0
P61769	1	1.0	0
Q8WUH6	1	1.0	0
Q8IUH3	1	1.0	0
Q15772	1	1.0	0
P49458	1	1.0	0
P40616	1	1.0	0
P31260	1	1.0	0
Q02750	1	1.0	0
Q5JUX0	1	1.0	0
Q9NZL4	1	1.0	0
Q16621	1	1.0	0
P31151	1	1.0	0
Q9NXF8	1	1.0	0
P63241	1	1.0	0
P69892	1	1.0	0
Q9Y3Q8	1	1.0	0
Q92882	1	1.0	0
Q6UWN8	1	1.0	0
Q7L4P6	1	1.0	0
Q9H0U9	1	1.0	0
P55198	1	1.0	0
Q8N5R6	1	1.0	0
Q8N682	1	1.0	0
Q5SW96	1	1.0	0
Q14576	1	1.0	0
Q4J6C6	1	1.0	0
Q9UBQ5	1	1.0	0
Q15654	1	1.0	0
Q6NSJ2	1	1.0	0
Q9NRS6	1	1.0	0
Q9NRY6	1	1.0	0
Q5JR59	1	1.0	0
Q86SE5	1	1.0	0
Q99750	1	1.0	0
Q9BWG6	1	1.0	0
Q9UPY8	1	1.0	0
O95295	1	1.0	0
P10914	1	1.0	0
Q9GZV8	1	1.0	0
Q96S65	1	1.0	0
P01100	1	1.0	0
P36382	1	1.0	0
Q12926	1	1.0	0
Q7L8A9	1	1.0	0
O14654	1	1.0	0
Q15382	1	1.0	0
P15531	1	1.0	0
Q9BQ66	1	1.0	0
Q8N998	1	1.0	0
Q8WVX3	1	1.0	0
P21673	1	1.0	0
P55774	1	1.0	0
Q96F46	1	1.0	0
Q15223	1	1.0	0
Q9H813	1	1.0	0
Q9NRP0	1	1.0	0
P06028	1	1.0	0
Q969F0	1	1.0	0
P07307	1	1.0	0
P56181	1	1.0	0
O15392	1	1.0	0
O95251	1	1.0	0
O95639	1	1.0	0
O43865	1	1.0	0
Q14512	1	1.0	0
Q99731	1	1.0	0
O14933	1	1.0	0
P15328	1	1.0	0
Q96IT1	1	1.0	0
Q96BA8	1	1.0	0
P05114	1	1.0	0
P36955	1	1.0	0
Q9NQZ6	1	1.0	0
Q16774	1	1.0	0
O43805	1	1.0	0
O75828	1	1.0	0
P35914	1	1.0	0
P14555	1	1.0	0
P48201	1	1.0	0
P49763	1	1.0	0
O75177	1	1.0	0
Q15661	1	1.0	0
Q68G74	1	1.0	0
P14770	1	1.0	0
Q16394	1	1.0	0
O95989	1	1.0	0
Q7L5A8	1	1.0	0
Q12893	1	1.0	0
O76095	1	1.0	0
Q8TBF5	1	1.0	0
O75909	1	1.0	0
Q9Y4P9	1	1.0	0
P14210	1	1.0	0
Q8WVF5	1	1.0	0
P00846	1	1.0	0
P0DPB5	1	1.0	0
O15503	1	1.0	0
O95990	1	1.0	0
Q99541	1	1.0	0
O95273	1	1.0	0
P01024	1	1.0	0
P82980	1	1.0	0
O43739	1	1.0	0
O15162	1	1.0	0
P19652	1	1.0	0
P0DJI8	1	1.0	0
P05408	1	1.0	0
P08567	1	1.0	0
P13164	1	1.0	0
O14807	1	1.0	0
O00585	1	1.0	0
O43557	1	1.0	0
O14734	1	1.0	0
P56378	1	1.0	0
Q9NX57	1	1.0	0
Q9NUX5	0	0.6320754716981132	0
Q9Y2W1	0	0.951048951048951	0
Q9UJU6	0	0.8909090909090909	0
Q9NY33	0	0.92	0
Q9Y266	0	0.7816091954022989	0
Q9UI08	0	0.68	0
Q9UMR2	0	0.6810344827586207	0
Q9NZN9	0	0.7619047619047619	0
Q9UPN4	0	0.8170731707317073	0
Q9Y3X0	0	0.8333333333333334	0
Q9UBS4	0	0.8351648351648352	0
Q9UBB6	0	0.7307692307692307	0
Q9Y4P8	0	0.8723404255319149	0
Q9UNF0	0	0.7735849056603774	0
Q9NYB0	0	0.6506024096385542	0
Q9Y3A5	0	0.819672131147541	0
Q9UNE7	0	0.8769230769230769	0
Q9UNL2	0	0.8787878787878788	0
P62633	0	0.8598726114649682	0
