source	target
P04899	O60262
P04899	P06748
P00374	Q5VSY0
P00374	P0CG48
P07195	Q99623
P07195	P14735
P07195	P08754
P07195	Q6ZW49
Q9BTM1	P49736
P20585	P52701
Q9Y265	P28370
Q9Y265	Q9UHK0
P25705	P07947
P25705	Q10713
O60760	Q96GS6
O14734	P29590
Q8IYN2	Q9UBU9
Q86XP3	Q15427
Q86XP3	Q9UMS4
P35659	Q12888
P19338	P13010
P19338	P62993
P51808	P63172
P56524	Q12888
Q9P1Z3	Q15717
Q9P1Z3	Q9Y3Q4
Q969U6	P60022
Q969U6	P08238
P62826	Q9UQL6
P37198	P49736
Q96EY1	P0CG48
Q96EY1	P62993
O95602	P06733
O95602	O60264
Q9Y5B9	P13010
P43246	P13010
Q92769	Q99623
Q92769	Q15717
Q92769	Q01844
Q92769	Q15233
Q92769	Q9Y230
Q96EZ8	P54132
P16989	Q96SB4
P16989	P06748
O60262	P62879
O60262	P63096
O60262	P62873
O60262	Q96QD9
O60262	P08754
O60262	Q9UHK0
O60262	Q9HAV0
P63167	P11940
Q9H2X6	Q16778
Q04206	Q99623
Q04206	Q9Y230
Q04206	Q9BQ95
Q04206	P55899
Q04206	P08670
Q04206	P05412
Q04206	P17612
Q99856	Q12888
Q14203	Q15393
Q14203	P49458
Q14203	Q8TCX1
Q14203	P54257
Q14203	P62993
P78362	Q14576
P78362	P02545
P78362	Q14676
Q9Y3C6	Q8IZ63
Q9Y3C6	O60506
Q93009	Q15393
Q93009	Q7L4P6
O76064	P13010
Q14676	Q99623
O60437	P0CG48
Q9HCE1	P12956
Q9HCE1	Q8N8U2
Q9HCE1	Q9HAV7
Q96B97	P11940
O60506	P11940
Q9BQG0	P06748
Q9BQG0	O95793
P12004	P13010
Q9Y6K9	P08238
P22061	P49736
P22061	P31150
Q9HAV7	P27694
Q9HAV7	P62136
P62136	Q9UQL6
P62136	P62993
P02545	Q99623
P02545	Q9Y287
P02545	P62993
P02545	Q5UIP0
P78347	P12956
P63165	P11940
Q13547	Q99623
Q13547	O75381
P51532	P28370
Q9NVP2	P49736
Q96GM5	Q969G3
Q9H0A8	P19838
P68104	P11940
P68104	P49736
P04406	P49736
P04406	P01023
O14981	Q15717
Q9NR30	P28370
Q8N8U2	Q9UBU9
Q96GS6	Q08379
Q7Z434	P19525
P29692	P07947
P06241	P13010
P06241	Q9Y3Q4
P06241	P62873
Q15717	O60519
Q9Y4K3	Q99623
Q9Y4K3	P62879
Q9Y4K3	Q16543
Q9Y4K3	Q96F46
P84243	P28370
Q5VSY0	P17612
P60022	Q10713
P60022	O60551
P60022	O75439
P60022	P14735
P60022	P08670
P60022	P54257
P60022	P30419
P60022	Q5UIP0
P05166	P05165
P05166	P67870
Q9Y2M0	P54132
Q9H2P0	Q8WUI4
O95153	Q7L4P6
Q92624	P0CG48
P51668	P49736
P51668	Q9UK22
O95786	P0CG48
O95786	Q9Y4E8
Q16666	P28370
Q9UKL0	Q969G3
Q9UKL0	Q12888
O60814	P49736
P12268	P49736
P12268	P62993
P12277	Q9UQL6
P62807	P49736
Q8IUQ4	P49736
Q8IUQ4	Q9UPY8
Q12873	P49736
Q9UER7	Q92878
Q9UER7	Q9NPF5
Q96ST3	Q969G3
Q13243	P84103
P51965	Q9UK22
P12931	P08238
P12931	Q969G3
O14770	Q9HAV0
Q14191	P13010
Q08211	P13010
Q08211	Q15464
P62937	P49736
P62937	P62993
Q8N5R6	Q8WYH8
Q8N5R6	Q969Q6
O75928	Q08379
O75928	O95273
O75928	O96006
Q07021	Q99623
Q07021	Q96QD9
O75533	P07947
Q8ND90	P62736
P55209	P07947
P17028	P26196
P17028	Q9Y5A6
Q9BQE3	P49736
Q9BQE3	Q96GY0
P78527	P13010
Q8WWM7	P11940
P48730	P29590
P12036	P62993
P56545	P12956
P56545	P0CG48
P51531	Q969G3
O60264	P28370
P09884	P13010
P55854	P07947
Q5JR59	Q969G3
P18859	P19838
Q13363	Q9UKV0
Q13363	P30281
Q13363	Q9UQL6
P29590	Q8WUI4
Q96FJ2	P49736
P63267	P49736
Q9UMS4	P07947
O15379	Q99623
Q13137	Q8WUI4
Q13137	P0CG48
Q9Y4E8	Q99623
P06733	O75439
Q71U36	Q9Y2G8
Q71U36	Q96GY0
Q71U36	P63096
Q92922	P28370
