source	target
Q92769	Q04206
Q92769	Q9Y230
Q92769	Q01844
Q92769	Q15717
Q92769	P04629
Q92769	Q15233
Q9UPY8	Q14203
Q9UPY8	Q8IUQ4
Q8NCM8	Q9Y230
Q8NCM8	Q8TCX1
Q8NCM8	P55899
Q8NCM8	O75381
Q8NCM8	Q969Q6
Q8NCM8	Q96F46
Q8NCM8	P05412
Q8NCM8	Q15233
Q8NCM8	P21709
P51965	Q04206
Q01484	P04629
Q9UKV0	P56524
Q9UKV0	Q96ST3
Q9BQG0	Q04206
P51610	Q96ST3
P51610	Q13547
P63172	P07947
P63172	P51808
Q9NPH0	O60262
Q9NPH0	Q07021
O76064	P51668
O76064	Q14676
Q92878	Q14676
P02545	Q14676
P02545	Q9Y287
Q01844	Q14576
P22061	Q12873
P63167	P11940
P62826	P51531
O14981	P21709
P12277	Q9UQL6
Q13426	Q12873
P23497	Q16666
O14734	P29590
Q13247	Q08170
Q13247	Q13243
Q7Z434	Q9Y4K3
P56545	P12956
Q96RQ3	Q9HCC0
Q96RQ3	P29692
P19525	Q08211
P35659	Q16778
P35659	Q9UER7
Q9Y2G8	Q71U36
Q71U36	P50402
Q71U36	P63096
O60519	Q15717
Q8NHQ1	P50402
Q8WWM7	P11940
Q8WWM7	P26196
Q96EY1	Q04206
O75928	P61956
O75928	O95273
Q9H2P0	P50402
O95153	Q7L4P6
Q10713	P60022
Q10713	Q9HCC0
Q12888	Q14676
P54132	Q14191
Q8IUQ4	P51668
Q9Y5A6	P17028
P62136	Q14676
P62136	Q9BYX4
P04406	Q13363
Q9UK22	P51668
P08238	Q04206
P08238	Q969U6
P08238	O14775
P08238	Q16543
P08238	P62879
P08238	P04899
P08238	P21709
P20585	P43246
P20585	P27694
Q8WYH8	Q9HCE1
O95786	P51668
Q09028	Q12873
Q8IYN2	Q9UBU9
Q8WUI4	P56524
Q14203	P49458
Q14203	Q8TCX1
Q93009	Q04206
Q93009	Q7L4P6
Q86XP3	O75533
P51532	Q14676
Q8N5R6	P50402
Q8N5R6	Q969Q6
Q96B97	Q14676
Q15427	O75533
P12004	Q14191
O00327	P67870
O00327	Q9UKL0
Q07021	P50402
Q07021	Q96QD9
O95602	Q9Y265
O95602	Q9HCE1
Q99856	P0CG48
Q99856	P29590
Q8TAQ2	Q14676
O95793	Q14676
P30281	Q13363
P17844	Q08211
P17844	Q12873
P10809	Q13547
P10809	Q16778
P18859	P25705
P18859	P06733
O60264	Q12873
P12268	Q9UQL6
O15379	P50402
O15379	Q04206
O15379	Q96F46
Q9UBU9	P50402
Q9UBU9	Q8N8U2
Q9UBU9	O75439
Q9NR30	Q04206
Q9NR30	P78362
P48730	P29590
P17028	P26196
P17028	P54257
P84243	O75533
P84243	P12956
O60814	Q9UQL6
O60814	P49736
Q93077	P49736
Q9Y4E8	Q99623
P05166	Q9HCE1
Q9UER7	Q04206
P13010	Q14191
Q96EZ8	Q9Y265
Q15393	O75533
Q15393	Q13368
Q13137	Q96GM5
P55209	P07947
P55209	Q9Y4K3
P63165	Q14191
Q92522	Q16666
P29590	Q14191
Q96SB4	Q08211
P78527	Q14191
P78527	Q14676
P52701	Q16666
P0CG48	Q9Y2M0
P0CG48	Q92624
P0CG48	O60437
P0CG48	P14735
Q9Y6K9	Q04206
P19838	Q04206
P19838	P05165
P19838	Q96IJ6
P19838	Q5UIP0
P55854	Q12873
P22681	P51668
P07195	Q99623
P28370	Q92922
P28370	Q16666
O60506	P11940
Q15717	Q9P1Z3
Q15717	Q96GY0
Q9H2X6	P61956
Q9H2X6	Q16778
Q7L7L0	Q9Y5B9
Q7L7L0	P49736
Q08379	P56524
Q08379	Q96GS6
P09884	Q9HCE1
P06733	Q14676
P19338	Q14676
P84103	Q08211
Q969G3	Q96GM5
Q969G3	P0C7W6
Q969G3	Q92922
P06241	Q08211
P06241	Q9Y3Q4
P06241	P62873
P37198	Q16666
P06748	Q04206
P00338	Q9UQL6
Q9HAV7	Q9HCE1
P25705	Q04206
P25705	P01023
P49736	Q9BTM1
Q96GS6	O60760
Q14683	Q14676
P62736	Q8ND90
Q96FJ2	P62807
Q96FJ2	P68104
Q9UKL0	P50402
Q9NVP2	Q9HCE1
P67870	O60551
P27694	Q14191
Q9Y5B9	Q14191
P68104	P11940
Q9BQE3	P50402
Q9BQE3	Q96GY0
P62937	Q9UQL6
Q9UMS4	O75533
Q13363	Q12873
Q8N8U2	Q9HCE1
P29692	Q04206
Q13243	O75533
Q9Y4K3	P51668
Q5JR59	P56524
P67809	Q08211
P67809	O75533
Q9HCE1	Q12926
Q9Y265	Q9UHK0
Q14576	P78362
Q14576	P01023
Q14576	O75381
Q14576	P04629
Q14576	Q16543
Q14576	Q9BQ95
Q14576	Q12926
Q9H0A8	Q04206
Q9H0A8	P26196
P16989	Q08211
O96006	P61956
O60262	Q9UHK0
O60262	Q13368
O60262	Q96QD9
O60262	O14775
O60262	P62879
O60262	P63096
O60262	P04899
O60262	P62873
Q8ND90	P56524
Q13547	O75381
P12956	Q14191
P63267	P50402
P51531	Q04206
Q92922	Q14676
Q93008	P51668
Q99623	Q14676
Q08211	P30419
Q9P1Z3	Q9Y3Q4
Q04206	P49427
Q04206	P55899
Q04206	P08670
Q04206	Q9BQ95
Q04206	P05412
P60022	Q5UIP0
P60022	P08670
P60022	P54257
P60022	Q969U6
P60022	P14735
P60022	O60551
P60022	O75439
P60022	P30419
