source	target
Q12888	P56524
Q9H0H5	Q8TF71
Q9H0H5	Q96B97
Q9H0H5	P62807
P55899	Q8NCM8
P55899	P19838
Q8N8U2	Q9UBU9
Q8N8U2	Q9HCE1
P29692	P68104
P04899	O60262
P04899	P06748
Q09028	P56524
Q8IUQ4	P49427
Q8IUQ4	Q16633
P30419	P60022
P30419	P06241
Q9HCE1	P12277
Q9UER7	O15379
Q9HAV0	O14770
Q9HAV0	P68431
Q9HAV0	O60262
P55854	P06733
Q96GY0	Q71U36
Q96GY0	Q9BQE3
Q9Y4E8	P12277
Q92922	Q14676
O76064	Q14676
O60437	Q93009
Q5VSY0	O75161
Q5VSY0	P17612
Q9Y5B9	P68431
P63167	P68104
Q93062	Q8N9W6
Q93062	O14770
O96006	O75928
Q01484	Q9UHK0
Q9H2X6	P29590
P26196	Q08379
O60519	Q15717
P27694	Q93009
P27694	Q15717
P27694	Q5UIP0
P27694	P08670
P27694	Q9Y230
P27694	O43251
Q9NVV9	P07947
Q9NVV9	P37198
Q9NVV9	Q66K41
P18859	P06733
P60022	Q5UIP0
P60022	Q10713
P60022	P08670
P60022	P14735
P60022	Q969U6
P60022	P54257
P60022	O60551
P60022	O75439
P12956	P06733
Q8WYH8	Q969G3
Q8IYN2	Q9UBU9
Q8IYN2	Q15717
P06241	P06733
P06241	Q9Y3Q4
P06241	P62873
P22681	P68104
P13010	Q08211
O75533	O15379
P12931	P06733
P12931	Q96QD9
P12931	P17612
P50402	O15379
P50402	P63267
Q96GS6	O60760
Q96GS6	Q8ND90
P17844	O15379
P17844	O43251
P22061	P06733
Q9Y5A6	P17028
Q8TAQ2	Q14676
O95273	O75928
P62826	P68431
Q04206	O15379
O00327	Q9UKL0
O95786	Q9Y6K9
O95786	P0CG48
P19838	P56524
P19838	Q96IJ6
P19838	Q9H0A8
P52701	Q92878
P61956	P56524
P06748	P06733
Q99623	O15379
O95153	Q7L4P6
Q8ND90	P56524
Q8ND90	Q8N5R6
Q12873	P06733
P62136	P12277
P62136	Q9HAV7
P62136	Q9BTM1
P62136	Q92734
P16989	Q93009
P16989	Q9GZZ9
Q15393	Q93009
Q14191	Q08211
Q14191	Q14676
Q93077	P49736
Q99856	P29590
Q99856	Q15717
P54132	Q92878
P43246	Q92878
P07195	P12277
Q08170	P02545
Q08170	P54257
Q96EY1	Q93009
P51610	Q9UQL6
P49736	Q9BTM1
P49736	P63267
P49736	Q7L7L0
P49736	O14775
Q86XP3	Q15427
Q86XP3	O60506
P19338	Q92522
O95602	P06733
P12268	Q9UQL6
P84103	Q08211
Q13243	Q9UMS4
Q13243	P02545
Q15717	Q9P1Z3
O60814	Q9UQL6
P12004	P06733
P12004	P20585
P56545	Q9UKL0
Q96FN5	P02545
P23497	Q16666
P23497	Q9UBU9
Q13547	P06733
Q13547	O75381
Q96B97	P06733
Q8NHQ1	Q969G3
P51668	Q93008
P51668	Q9UK22
P28370	P68431
P20585	Q9Y6K9
Q9HCC0	Q07021
Q9HCC0	Q96RQ3
Q9HCC0	P10809
P37198	Q969G3
P49458	Q14203
Q96GM5	O15379
P62736	P67809
P51965	Q93009
P51965	Q9UK22
Q7Z434	Q9BYX4
Q7Z434	Q13137
Q7Z434	Q9BPW9
P08238	P06733
P08238	O75161
P08238	Q969U6
P55209	P0C0S8
P05165	P05166
P10809	P68431
Q13247	Q15427
P63165	P56524
Q16778	Q93009
Q9H2P0	P51532
Q9H2P0	Q8WUI4
O60262	O14775
O60262	Q9UHK0
O60262	Q96QD9
O60262	P62873
O60262	P63096
O60262	Q9NPH0
O60262	P08754
O60262	P62879
O60264	P68431
O95793	P06733
Q96EZ8	P67870
Q96SB4	P62937
P84243	Q9UQL6
Q92624	P0C0S8
P0CG48	P49427
P0CG48	Q8NFQ8
P0CG48	P14735
Q92769	P06733
P78527	O15379
P62807	P06733
Q8NCM8	Q969Q6
Q8NCM8	Q9Y230
Q8NCM8	O75381
Q8NCM8	Q15464
Q8NCM8	Q8TCX1
Q9NVP2	P68431
P67870	P49427
P67870	P05166
P67870	O60551
P11940	P67809
Q96FJ2	P68104
P29590	O14734
P29590	P48730
P29590	O15379
Q96RQ3	Q14203
Q13363	P56524
Q13363	P30281
Q14203	Q8TCX1
Q9Y6K9	O15488
P07947	Q92522
Q9Y4K3	Q93009
Q9Y4K3	Q08211
Q9Y4K3	P08754
Q9Y4K3	P62879
P35659	P68431
Q8WUI4	P56524
Q9Y287	P02545
P0C0S8	P68431
Q14683	Q14676
Q14683	P09884
Q9BQE3	P68104
Q71U36	Q9Y2G8
Q71U36	O15379
Q71U36	P63096
Q9Y2M0	P68431
Q9NR30	Q08211
Q8WWM7	P67809
Q9UBU9	P05166
Q96ST3	P56524
P02545	P63172
Q9UMS4	P06733
Q8N5R6	Q13137
Q8N5R6	Q969Q6
Q07021	Q9NPH0
P00338	P06733
Q8IYA8	Q08379
Q7L4P6	Q93009
P63172	P51808
O60506	P67809
Q9UKV0	P56524
Q9UKL0	O15379
O75928	O15379
O75928	Q9BYX4
Q9BQG0	P68104
Q8N9W6	Q92734
Q8N9W6	Q9GZZ9
Q8N9W6	Q8WVV9
Q8N9W6	O43251
Q8N9W6	Q66K41
P04406	P06733
Q92878	Q14676
Q9UQL6	P56524
Q9UQL6	P25705
P25705	P67809
P25705	Q10713
P19525	Q08211
P51531	Q969G3
P51531	P68431
P68104	P17028
P67809	Q92522
P09884	P06733
Q8TF71	Q9NZ08
Q8TF71	Q8NFQ8
Q8TF71	Q9BPW9
Q8TF71	O15488
Q93009	Q15464
Q9P1Z3	Q9Y3Q4
P62937	P06733
Q08379	P56524
O15379	Q8WVV9
P06733	Q9NZ08
P06733	O75439
