source	target
P30419	P60022
P30419	Q9UBU9
P51610	P63172
P23527	Q9HCE1
Q93077	P49736
P12277	Q9HCE1
P26196	Q8WWM7
P67809	Q9Y4K3
P67809	Q15717
Q969G3	Q9HCE1
Q969G3	P0C7W6
Q969G3	Q01844
Q9Y287	P02545
P0CG48	Q12873
P0CG48	O60437
P0CG48	P62879
P0CG48	Q8NFQ8
P0CG48	P14735
Q99880	P49736
Q04206	P62805
Q04206	Q9UJW3
Q04206	P04629
Q04206	P08670
Q04206	Q9BQ95
P06748	P62807
P06748	P04899
P06748	P62993
P06748	P05067
O75558	P56545
O75558	P05067
Q9BWF2	Q9Y4K3
Q9BWF2	P05067
Q9HCC0	Q96RQ3
Q9HCC0	Q07021
Q71DI3	P62805
Q71DI3	O14686
Q96B97	Q9HCE1
P10809	Q9HCE1
P10809	Q8N5S1
P10809	P01023
P10809	P05067
O75928	Q8IUQ4
O75928	O95273
O75928	P29590
Q9Y2G8	Q71U36
Q9H2P0	P51532
P13010	Q9Y5B9
O95786	Q9Y4E8
P60022	Q5UIP0
P60022	P08670
P60022	P54257
P60022	Q969U6
P60022	Q12851
P60022	O75439
P60022	Q10713
P60022	O60551
P60022	P14735
Q9NPF5	Q13547
Q9NPF5	P12004
Q9UER7	P62805
Q08379	O95793
Q08379	Q96GS6
Q16777	P62805
Q9P1Z3	Q15717
Q9P1Z3	Q9Y3Q4
Q9Y6K9	Q9Y4K3
Q9Y6K9	Q9H0H5
Q9Y6K9	O15488
O95602	Q9HCE1
Q6NXE6	Q8TF71
Q6NXE6	P43360
P07195	P62937
Q8N5S1	O60262
P02545	Q96FN5
P02545	P63172
P02545	Q15717
P50402	Q9HCE1
P50402	Q8NHQ1
P22681	Q9Y4K3
Q8N257	P49736
Q8ND90	P62736
Q6S8J3	Q71U36
O60506	O95793
O60506	P05067
Q96GY0	Q71U36
Q96GY0	Q14203
Q96GY0	P05067
Q96GY0	Q15717
O60437	Q93009
P56524	P62805
P56524	P05067
P19838	Q12873
P19838	Q96IJ6
P19838	Q9H0A8
P19838	Q15717
Q9BTM1	P49736
Q9UK22	P51965
Q9UK22	Q86T26
Q93009	Q7L4P6
O60264	Q12873
Q9UMS4	Q9HCE1
P51668	Q9Y4K3
Q92922	Q9HCE1
Q7L4P6	O95153
P05165	P05166
Q9Y265	Q9Y4K3
Q9Y265	P62993
P18859	P25705
P17028	Q9Y5A6
P17028	Q5UIP0
P51531	Q12873
P43355	Q13547
P06733	Q12873
Q16695	P62805
Q9UBU9	Q12873
Q9UBU9	Q8IYN2
Q9UBU9	Q8N8U2
Q9UBU9	Q9H3P2
Q9UBU9	P78362
P23497	Q9HCE1
P58876	P49736
Q8N5R6	Q13137
O60262	P62879
O60262	Q13368
O60262	P04899
O60262	Q9NPH0
O60262	P63096
P19525	Q9Y4K3
P05166	Q9HCE1
Q9BQE3	P38398
Q9BQE3	P62993
P84103	Q13247
P84103	P05067
Q8TF71	Q96KN2
Q8TF71	Q9NZ08
Q8TF71	Q86T26
Q8TF71	Q9BPW9
Q8TF71	Q9H0H5
Q8TF71	Q8NFQ8
Q8TF71	O15488
P33778	Q12873
Q92624	P0C0S8
P51965	Q9Y4K3
Q14676	Q96GM5
P12931	Q9Y4K3
P20671	P49736
Q9UQL6	P62805
P12268	P38398
P08238	P38398
P08238	Q969U6
P08238	P62993
O14734	P29590
Q13426	Q12873
P29692	Q9Y4K3
P29692	P05067
P55854	Q12873
Q9H3P2	Q8IZ63
Q9H3P2	Q8IUQ4
Q99623	Q9Y4K3
Q14191	P29590
Q14191	Q9Y5B9
Q16633	Q8IUQ4
Q9H2X6	Q16778
Q9H2X6	Q8IUQ4
P05067	Q9Y5F6
P05067	P62805
P05067	Q9Y5A6
P05067	Q99879
P05067	Q16666
P05067	P30281
P05067	Q8IYN2
P05067	Q9NVV9
P05067	Q86XP3
P05067	O95793
P05067	Q9BQG0
P05067	Q6FI13
O00327	Q7Z4H7
Q96SB4	P62937
Q96SB4	Q13247
P48730	P29590
P43360	Q13547
P43360	Q14203
Q8N6Y0	Q96GM5
P49959	P54132
Q15393	P38398
Q15393	Q9Y3C6
Q13363	Q12873
Q13363	Q15717
Q13243	Q9HCE1
Q7L2Z9	P62805
P27694	Q9HAV7
O14981	Q15717
Q7Z7J5	Q7L190
Q96KK5	P49736
P04406	P62805
Q8WUI4	Q9HCE1
O75533	P84243
Q96EY1	P38398
O14770	Q6P1W5
