name	is_seed	spd	component_id
Q08211	1	1.0	0
Q9NR30	1	1.0	0
Q13247	1	1.0	0
Q9UBU9	1	1.0	0
Q9HCE1	1	1.0	0
P63172	1	1.0	0
Q15427	1	1.0	0
Q13363	1	1.0	0
P11940	1	1.0	0
P78527	1	1.0	0
P08238	1	1.0	0
Q9Y6K9	1	1.0	0
P55209	1	1.0	0
P12931	1	1.0	0
P19338	1	1.0	0
Q14203	1	1.0	0
Q9UQL6	1	1.0	0
Q9H2P0	1	1.0	0
Q9Y265	1	1.0	0
Q07021	1	1.0	0
P62736	1	1.0	0
P49736	1	1.0	0
P62136	1	1.0	0
Q93009	1	1.0	0
Q13243	1	1.0	0
P62937	1	1.0	0
P50402	1	1.0	0
Q8IUQ4	1	1.0	0
P37198	1	1.0	0
P61956	1	1.0	0
P62807	1	1.0	0
Q8NHQ1	1	1.0	0
Q8ND90	1	1.0	0
P63165	1	1.0	0
Q08379	1	1.0	0
Q9Y4K3	1	1.0	0
P25705	1	1.0	0
Q9UER7	1	1.0	0
Q9NPF5	1	1.0	0
P52701	1	1.0	0
Q71U36	1	1.0	0
P43246	1	1.0	0
Q9BQE3	1	1.0	0
P22061	1	1.0	0
P0CG48	1	1.0	0
Q12873	1	1.0	0
P56545	1	1.0	0
Q13137	1	1.0	0
P10809	1	1.0	0
Q14676	1	1.0	0
Q09028	1	1.0	0
P51668	1	1.0	0
Q96EY1	1	1.0	0
Q93008	1	1.0	0
Q9UMS4	1	1.0	0
Q96B97	1	1.0	0
Q9Y4E8	1	1.0	0
P22681	1	1.0	0
Q92624	1	1.0	0
Q12888	1	1.0	0
P78347	1	1.0	0
Q16778	1	1.0	0
Q99856	1	1.0	0
P49427	1	1.0	0
P55854	1	1.0	0
Q04206	1	1.0	0
Q9Y2M0	1	1.0	0
P12004	1	1.0	0
P27694	1	1.0	0
P68104	1	1.0	0
P51610	1	1.0	0
P17844	1	1.0	0
Q92922	1	1.0	0
Q96GM5	1	1.0	0
Q8IZ63	1	1.0	0
P63267	1	1.0	0
Q01484	1	1.0	0
Q8TAQ2	1	1.0	0
P63167	1	1.0	0
Q8IYN2	1	1.0	0
P12268	1	1.0	0
Q92878	1	1.0	0
Q9H0A8	1	1.0	0
Q96FJ2	1	1.0	0
P67809	1	1.0	0
P51965	1	1.0	0
O60506	1	1.0	0
P02545	1	1.0	0
P04406	1	1.0	0
P05165	1	1.0	0
P16989	1	1.0	0
Q9HCC0	1	1.0	0
P56524	1	1.0	0
P06748	1	1.0	0
P84103	1	1.0	0
P12956	1	1.0	0
P05166	1	1.0	0
Q9NVP2	1	1.0	0
Q9UK22	1	1.0	0
P54132	1	1.0	0
Q16666	1	1.0	0
Q96RQ3	1	1.0	0
P13010	1	1.0	0
Q96SB4	1	1.0	0
Q99623	1	1.0	0
P26196	1	1.0	0
P84243	1	1.0	0
Q08170	1	1.0	0
Q92522	1	1.0	0
Q15393	1	1.0	0
Q9BQG0	1	1.0	0
Q92769	1	1.0	0
Q9Y5B9	1	1.0	0
Q86XP3	1	1.0	0
P30281	1	1.0	0
P20585	1	1.0	0
Q13547	1	1.0	0
Q14191	1	1.0	0
Q9HAV7	1	1.0	0
Q96IJ6	1	1.0	0
