name	connected_components_id	isSeed	nrOfOccurrences	significance	trees	is_seed	spd	component_id
P07195	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.02877697841726619	0
Q9BTM1	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.16666666666666666	0
P20585	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.037037037037037035	0
Q9Y265	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.008547008547008548	0
P25705	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.010638297872340425	0
O60760	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.3333333333333333	0
O14734	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.1	0
Q8IYN2	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.25	0
Q86XP3	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.04878048780487805	0
P35659	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.02040816326530612	0
P19338	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.005780346820809248	0
P51808	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.05555555555555555	0
P56524	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.005988023952095809	0
Q9P1Z3	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.6666666666666666	0
P62826	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.00625	0
P37198	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.010869565217391304	0
Q96EY1	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.02247191011235955	0
O95602	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.024096385542168676	0
Q9Y5B9	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.007462686567164179	0
P43246	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.007692307692307693	0
Q92769	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.01730103806228374	0
Q96EZ8	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.012987012987012988	0
P16989	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.02040816326530612	0
O60262	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.6666666666666666	0
P63167	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.004739336492890996	0
Q9H2X6	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.017241379310344827	0
Q04206	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.019337016574585635	0
Q99856	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.038461538461538464	0
Q14203	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.022026431718061675	0
Q93009	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.006872852233676976	0
O76064	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.017543859649122806	0
Q14676	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.011494252873563218	0
O60437	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.022727272727272728	0
Q9HCE1	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.003393665158371041	0
Q96B97	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.00510204081632653	0
O60506	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.006430868167202572	0
Q9BQG0	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.015625	0
P12004	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.0035971223021582736	0
Q9Y6K9	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.0028011204481792717	0
P22061	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.017543859649122806	0
Q9HAV7	0	1	30	1.0	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29	1	0.058823529411764705	0
