name	rank	visiting_probability	is_seed	spd	component_id
Q08211	10	0.003379081292170434	1	0.5	0
Q9NZI8	200	0.003301897423261987	1	0.6484375	0
Q9NR30	133	0.003327679762654355	1	0.5248618784530387	0
P68431	180	0.003596547307024421	1	0.32166301969365424	0
Q13247	20	0.003304071150242227	1	0.691358024691358	0
Q9UBU9	140	0.0037901378143340193	1	0.13315696649029982	0
Q9HCE1	90	0.0036557290607976936	1	0.12265084075173097	0
P63172	183	0.0033441247787569872	1	0.20869565217391303	0
Q15427	212	0.003307572707134396	1	0.38016528925619836	0
Q13363	15	0.003356833931040537	1	0.31891891891891894	0
P11940	195	0.0033404546245722425	1	0.43157894736842106	0
P78527	96	0.0034158577258730626	1	0.44545454545454544	0
P08238	189	0.0033635792606311926	1	0.20214190093708165	0
Q9Y6K9	218	0.003369338451169397	1	0.20227272727272727	0
P55209	123	0.0033091016380439554	1	0.4502923976608187	0
P12931	130	0.0033386890716755957	1	0.16135458167330677	0
P19338	85	0.0034103625824091236	1	0.4229828850855746	0
Q14203	172	0.0034294790159682194	1	0.18726591760299627	0
Q92922	71	0.0033401797626121596	1	0.5	0
Q13547	11	0.0035739326230378025	1	0.26161790017211706	0
Q9UQL6	126	0.003471697865253869	1	0.36182336182336183	0
Q9H2P0	117	0.003298866369961922	1	0.5614035087719298	0
Q9Y265	98	0.0033771428556233756	1	0.3905109489051095	0
Q07021	86	0.0033364038920725998	1	0.29136690647482016	0
P51532	75	0.0034028724190401332	1	0.4085106382978723	0
P54132	106	0.0033666434302491847	1	0.4948453608247423	0
P67870	97	0.003376149465526631	1	0.2679738562091503	0
P27694	7	0.003472733366796091	1	0.2790224032586558	0
Q16666	216	0.0034014936746839643	1	0.17579908675799086	0
Q96SB4	73	0.003349701833877684	1	0.25806451612903225	0
P84243	88	0.003372097646548709	1	0.5	0
P63165	19	0.003404726923647949	1	0.2938775510204082	0
P61956	204	0.0034414418757729424	1	0.3305785123966942	0
P13010	38	0.0034066251680918633	1	0.49324324324324326	0
Q92769	102	0.0034534746036544673	1	0.3687150837988827	0
Q9UER7	169	0.0034396485250597192	1	0.375	0
P38398	222	0.0036714626662452178	1	0.23469387755102042	0
P62736	160	0.003290409711946028	1	0.26282051282051283	0
P49736	48	0.004432710842122809	1	0.22662266226622663	0
P62136	163	0.003515896428966617	1	0.23123732251521298	0
Q93009	18	0.0034614354760043988	1	0.2968299711815562	0
Q13243	124	0.0033104668473273756	1	0.5227272727272727	0
P62937	55	0.0032970888437885227	1	0.48091603053435117	0
P50402	144	0.0033863841047344465	1	0.42857142857142855	0
Q8IUQ4	141	0.0033814148280064947	1	0.23863636363636365	0
P37198	176	0.0032994292220070924	1	0.3008849557522124	0
P62807	30	0.003327511750171385	1	0.21722846441947566	0
Q8NHQ1	93	0.0033014902612509564	1	0.1506849315068493	0
Q8ND90	202	0.0033033907940483295	1	0.1610738255033557	0
Q08379	227	0.0033533681257210323	1	0.18181818181818182	0
Q16695	83	0.003506546492054006	1	0.3888888888888889	0
Q9Y4K3	198	0.003397471029392667	1	0.18057921635434412	0
P25705	143	0.003322249451946139	1	0.47596153846153844	0
Q9BWF2	99	0.003277170081898203	1	0.475	0
Q9NPF5	137	0.0032818771839990346	1	0.35294117647058826	0
Q99623	191	0.003307452077564417	1	0.31891891891891894	0
Q12888	60	0.0033845805880483196	1	0.432258064516129	0
P52701	58	0.0033398883133723373	1	0.57	0
P62826	129	0.0033032338139200746	1	0.39572192513368987	0
Q15393	174	0.0033165289770239323	1	0.4396135265700483	0
P43246	214	0.003353679429421561	1	0.4605263157894737	0
Q9BQE3	199	0.0033562642030228913	1	0.3876651982378855	0
Q8WWM7	162	0.0032878984222087628	1	0.5208333333333334	0
Q09028	187	0.0034011794863574177	1	0.46875	0
Q14683	61	0.003337457261539034	1	0.42857142857142855	0
P48730	196	0.0032769207111573912	1	0.297029702970297	0
P51668	41	0.0033537160024729997	1	0.22180451127819548	0
Q92878	238	0.0033305922699966334	1	0.5338983050847458	0
Q16777	78	0.003332337536147553	1	0.4444444444444444	0
Q9HAV7	51	0.0032746453821521594	1	0.42105263157894735	0
Q9Y5B9	114	0.003428925466695752	1	0.5487804878048781	0
Q9UMS4	150	0.0033347278998819684	1	0.425	0
Q9Y5A6	69	0.0032769520074623732	1	0.391304347826087	0
Q8TAQ2	228	0.0033792220545066417	1	0.5222929936305732	0
P62805	43	0.0034853875328764187	1	0.4417910447761194	0
P51965	165	0.003326175606207614	1	0.20588235294117646	0
Q14676	152	0.0033742101496125206	1	0.3465346534653465	0
Q71DI3	66	0.00332805662748231	1	0.4166666666666667	0
P51531	118	0.003323549103441951	1	0.48333333333333334	0
Q96EZ8	153	0.003294556195934506	1	0.3493975903614458	0
P67809	138	0.0033911691317734366	1	0.3248259860788863	0
Q9BQG0	115	0.0033039076561268183	1	0.4968152866242038	0
Q96EY1	68	0.0032822708743225075	1	0.3963963963963964	0
P49959	131	0.003349885384550283	1	0.518796992481203	0
P78347	111	0.003359558788103693	1	0.5109489051094891	0
P51610	192	0.0033224218185790625	1	0.4112903225806452	0
Q04206	23	0.003419298802931013	1	0.29128440366972475	0
Q13404	3	0.003294696802196045	1	0.18292682926829268	0
Q71U36	235	0.0034600199293413443	1	0.26108374384236455	0
P22061	80	0.003303694897432955	1	0.38235294117647056	0
P0CG48	190	0.0035676252818581354	1	0.20321361058601134	0
Q12873	54	0.003373566184534164	1	0.4069767441860465	0
P56545	233	0.0033073818972164906	1	0.24786324786324787	0
Q13137	53	0.0033206592969556924	1	0.23404255319148937	0
P10809	108	0.003337399418238336	1	0.3353115727002967	0
Q93008	142	0.003291883736438311	1	0.3313253012048193	0
Q96B97	84	0.003305480904509314	1	0.18303571428571427	0
Q9Y4E8	63	0.003321405097836006	1	0.25906735751295334	0
P22681	103	0.0033390183089754243	1	0.20802919708029197	0
Q92624	209	0.0033086232373722544	1	0.11864406779661017	0
Q9UKT9	232	0.0033232939969293387	1	0.3394495412844037	0
Q16778	211	0.0033548974822778803	1	0.5851851851851851	0
Q99856	179	0.0032957917945289866	1	0.38461538461538464	0
P49427	92	0.0032805011824092417	1	0.4090909090909091	0
P55854	67	0.003360745243167923	1	0.2518518518518518	0
Q6FI13	95	0.0032785423394859022	1	0.7142857142857143	0
Q9Y2M0	89	0.003282851770642692	1	0.2549019607843137	0
P12004	91	0.0034591035056431457	1	0.3614457831325301	0
P68104	26	0.0033961272190249333	1	0.30385487528344673	0
P17844	237	0.0033508136190854797	1	0.5107913669064749	0
Q96GM5	112	0.003322251073752676	1	0.3813559322033898	0
Q8IZ63	213	0.0032687358179657013	1	1.0	0
P63267	33	0.003274504499805309	1	0.7894736842105263	0
Q01484	231	0.003271674598794828	1	0.2558139534883721	0
Q93079	184	0.0032695626728241477	1	1.0	0
Q6P1W5	236	0.003343951812617192	1	0.28	0
P63167	136	0.003357131784589424	1	0.20675105485232068	0
Q8IYN2	77	0.003266356958960579	1	1.0	0
Q7L190	139	0.0033372891388900234	1	0.22330097087378642	0
P12268	35	0.0032847450259751512	1	0.44339622641509435	0
Q7Z4H7	158	0.003298239941869825	1	0.29069767441860467	0
Q9H0A8	104	0.0032797780235360855	1	0.16326530612244897	0
Q96FJ2	101	0.0033022272693969154	1	0.2222222222222222	0
O60506	244	0.0033394589678701118	1	0.32947976878612717	0
P02545	207	0.0036543980457041884	1	0.2257100149476831	0
P04406	134	0.003322020262908874	1	0.38768115942028986	0
P05165	64	0.00330612159732027	1	0.5833333333333334	0
P16989	5	0.0033078828501204526	1	0.5565217391304348	0
Q9HCC0	12	0.0032943766152496007	1	0.7619047619047619	0
P56524	76	0.0033415001934108818	1	0.3	0
P06748	217	0.0034544720011723913	1	0.29017160686427457	0
P84103	81	0.0033065309568965397	1	0.5448717948717948	0
P12956	149	0.0034031546842081305	1	0.42296918767507	0
P05166	182	0.0033004562709860164	1	0.8947368421052632	0
Q9NVP2	57	0.003302333246015821	1	0.38461538461538464	0
Q9UK22	132	0.0032796575730726003	1	0.25	0
Q96RQ3	203	0.0032940401912386658	1	0.4444444444444444	0
P26196	243	0.0033216706194178283	1	0.4807692307692308	0
Q08170	36	0.0032850681303116234	1	0.6101694915254238	0
Q8TEE9	219	0.003279554533688298	1	0.5714285714285714	0
Q92522	188	0.00329206242725663	1	0.7792207792207793	0
Q99877	110	0.0032740394541722435	1	0.8636363636363636	0
Q86XP3	113	0.003288476218624121	1	0.6041666666666666	0
P30281	194	0.003278098828403462	1	0.23214285714285715	0
P20585	82	0.0032873897932316582	1	0.5405405405405406	0
Q14191	240	0.0033054016115558814	1	0.6862745098039216	0
Q96IJ6	186	0.003270407488063795	1	0.4117647058823529	0
Q6S8J3	155	0.003274719592314541	1	0.3939393939393939	0
P29692	170	0.003332451570979995	1	0.4307692307692308	0
Q969G3	105	0.0033945536762711647	1	0.46153846153846156	0
Q99878	156	0.0032690502485201276	1	1.0	0
Q99880	151	0.0032763569336577538	1	0.8	0
Q9H2X6	8	0.0033088344464472165	1	0.43661971830985913	0
P29590	94	0.003477539334341965	1	0.38132295719844356	0
P06899	42	0.003279890995471361	1	0.5161290322580645	0
P49458	208	0.0032735114885311897	1	0.2857142857142857	0
Q96FN5	175	0.0032693142823502636	1	1.0	0
Q99879	210	0.0032699771827188785	1	1.0	0
P04908	120	0.00335800042363849	1	0.7666666666666667	0
O94776	16	0.003321898745542674	1	0.4125874125874126	0
Q9UKV0	205	0.0033141906117648066	1	0.4444444444444444	0
Q96ST3	215	0.0034062366339134035	1	0.35964912280701755	0
P35659	65	0.0033005291907394537	1	0.5692307692307692	0
Q8WUI4	167	0.003311902491681477	1	0.35714285714285715	0
P19838	229	0.0035866663310793203	1	0.28604651162790695	0
P58876	29	0.003271929117160039	1	0.9583333333333334	0
Q8WYH8	121	0.003292184284288155	1	0.45098039215686275	0
P57053	109	0.0032688959948290173	1	1.0	0
Q7L7L0	50	0.003276879611453902	1	0.8125	0
Q9BTM1	79	0.0032697915358838024	1	1.0	0
Q96KK5	46	0.003268304106008871	1	1.0	0
Q8N257	226	0.003274023824409211	1	0.9230769230769231	0
Q5QNW6	6	0.003269952994972657	1	1.0	0
Q93077	47	0.0032695425529961496	1	0.9230769230769231	0
P09884	56	0.0032849248259822247	1	0.375	0
O95793	177	0.003389230731444961	1	0.31092436974789917	0
P00338	27	0.0033019632949764337	1	0.4114285714285714	0
P06733	9	0.0033954631969839648	1	0.3074626865671642	0
P19525	74	0.0033062642864519695	1	0.4214876033057851	0
P07195	34	0.003311643733304005	1	0.4064516129032258	0
P33778	45	0.00331916865288598	1	0.8	0
Q96GY0	146	0.003287133808006043	1	0.9230769230769231	0
Q7L4P6	127	0.003304510865627229	1	0.43478260869565216	0
Q9NVV9	154	0.003293953231919706	1	0.2222222222222222	0
Q7L2Z9	2	0.0032767505945926335	1	0.24242424242424243	0
Q9Y287	87	0.0032724547001475794	1	0.17142857142857143	0
Q8N5R6	221	0.003313004006929428	1	0.27184466019417475	0
Q9Y5F6	245	0.0032654320646229398	1	1.0	0
Q9BYX4	122	0.003286224748866036	1	0.52	0
Q8NCM8	17	0.0032706509543075422	1	0.36363636363636365	0
P28370	225	0.003306512644694827	1	0.46	0
Q14576	72	0.0032670553795012473	1	0.8181818181818182	0
P12277	21	0.0032850177172629013	1	0.40625	0
P0C7W6	128	0.003275775370836655	1	0.47368421052631576	0
P43360	145	0.0032842504834724538	1	0.1282051282051282	0
O75533	59	0.0033340613400607236	1	0.45662100456621	0
Q9UKL0	201	0.0033368516128349066	1	0.37894736842105264	0
O75558	52	0.0033057034275445294	1	0.22857142857142856	0
P06241	168	0.003381307409961621	1	0.1473922902494331	0
O96006	116	0.0032906216070869485	1	0.2916666666666667	0
Q7Z434	206	0.0033270948604702667	1	0.34782608695652173	0
Q5JR59	178	0.0033053872226477855	1	0.12980769230769232	0
Q9UPY8	119	0.003275707713623733	1	0.3235294117647059	0
Q9GZV8	173	0.0032726914205062126	1	0.28	0
Q9P1Z3	32	0.003284570274420018	1	1.0	0
Q9Y2G8	185	0.003269608075706334	1	0.3333333333333333	0
Q8N8U2	223	0.0032715761636901257	1	1.0	0
P07947	4	0.0033567155790363503	1	0.25	0
Q8N6Y0	13	0.0033101121808779247	1	0.15384615384615385	0
Q16633	171	0.0032810059723430473	1	0.47368421052631576	0
Q13426	22	0.003294479447709938	1	0.34782608695652173	0
Q8IYA8	135	0.0032868352363431765	1	0.36	0
O14770	181	0.003287524670325143	1	0.3076923076923077	0
P17028	1	0.0033126514067274263	1	0.23863636363636365	0
Q5VSY0	241	0.0032708701952086938	1	0.2608695652173913	0
P23497	164	0.0033657562216698315	1	0.3620689655172414	0
O15379	147	0.0033807763489774397	1	0.3469387755102041	0
Q7Z7J5	28	0.003275866418117253	1	0.3684210526315789	0
P43355	40	0.003282386057308004	1	0.125	0
P20671	70	0.003282458162528192	1	0.6764705882352942	0
P23527	157	0.00327163380417057	1	0.8421052631578947	0
O00327	159	0.0032904672153856165	1	0.3442622950819672	0
O60264	220	0.003362316377944307	1	0.5571428571428572	0
O14981	44	0.003269971547479279	1	0.3333333333333333	0
O95602	62	0.0032940052439160753	1	0.30526315789473685	0
O75928	197	0.003352963143731015	1	0.42696629213483145	0
P12036	230	0.0032693516093812046	1	0.2857142857142857	0
P60022	234	0.0032713604884708125	1	0.5	0
O14686	14	0.003275491665413433	1	0.41025641025641024	0
P0C0S8	49	0.003290892930934507	1	0.6333333333333333	0
P51808	39	0.00327495249661958	1	0.4	0
P18859	224	0.003276845448742714	1	0.10416666666666667	0
O60437	24	0.0032737672840094907	1	0.25806451612903225	0
O76064	161	0.003324501216126848	1	0.5294117647058824	0
Q8N9W6	166	0.0032837757746549414	1	0.2857142857142857	0
O95273	107	0.003291267103462802	1	0.1485148514851485	0
Q8TF71	239	0.0032712068086909827	1	0.07692307692307693	0
O95786	25	0.003290803775696339	1	0.34782608695652173	0
A5A3E0	193	0.0032767033074692876	1	0.12121212121212122	0
