Sample	custom_content_topology-nodes	custom_content_topology-edges	custom_content_topology-seeds	custom_content_topology-diameter	custom_content_topology-components	custom_content_topology-largest_component	custom_content_topology-max_dist_to_seed	custom_content_topology-isolated_nodes
Host_Nucleus.amygdala.diamond	392	12633	192	5.0	7	386	1	6
Host_Nucleus.amygdala.domino	254	1153	73	7.0	1	254	1	0
Host_Nucleus.amygdala.firstneighbor	7007	178875	192	5.0	1	7007	1	0
Host_Nucleus.amygdala.no_tool	192	1187	192	6.0	15	178	0	14
Host_Nucleus.amygdala.robust	233	274	192	14.0	3	231	1	2
Host_Nucleus.amygdala.robust_bias_aware	232	276	192	13.0	4	229	1	3
Host_Nucleus.amygdala.rwr	353	7821	192	7.0	1	353	1	0
Host_Nucleus.brain.diamond	396	12463	196	5.0	9	388	1	8
Host_Nucleus.brain.domino	292	1060	85	7.0	1	292	1	0
Host_Nucleus.brain.firstneighbor	7054	181889	196	5.0	1	7054	1	0
Host_Nucleus.brain.no_tool	196	1166	196	6.0	16	181	0	15
Host_Nucleus.brain.robust	244	305	196	13.0	3	242	1	2
Host_Nucleus.brain.robust_bias_aware	243	305	196	15.0	2	242	1	1
Host_Nucleus.brain.rwr	374	8239	196	7.0	1	374	1	0
Host_Nucleus.dorsal_root_ganglia.diamond	393	12536	193	5.0	7	387	1	6
Host_Nucleus.dorsal_root_ganglia.domino	326	1517	102	7.0	1	326	1	0
Host_Nucleus.dorsal_root_ganglia.firstneighbor	7139	188551	193	5.0	1	7139	1	0
Host_Nucleus.dorsal_root_ganglia.no_tool	193	1180	193	6.0	15	179	0	14
Host_Nucleus.dorsal_root_ganglia.robust	229	255	193	28.0	6	224	1	5
Host_Nucleus.dorsal_root_ganglia.robust_bias_aware	230	257	193	22.0	6	225	1	5
Host_Nucleus.dorsal_root_ganglia.rwr	363	8379	193	6.0	1	363	1	0
Host_Nucleus.hypothalamus.diamond	392	12518	192	4.0	7	386	1	6
Host_Nucleus.hypothalamus.domino	378	1812	96	6.0	1	378	1	0
Host_Nucleus.hypothalamus.firstneighbor	6977	179847	192	5.0	1	6977	1	0
Host_Nucleus.hypothalamus.no_tool	192	1156	192	6.0	15	178	0	14
Host_Nucleus.hypothalamus.robust	230	273	192	15.0	4	227	1	3
Host_Nucleus.hypothalamus.robust_bias_aware	230	285	192	14.0	3	228	1	2
Host_Nucleus.hypothalamus.rwr	364	7998	192	7.0	1	364	1	0
Host_Nucleus.salivary_gland.diamond	395	12557	195	5.0	9	387	1	8
Host_Nucleus.salivary_gland.domino	287	1524	81	6.0	1	287	1	0
Host_Nucleus.salivary_gland.firstneighbor	7067	185248	195	5.0	1	7067	1	0
Host_Nucleus.salivary_gland.no_tool	195	1209	195	6.0	15	181	0	14
Host_Nucleus.salivary_gland.robust	234	262	195	17.0	3	232	1	2
Host_Nucleus.salivary_gland.robust_bias_aware	236	268	195	17.0	4	233	1	3
Host_Nucleus.salivary_gland.rwr	458	11778	195	6.0	1	458	1	0
Host_Nucleus.uniprot_ppi.diamond	445	14378	245	5.0	10	436	1	9
Host_Nucleus.uniprot_ppi.domino	416	2140	105	6.0	1	416	1	0
Host_Nucleus.uniprot_ppi.firstneighbor	9380	253226	245	5.0	1	9380	1	0
Host_Nucleus.uniprot_ppi.no_tool	245	1568	245	6.0	17	229	0	16
Host_Nucleus.uniprot_ppi.robust	287	356	245	18.0	6	282	1	5
Host_Nucleus.uniprot_ppi.robust_bias_aware	286	348	245	12.0	6	281	1	5
Host_Nucleus.uniprot_ppi.rwr	710	22241	245	6.0	1	710	1	0
