source	target
Q15311	Q9HD26
Q15311	P57105
Q15006	Q8WW12
Q15006	Q9UKT9
O43251	P55072
O43251	Q8N9W6
O43251	O43513
P15622	Q9BQ66
P15622	Q9NQZ6
Q7RTU7	P15923
P0CG48	Q8TEY7
P0CG48	Q15843
P0CG48	Q96B97
P0CG48	P55072
P0CG48	O14964
P0CG48	Q9NYJ8
P0CG48	P17980
P0CG48	O00308
P0CG48	Q99816
P0CG48	Q9HAU4
P0CG48	Q9UKT9
P0CG48	Q9BYM8
P0CG48	Q13643
P0CG48	Q9NX40
P0CG48	Q9UHL9
P0CG48	Q96RT1
P0CG48	P68400
P0CG48	P07550
P0CG48	Q7Z6Z7
P0CG48	Q86VP6
P0CG48	Q9H492
P0CG48	Q9Y6K9
P0CG48	P35222
P0CG48	P61981
Q96G25	Q9ULK4
Q9BYM8	P49116
Q9BYM8	Q96PU4
P29972	Q96S65
P29972	Q9UKT9
Q9HAU4	Q9H3M7
Q6NXP0	P78362
Q6NXP0	Q13643
P62136	Q96S65
P62136	P51610
P62136	P55072
Q9BQD3	P17980
Q9BQD3	Q9NQZ6
O95400	Q15427
O95400	Q5VTL8
Q8N4H5	P05067
Q8N4H5	Q9NX40
O00308	Q15637
O00308	P0C7X2
P27986	Q96B97
P27986	Q9NQZ6
Q9H0R8	P17980
Q9H0R8	Q5VTL8
P56524	O00458
P56524	P49116
Q9H3M7	Q13547
P49116	Q12952
P49116	P32970
P35222	O00458
Q7Z6Z7	Q8WW12
Q5TAQ9	Q93062
O00458	Q13547
O00458	Q12952
O00458	Q92769
O00458	P68400
O00458	P32970
O00458	P19525
O00458	Q9BZE4
O43513	O14964
O43513	Q9ULK4
O43559	Q96B97
Q9Y5L4	Q9P1W9
Q9Y5L4	Q15427
Q96PU4	Q8WW12
P08237	O14964
Q13547	Q9Y4K3
Q13547	Q9BSJ6
Q14129	P55072
Q14129	Q9NQZ6
O14964	Q5VSY0
O14964	Q6P1W5
O14964	P35240
Q9BSJ6	O95273
P02545	Q8WW12
P02545	P51617
P0C7X2	Q9NQZ6
Q6NYC1	Q9Y4K3
Q6NYC1	Q5VTL8
P26641	Q15843
P26641	Q5VTL8
Q96S65	P36873
Q96S65	Q8TAU3
Q96S65	Q96SQ5
Q96S65	Q15717
P57105	O75844
P57105	P60709
P57105	P07550
P57105	O15056
P57105	Q8N6Y0
P57105	P05067
Q14289	Q96B97
P51617	Q9Y4K3
P51617	Q9NYJ8
P51617	Q15750
Q92734	Q15843
Q92734	Q8N9W6
Q92734	Q16666
O15056	Q96B97
Q9BQ66	Q8TAU3
Q15427	Q15637
Q15427	Q96RT1
Q15427	P60520
Q9P1W9	Q9Y6K9
P78362	Q5VTL8
P78362	Q01081
P24863	Q9ULK4
P35240	Q5VTL8
Q9ULK4	Q15007
Q9ULK4	Q9NVC6
Q9ULK4	Q9NX70
Q9GZZ9	P55072
Q9GZZ9	Q8N9W6
Q96RT1	Q8WW12
Q9BZE4	Q16666
Q92769	Q9NYJ8
Q9NQZ6	Q9UHL9
Q9NQZ6	Q5VTB9
Q9NQZ6	Q9ULM2
O43542	Q8WW12
O43542	Q9NVC6
Q9HD26	Q5VTB9
Q9HD26	Q96SQ5
P15923	O95273
Q15007	Q16666
Q9UKT9	Q13643
Q15637	Q01081
Q15637	Q8WW12
Q8WW12	Q86VP6
Q8WW12	Q15717
Q9NYJ8	P05067
Q13643	P51610
Q9ULM2	O95273
Q15843	P60709
Q93062	Q8N9W6
Q93062	Q99816
P36873	Q9Y4K3
Q16666	O75844
Q16666	P05067
Q15717	Q96B97
Q5VTL8	Q8TEY7
Q5VTL8	Q9H492
Q5VTL8	P60520
Q5VTL8	P61981
P05067	Q9Y4K3
Q8N6Y0	Q99816
Q9Y4K3	P19525
Q6P1W5	Q8N9W6
