name	submodule	is_seed	spd	component_id
Q9NX70	1	1	0.06976744186046512	0
Q9ULK4	1	1	0.039473684210526314	0
Q96G25	1	1	0.12727272727272726	0
Q9NVC6	1	1	0.0967741935483871	0
P24863	1	1	0.08571428571428572	0
O43513	1	1	0.14285714285714285	0
Q8TB05	1	0	0.5	0
A0JLT2	1	0	0.05405405405405406	0
P51617	2	1	0.056451612903225805	0
Q9Y4K3	2	1	0.03339882121807466	0
Q9NYJ8	2	1	0.09900990099009901	0
Q15750	2	1	0.07575757575757576	0
P49116	2	1	0.1276595744680851	0
Q8IV45	2	0	0.058823529411764705	0
Q8N5C8	2	0	0.23809523809523808	0
Q8IXQ5	2	0	0.10526315789473684	0
Q8N4J0	2	0	0.0967741935483871	0
Q8TF05	2	0	0.034482758620689655	0
Q9UIC8	2	0	0.1111111111111111	0
Q10589	2	0	0.21428571428571427	0
Q15306	2	0	0.1	0
Q12765	2	0	0.2	0
Q8NFM7	2	0	0.14285714285714285	0
Q99706	2	0	0.16666666666666666	0
O14920	2	0	0.040697674418604654	0
O43187	2	0	0.04878048780487805	0
Q5VYS4	2	0	1.0	0
Q96G61	2	0	1.0	0
P30954	2	0	1.0	0
Q9BYM8	3	1	0.09090909090909091	0
Q8N5U6	3	1	0.02564102564102564	0
Q9Y2X8	3	0	0.0375	0
Q99816	4	1	0.023952095808383235	0
O14964	4	1	0.03864734299516908	0
Q86XT2	4	0	0.2222222222222222	0
A6NHR9	4	0	0.03333333333333333	0
A5D8V6	4	0	0.06666666666666667	0
Q15843	5	1	0.018518518518518517	0
Q5TAQ9	5	1	0.02	0
Q9UNS2	5	0	0.03409090909090909	0
Q16762	5	0	0.09090909090909091	0
Q5TIA1	5	0	1.0	0
