name	rank	p_hyper	is_seed	spd	component_id
Q15427	0	0.0	1	0.02654867256637168	0
P51617	0	0.0	1	0.05555555555555555	0
P17980	0	0.0	1	0.08426966292134831	0
Q9HD26	0	0.0	1	0.05555555555555555	0
Q9HAU4	0	0.0	1	0.07526881720430108	0
P55072	0	0.0	1	0.03460837887067395	0
Q99816	0	0.0	1	0.08433734939759036	0
Q9Y4K3	0	0.0	1	0.04142011834319527	0
P0CG48	0	0.0	1	0.039149888143176735	0
Q96B97	0	0.0	1	0.050761421319796954	0
Q15843	0	0.0	1	0.03636363636363636	0
Q9NYJ8	0	0.0	1	0.16831683168316833	0
Q15750	0	0.0	1	0.06153846153846154	0
Q9BYM8	0	0.0	1	0.1323529411764706	0
P51610	0	0.0	1	0.20754716981132076	0
Q14289	0	0.0	1	0.0379746835443038	0
Q8N5U6	0	0.0	1	0.05263157894736842	0
Q9NX70	0	0.0	1	0.5393258426966292	0
Q16666	0	0.0	1	0.04155844155844156	0
Q96JM7	0	0.0	1	0.125	0
Q9ULK4	0	0.0	1	0.3881578947368421	0
Q96G25	0	0.0	1	0.6666666666666666	0
Q9NVC6	0	0.0	1	0.8412698412698413	0
P49116	0	0.0	1	0.20408163265306123	0
P24863	0	0.0	1	0.5714285714285714	0
Q9BSJ6	0	0.0	1	0.13333333333333333	0
Q15007	0	0.0	1	0.23076923076923078	0
Q9H3M7	0	0.0	1	0.1891891891891892	0
O43513	0	0.0	1	0.8163265306122449	0
Q9P1W9	0	0.0	1	0.05	0
Q5VTL8	0	0.0	1	0.058823529411764705	0
Q5TAQ9	0	0.0	1	0.02	0
Q5VSY0	0	0.0	1	0.10526315789473684	0
P08237	0	0.0	1	0.03333333333333333	0
O00308	0	0.0	1	0.08536585365853659	0
O14964	0	0.0	1	0.07729468599033816	0
O43559	0	0.0	1	0.06896551724137931	0
O95273	0	0.0	1	0.039473684210526314	0
O00458	0	0.0	1	0.36363636363636365	0
P04637	96	1.1576321307358229e-10	0	0.1074561403508772	0
P52434	45	6.3249343192381836e-21	0	0.4918032786885246	0
Q15648	16	7.130516326987387e-30	0	0.7282608695652174	0
P09874	99	1.5233767285959104e-10	0	0.1836734693877551	0
P63279	102	1.0202833255892353e-11	0	0.1466346153846154	0
P12931	76	1.3921658913460403e-10	0	0.11386138613861387	0
P84022	153	1.284975684945476e-13	0	0.17080745341614906	0
Q9Y2X0	3	3.261515141771136e-11	0	0.8076923076923077	0
Q9H944	22	1.9512676398802054e-34	0	0.3181818181818182	0
Q9Y6J9	112	7.92083952453288e-14	0	0.6666666666666666	0
Q92793	91	5.671180777920068e-10	0	0.2515923566878981	0
Q9Y6Q9	105	3.246108585049416e-12	0	0.34951456310679613	0
O15265	131	8.709108860075858e-15	0	0.2602739726027397	0
Q9NPA8	136	1.6508634735160737e-11	0	0.5333333333333333	0
Q9UPT9	130	4.756896043254187e-16	0	0.3225806451612903	0
Q9Y4A5	62	2.9251286315400883e-13	0	0.4	0
P20226	93	2.9161582921948487e-11	0	0.3464052287581699	0
Q16594	111	7.471453855822893e-13	0	0.4222222222222222	0
Q12962	109	1.4082987513882285e-13	0	0.5970149253731343	0
O75529	127	4.790054038173533e-15	0	0.5	0
Q92830	72	3.8641125838889346e-11	0	0.4716981132075472	0
