name	rank	p_hyper	is_seed	spd	component_id
Q15427	0	0.0	1	0.017699115044247787	0
P51617	0	0.0	1	0.07518796992481203	0
P17980	0	0.0	1	0.08379888268156424	0
Q9HD26	0	0.0	1	0.047619047619047616	0
Q9HAU4	0	0.0	1	0.09547738693467336	0
P55072	0	0.0	1	0.04044117647058824	0
Q99816	0	0.0	1	0.08571428571428572	0
Q9Y4K3	0	0.0	1	0.04789272030651341	0
P0CG48	0	0.0	1	0.04419889502762431	0
Q96B97	0	0.0	1	0.05472636815920398	0
Q15843	0	0.0	1	0.046263345195729534	0
Q9NYJ8	0	0.0	1	0.18518518518518517	0
Q15750	0	0.0	1	0.08396946564885496	0
Q9BYM8	0	0.0	1	0.14492753623188406	0
P51610	0	0.0	1	0.1926605504587156	0
Q14289	0	0.0	1	0.038461538461538464	0
Q8N5U6	0	0.0	1	0.05128205128205128	0
Q9NX70	0	0.0	1	0.5454545454545454	0
Q16666	0	0.0	1	0.04040404040404041	0
Q96JM7	0	0.0	1	0.12195121951219512	0
Q9ULK4	0	0.0	1	0.37579617834394907	0
Q96G25	0	0.0	1	0.6481481481481481	0
Q9NVC6	0	0.0	1	0.8095238095238095	0
Q5TAQ9	0	0.0	1	0.05555555555555555	0
P49116	0	0.0	1	0.21568627450980393	0
P24863	0	0.0	1	0.5492957746478874	0
Q9BSJ6	0	0.0	1	0.13793103448275862	0
Q15007	0	0.0	1	0.2222222222222222	0
Q01081	0	0.0	1	0.017391304347826087	0
Q9H3M7	0	0.0	1	0.19444444444444445	0
O43513	0	0.0	1	0.8163265306122449	0
Q9P1W9	0	0.0	1	0.1	0
Q5VTL8	0	0.0	1	0.05555555555555555	0
Q5VSY0	0	0.0	1	0.1	0
P08237	0	0.0	1	0.046153846153846156	0
O00308	0	0.0	1	0.09826589595375723	0
O14964	0	0.0	1	0.07042253521126761	0
O43559	0	0.0	1	0.06666666666666667	0
O95273	0	0.0	1	0.06756756756756757	0
O00458	0	0.0	1	0.3333333333333333	0
P04637	114	1.0490931003168567e-12	0	0.09945945945945946	0
Q13363	185	9.369357502637731e-18	0	0.19333333333333333	0
P52434	44	3.0409868012504365e-21	0	0.6833333333333333	0
Q15648	17	7.539925003578661e-32	0	0.7391304347826086	0
P09874	113	3.0627392312743115e-12	0	0.20392156862745098	0
P63279	124	2.2063287931402239e-13	0	0.15	0
P12931	66	3.012170997149199e-11	0	0.12077294685990338	0
Q9Y230	89	3.1224322213343844e-13	0	0.14074074074074075	0
P84022	139	4.4327377038274336e-14	0	0.18154761904761904	0
Q9Y2X0	4	1.1036335129908386e-12	0	0.75	0
Q9H944	23	2.9663945921137695e-34	0	0.32142857142857145	0
