source	target
P12814	P08567
P12814	Q71U36
P14735	P60022
P14735	P07195
Q9Y287	P02545
Q9Y287	Q86WK6
Q9Y287	Q9UK28
P11940	P68431
P11940	P78362
Q96GS6	O60760
Q96GS6	P62258
Q96GS6	Q08379
O14807	Q7Z6Z7
O14807	P62195
O14807	Q92565
O14807	Q8TEU7
O14807	P15056
O14807	P04049
O14807	P42336
Q9Y216	O43739
Q9Y216	P78347
Q7L8A9	Q9NRW1
Q7L8A9	P11142
P84243	P28370
Q8WUI4	Q9HCE1
Q8WUI4	P34897
Q9BX68	P05067
Q9BX68	Q14999
Q9BX68	P34897
Q9UKT9	P0CG48
P49427	Q04206
P49427	Q96PU5
P61981	P68431
P61981	Q5VTL8
P61981	Q8TEU7
P61981	Q9H0H5
Q13200	P36382
Q13200	O95816
O75530	Q9NRP0
O75530	Q9GZV8
O75530	P08238
O96006	O60341
O96006	Q9Y4P9
O75364	P19652
O75364	P0DJI8
O75364	P01024
P27348	P62807
P27348	Q15772
P27348	P58876
P27348	P30556
Q13643	Q6NXP0
Q13643	P29590
Q8IXZ2	O14782
Q8IXZ2	Q08380
Q9H2H9	P00846
Q9H2H9	Q71U36
Q86VW0	Q9BRK4
P63167	Q16666
Q96B97	P0CG48
P62136	Q13243
P62136	Q96S65
P62136	Q96EK5
P62136	P35241
P62136	Q13454
P62136	Q9NVU0
O15392	P62807
O15392	O76095
O15392	P55085
P51532	P68431
P32121	Q5JUX0
P32121	Q71U36
Q96DA0	Q9NS71
Q96DA0	Q00403
Q96R06	Q8N998
Q96R06	Q9BSJ6
Q96R06	Q9H0U9
P43355	Q49A26
Q5SW96	P05549
Q5SW96	O14757
Q5SW96	P05067
Q5SW96	Q6P5S2
Q9UQL6	P68431
Q9UQL6	P34897
P48730	O95295
P48730	P04637
P40692	P36955
P40692	Q9Y265
P06899	P04908
P07339	Q16666
P0C0S8	P68431
Q14525	O60341
Q14457	Q04206
O75828	P0CG48
Q9NS71	P04745
Q9NS71	P01037
Q9NS71	Q6P5S2
Q9NS71	P01876
Q9NS71	P01833
Q9NS71	P30260
Q9NS71	O95071
P29590	Q04206
P29590	O14734
P29590	Q9H159
P29590	O43463
P29590	Q13618
P29590	O15169
P29590	P00533
P62805	P68431
Q13363	O60341
Q9UKV0	Q96ST3
Q02750	P31946
Q9Y572	P05141
Q16633	P78347
Q6NXE6	Q8TF71
Q6NXE6	P07437
P04114	Q99541
P04114	P11142
P05549	Q04206
O43586	P05408
O43586	P07437
P13010	P68431
Q16774	Q9HCE1
P24666	Q6S8J3
P19419	Q01844
Q71U36	Q04206
Q71U36	Q9Y2G8
Q71U36	P60033
Q71U36	P08754
Q71U36	Q15717
Q71U36	P16333
Q71U36	P20231
Q71U36	Q9NQC7
Q71U36	P46108
Q71U36	P68366
Q71U36	Q86YD3
Q9NXF8	Q9HCE1
Q93079	P49736
O60814	P04908
Q5QNW6	P49736
Q12893	Q8N205
Q12893	Q86X19
Q12893	Q9NY72
Q12893	Q9P0N5
Q12893	Q8IVM8
Q12893	Q8IUH5
P08754	O60262
Q96GY0	Q14203
Q96GY0	P23497
Q96GY0	Q9BQE3
P17948	P49763
P17948	P07947
Q9Y6H6	P68104
Q9Y6H6	P04406
O75177	Q15427
O75177	Q92769
O75177	Q96GM5
O95816	Q04206
O95816	Q14999
O95816	Q96SW2
O95816	O95817
O95816	P04049
Q86XP3	Q9HCE1
Q86XP3	P05067
Q04637	P43360
Q04637	Q14240
P0DPB5	O95602
P57105	Q8N6Y0
P57105	P60709
P14210	P38398
Q969G3	Q01850
Q969G3	P68431
O43427	Q14512
O43427	P12004
Q96GN5	Q8WXF8
Q96GN5	P12004
Q7Z434	Q9BYX4
Q7Z434	P19525
Q7Z434	Q9BPW9
Q9Y4K3	P0CG48
P49368	Q5TAQ9
P58876	P49736
Q03519	Q03518
Q03519	P05067
Q8TBF5	Q9UKB1
Q8TBF5	P20309
Q8WVF5	P16591
Q8WVF5	P51116
Q8WVF5	Q5JVL4
Q8WVF5	Q8IZW8
P38398	P62807
P69892	P49736
Q13547	P68431
Q13547	O43463
P67870	Q16666
P67870	Q8N205
P67870	P08572
P13164	P60033
P13164	P20023
P13164	O95870
P13164	P15391
P62993	Q8IZ63
P62993	P08238
P62993	Q14203
P62993	Q8TC12
P62993	P04406
P62993	P07437
Q9BQE3	P05141
Q9BWG6	Q01850
P60709	P62807
P60709	O14770
P60709	P21462
Q7L2Z9	O60341
P25963	P05141
Q15382	P07195
P01024	Q04206
P01024	Q8N9F7
P01024	P25391
Q9NYJ8	P0CG48
Q14192	Q68DY1
Q14192	Q99623
Q15717	O60519
Q15717	Q9P1Z3
Q15717	Q8WUH6
Q15717	O95989
Q15717	Q9ULK4
Q16621	Q96BA8
Q16621	P05114
P51531	P68431
O95639	Q9BRK4
Q9BQ65	Q8N4H5
Q9BQ65	Q9UMS4
Q9NZL4	Q9Y2M0
Q9NRP0	Q9NQ11
Q9NRP0	P05161
Q9NRP0	Q9NUM3
Q9NRP0	P55085
Q9NRP0	Q92838
Q9NRP0	Q9HC97
Q9NRP0	Q15714
Q9NRP0	P16444
P08238	Q04206
P08238	P16591
P08238	Q7Z6Z7
P08238	P17931
P08238	Q9C0B0
P08238	P05161
P08238	Q13620
P08238	O15519
P08238	O00400
P08238	Q9NVF7
P08238	Q00597
P08238	P34947
P08238	Q969U6
P08238	O14775
P08238	P15056
P08238	P04899
P08238	Q13618
Q92882	P02545
Q92882	Q16394
P01100	Q04206
P01100	P05067
P01100	P62195
P01100	P09237
P01100	P51659
P01100	O95789
P35659	P68431
Q99856	P0CG48
P02511	P51668
P02511	P09038
P02511	Q13873
Q96FJ2	P62807
P07437	Q04206
P07437	Q9NQP4
P07437	Q9NRI5
P07437	Q9C0B0
Q9HBV2	P56378
Q9HBV2	Q9H0A8
O75909	Q9BRK4
P06241	P05141
P06241	Q9Y3Q4
P06241	P15391
P06241	P16885
Q13404	P0CG48
P23497	Q9HCE1
Q93009	Q04206
Q93009	P55055
Q93009	P62979
Q93009	O75618
Q93009	Q9P2G9
Q93009	Q9NRD5
P07947	Q9NZI8
P07947	P50990
P07947	Q9HC97
P07947	Q8N5S1
P63165	P0CG48
Q8N205	Q6ZP80
Q9H9H4	Q96GM5
Q96G25	Q9HCE1
Q96G25	P05067
O43889	Q8N682
O43889	O15379
Q9H0A8	Q04206
Q9H0A8	Q969R5
Q9Y5A6	Q9NWS9
Q9NX70	Q9HCE1
P49736	Q93077
P49736	P57053
P49736	Q96KK5
P49736	Q99879
P49736	Q9BTM1
P49736	P98160
P49736	Q8IZW8
Q09028	P68431
Q96JM7	P62807
O95786	P0CG48
Q5D1E8	P0CG48
Q12933	P05141
Q12933	O43557
Q12933	P48436
P31260	Q92769
P98066	P0CG48
P98066	Q99731
Q71SY5	P51610
Q9H3M7	Q04206
P19652	P30041
P19652	Q8N9F7
P19652	Q13188
