name	submodule	is_seed	spd	component_id
Q9NX70	1	1	0.10465116279069768	0
Q9ULK4	1	1	0.08552631578947369	0
Q96G25	1	1	0.16363636363636364	0
Q9NVC6	1	1	0.14516129032258066	0
Q00403	1	1	0.024390243902439025	0
P24863	1	1	0.14285714285714285	0
Q71SY5	1	1	0.175	0
O43513	1	1	0.1836734693877551	0
P23193	1	0	0.04054054054054054	0
Q15035	1	0	0.16666666666666666	0
Q8TB05	1	0	0.5	0
A0JLT2	1	0	0.09009009009009009	0
Q16778	2	1	0.05172413793103448	0
Q92922	2	1	0.15789473684210525	0
Q96GM5	2	1	0.16666666666666666	0
Q8TAQ2	2	1	0.16541353383458646	0
Q969G3	2	1	0.17	0
P51532	2	1	0.09473684210526316	0
P51531	2	1	0.13	0
P28370	2	1	0.17142857142857143	0
O75177	2	1	0.16216216216216217	0
Q9UIG0	2	0	0.13157894736842105	0
Q9BZ95	2	0	0.125	0
Q8NFD5	2	0	0.23684210526315788	0
Q9BZK7	2	0	0.10714285714285714	0
Q02880	2	0	0.1774193548387097	0
Q8WUB8	2	0	0.2413793103448276	0
Q92782	2	0	0.375	0
Q9H8M2	2	0	0.2727272727272727	0
O75531	2	0	0.078125	0
O14497	2	0	0.16666666666666666	0
P78527	3	1	0.06691449814126393	0
P52701	3	1	0.1511627906976744	0
P43246	3	1	0.12307692307692308	0
Q9Y2M0	3	1	0.07142857142857142	0
Q92878	3	1	0.07865168539325842	0
P54132	3	1	0.1375	0
P20585	3	1	0.2222222222222222	0
P40692	3	0	0.07236842105263158	0
O60921	3	0	0.10714285714285714	0
O15287	3	0	0.08	0
O60934	3	0	0.15584415584415584	0
O60341	4	1	0.07604562737642585	0
Q6NSJ2	4	1	0.14285714285714285	0
Q9UKL0	4	1	0.14864864864864866	0
O95295	4	1	0.04411764705882353	0
O00327	4	1	0.12244897959183673	0
Q9NQZ6	4	1	0.06666666666666667	0
Q15276	4	0	0.06666666666666667	0
Q9NNX1	4	0	0.16666666666666666	0
Q6PIW4	4	0	0.058823529411764705	0
Q8N1A0	4	0	1.0	0
Q9NP66	4	0	0.11688311688311688	0
Q567U6	4	0	0.10909090909090909	0
Q2M3C6	4	0	0.2	0
P51617	5	1	0.1532258064516129	0
Q9Y6K9	5	1	0.0700280112044818	0
Q9UHD2	5	1	0.1111111111111111	0
Q9Y4K3	5	1	0.07269155206286837	0
Q13546	5	1	0.07142857142857142	0
Q9NYJ8	5	1	0.12871287128712872	0
Q15750	5	1	0.09848484848484848	0
P49116	5	1	0.19148936170212766	0
Q7Z434	5	1	0.11764705882352941	0
O95786	5	1	0.08333333333333333	0
Q8IV45	5	0	0.11764705882352941	0
Q8N5C8	5	0	0.23809523809523808	0
Q96FA3	5	0	0.2857142857142857	0
Q9BXM7	5	0	0.07936507936507936	0
Q8IXQ5	5	0	0.10526315789473684	0
Q86VP1	5	0	0.07936507936507936	0
Q14142	5	0	0.3333333333333333	0
O75936	5	0	0.125	0
O94826	5	0	0.2	0
O96018	5	0	0.1282051282051282	0
Q8N2H9	5	0	0.35714285714285715	0
Q96P71	5	0	0.2857142857142857	0
Q8N4J0	5	0	0.16129032258064516	0
Q9P202	5	0	0.2	0
Q9HAT8	5	0	0.25	0
Q9NWZ3	5	0	0.5238095238095238	0
Q8TF05	5	0	0.06896551724137931	0
Q9UL19	5	0	0.09090909090909091	0
Q9UIC8	5	0	0.1111111111111111	0
Q9H6S1	5	0	0.4	0
O43318	5	0	0.11494252873563218	0
Q96AX9	5	0	0.3	0
Q10589	5	0	0.21428571428571427	0
Q15306	5	0	0.1	0
P14778	5	0	0.2	0
Q12765	5	0	0.2	0
O94885	5	0	0.15873015873015872	0
Q8NFM7	5	0	0.2857142857142857	0
Q99706	5	0	0.3333333333333333	0
O00206	5	0	0.08888888888888889	0
O76080	5	0	0.15	0
O14836	5	0	0.10344827586206896	0
A7MCY6	5	0	0.25	0
O43657	5	0	0.18181818181818182	0
Q5VYS4	5	0	1.0	0
Q96G61	5	0	1.0	0
P30954	5	0	1.0	0
P12956	6	1	0.05802047781569966	0
P13010	6	1	0.08823529411764706	0
Q9Y5B9	6	1	0.1044776119402985	0
