name	submodule	is_seed	spd	component_id
Q9BUZ4	1	1	0.175	0
Q9BRK4	1	1	0.13636363636363635	0
Q8NHQ1	1	1	0.23076923076923078	0
Q8ND90	1	1	0.1834862385321101	0
Q08379	1	1	0.1262135922330097	0
Q13137	1	1	0.1895424836601307	0
Q7L4P6	1	1	0.3125	0
Q9BSJ6	1	1	0.3	0
Q8N5R6	1	1	0.10526315789473684	0
Q5JR59	1	1	0.16666666666666666	0
Q96S65	1	1	0.2	0
Q8IYA8	1	1	0.15	0
Q01850	1	1	0.09803921568627451	0
Q9NQZ6	1	1	0.14285714285714285	0
O95990	1	1	0.14285714285714285	0
O95273	1	1	0.14473684210526316	0
O75909	1	1	0.13333333333333333	0
O95153	1	1	0.058823529411764705	0
P17036	1	0	0.2222222222222222	0
Q9BUY5	1	0	0.4	0
Q9H7H0	1	0	0.13636363636363635	0
Q07002	1	0	0.12962962962962962	0
Q08117	1	0	0.1015625	0
Q5H9K5	1	0	0.3333333333333333	0
Q96GY3	1	0	0.3076923076923077	0
Q8IVW4	1	0	0.26666666666666666	0
Q96M91	1	0	0.375	0
Q5W5X9	1	0	0.1875	0
Q9H2A7	1	0	0.125	0
Q86VK4	1	0	0.3333333333333333	0
Q7Z4I7	1	0	0.4	0
Q8IXS8	1	0	0.25	0
Q8N1B4	1	0	0.08771929824561403	0
Q63ZY3	1	0	0.18	0
Q8TBE0	1	0	0.47058823529411764	0
Q5TAP6	1	0	0.2857142857142857	0
Q9BXY8	1	0	0.2631578947368421	0
Q9P2Z0	1	0	0.5	0
Q96ME1	1	0	0.16666666666666666	0
Q15973	1	0	0.25	0
Q3B820	1	0	0.19230769230769232	0
Q68DK2	1	0	0.16666666666666666	0
Q96IZ5	1	0	0.3333333333333333	0
P29972	1	0	0.1724137931034483	0
Q96SK3	1	0	1.0	0
Q9ULM2	1	0	0.2631578947368421	0
Q8TCX5	1	0	0.20588235294117646	0
Q96NG3	1	0	0.2857142857142857	0
Q9C0A6	1	0	0.3	0
Q15834	1	0	0.16964285714285715	0
Q9Y3M9	1	0	0.42857142857142855	0
Q6IPM2	1	0	0.36363636363636365	0
P17482	1	0	0.10256410256410256	0
P56279	1	0	0.21739130434782608	0
Q8N143	1	0	0.4166666666666667	0
Q9UBR2	1	0	0.16666666666666666	0
P0C7X2	1	0	0.20454545454545456	0
O75069	1	0	0.15151515151515152	0
Q8N988	1	0	0.3333333333333333	0
Q14584	1	0	0.2	0
Q9BYI3	1	0	0.1111111111111111	0
Q96S90	1	0	0.5	0
Q86UD4	1	0	0.3333333333333333	0
Q9BZL3	1	0	0.375	0
Q8NEP9	1	0	0.4	0
P52737	1	0	0.5	0
Q96LX7	1	0	0.6666666666666666	0
O94967	1	0	0.23076923076923078	0
O95872	1	0	0.26666666666666666	0
P54849	1	0	0.6666666666666666	0
P14207	1	0	1.0	0
Q09FC8	1	0	1.0	0
Q9NX70	2	1	0.10112359550561797	0
Q9ULK4	2	1	0.09868421052631579	0
Q96G25	2	1	0.18518518518518517	0
Q9NVC6	2	1	0.14285714285714285	0
P24863	2	1	0.17142857142857143	0
Q71SY5	2	1	0.1951219512195122	0
Q15007	2	1	0.19230769230769232	0
O43513	2	1	0.22448979591836735	0
O95402	2	0	0.08421052631578947	0
Q8TB05	2	0	0.5	0
A0JLT2	2	0	0.09734513274336283	0
Q8N7E2	2	0	0.4	0
Q9H2P0	3	1	0.17391304347826086	0
Q92922	3	1	0.1794871794871795	0
Q96GM5	3	1	0.16	0
