rank,module,primary_ranking_score,rank_metric_used,significant_pathways_count (FDR<0.05),score_weighted_sumlog,score_mean_log10_p,max_fold_enrichment,min_p_value
1,"('CC_Host_Nucleus/consensus/uniprot_ppi.tsv',)",11.270513569066457,weighted_sumlog,1,11.270513569066457,11.270513569066457,7.217977528089888,5.363971120245815e-12
2,"('CC_Virion_Components/consensus/uniprot_ppi.tsv',)",7.36527084061001,weighted_sumlog,1,7.36527084061001,7.365270840610009,12.405898876404494,4.312500509489808e-08
3,"('CC_Host_Membrane/consensus/uniprot_ppi.tsv',)",6.547366208980809,weighted_sumlog,1,6.547366208980809,6.547366208980809,4.75435645562807,2.835527026170284e-07
4,"('BP_Egress_and_Envelopment/consensus/uniprot_ppi.tsv',)",6.259025076052317,weighted_sumlog,1,6.259025076052317,6.259025076052317,4.524088479144659,5.507758938280239e-07
5,"('BP_Replication_and_Transcription/consensus/uniprot_ppi.tsv',)",5.935159827910072,weighted_sumlog,1,5.935159827910072,5.935159827910072,6.459876338009441,1.1610212592257964e-06
6,"('BP_Assembly_and_Packaging/consensus/uniprot_ppi.tsv',)",4.391515729486728,weighted_sumlog,1,4.391515729486728,4.391515729486728,9.45211342964152,4.059609596957263e-05
7,"('CC_Host_Cytoplasm/consensus/uniprot_ppi.tsv',)",3.7189713741696107,weighted_sumlog,1,3.7189713741696107,3.7189713741696107,7.1744957357519965,0.00019099791476565817
8,"('BP_Entry_and_Uncoating/consensus/uniprot_ppi.tsv',)",3.619883211795425,weighted_sumlog,1,3.619883211795425,3.619883211795425,4.901095852406714,0.0002399478087387274
9,"('BP_Immune_Evasion/consensus/uniprot_ppi.tsv',)",3.312481455044217,weighted_sumlog,1,3.312481455044217,3.312481455044217,4.4109862671660425,0.0004869883197750842
10,"('BP_Uncharacterized/consensus/uniprot_ppi.tsv',)",1.8326140910103697,weighted_sumlog,1,1.8326140910103697,1.8326140910103697,5.838070059484468,0.014702321284242478
