category,cutoff,module_size,TP,sensitivity,precision
BP_Assembly_and_Packaging,4,48,6,0.033707865168539325,0.125
BP_Egress_and_Envelopment,4,217,8,0.0449438202247191,0.03686635944700461
BP_Entry_and_Uncoating,4,70,5,0.028089887640449437,0.07142857142857142
BP_Immune_Evasion,4,138,7,0.03932584269662921,0.050724637681159424
BP_Replication_and_Transcription,4,152,11,0.06179775280898876,0.07236842105263158
BP_Uncharacterized,4,27,0,0.0,0.0
CC_Host_Cytoplasm,4,45,2,0.011235955056179775,0.044444444444444446
CC_Host_Membrane,4,214,10,0.056179775280898875,0.04672897196261682
CC_Host_Nucleus,4,249,20,0.11235955056179775,0.08032128514056225
CC_Virion_Components,4,56,5,0.028089887640449437,0.08928571428571429
BP_Assembly_and_Packaging,5,42,5,0.028089887640449437,0.11904761904761904
BP_Egress_and_Envelopment,5,201,8,0.0449438202247191,0.03980099502487562
BP_Entry_and_Uncoating,5,61,4,0.02247191011235955,0.06557377049180328
BP_Immune_Evasion,5,114,7,0.03932584269662921,0.06140350877192982
BP_Replication_and_Transcription,5,152,11,0.06179775280898876,0.07236842105263158
BP_Uncharacterized,5,24,0,0.0,0.0
CC_Host_Cytoplasm,5,41,2,0.011235955056179775,0.04878048780487805
CC_Host_Membrane,5,190,9,0.05056179775280899,0.04736842105263158
CC_Host_Nucleus,5,245,20,0.11235955056179775,0.08163265306122448
CC_Virion_Components,5,50,5,0.028089887640449437,0.1
BP_Assembly_and_Packaging,6,22,5,0.028089887640449437,0.22727272727272727
BP_Egress_and_Envelopment,6,57,3,0.016853932584269662,0.05263157894736842
BP_Entry_and_Uncoating,6,22,0,0.0,0.0
BP_Immune_Evasion,6,63,5,0.028089887640449437,0.07936507936507936
BP_Replication_and_Transcription,6,73,6,0.033707865168539325,0.0821917808219178
BP_Uncharacterized,6,10,0,0.0,0.0
CC_Host_Cytoplasm,6,8,0,0.0,0.0
CC_Host_Membrane,6,49,4,0.02247191011235955,0.08163265306122448
CC_Host_Nucleus,6,107,11,0.06179775280898876,0.102803738317757
CC_Virion_Components,6,23,4,0.02247191011235955,0.17391304347826086
