Drug,Drug_Bank_ID,Approval Status
Acetylsalicylic acid,DB00945,Approved
Amiloride,DB00594,Approved
Amodiaquine,DB00613,Approved
Berberine,DB04115,Investigational
Betulinic Acid,DB12480,Investigational
Bortezomib,DB00188,Approved
Cepharanthine,DB16824,Approved (Japan)
Emetine,DB13393,Approved
Emodin,DB07715,Investigational
Etanercept,DB00005,Approved
Flavopiridol,DB03496,Investigational
Homoharringtonine,DB04865,Approved
Ilaprazole,DB11964,Investigational
Indomethacin,DB00328,Approved
Leflunomide,DB01097,Approved
Merimepodib (also VX-497),DB04862,Investigational
Mitoxantrone,DB01204,Approved
Monensin,DB11430,Approved
Navitoclax,DB12340,Investigational
Nelfinavir,DB00220,Approved
Niclosamide,DB06803,Approved
Nitroprusside,DB00325,Approved
Novobiocin,DB01051,Approved
Obatoclax,DB12191,Investigational
Podofilox,DB01179,Approved
Quercetin,DB04216,Investigational
Raloxifene,DB00481,Approved
Regorafenib,DB08896,Approved
Resveratrol,DB02709,Investigational
Seliciclib,DB06195,Investigational
Sorafenib,DB00398,Approved
Tamoxifen,DB00675,Approved
Umifenovir,DB13609,Approved
