cmpdname,drugbank_id,atc_code,atc_label
Aminolevulinic Acid,DB00855,L01,Antineoplastic agents 
Acetic Acid,DB03166,G01,Gynecological antiinfectives and antiseptics 
Acetic Acid,DB03166,S02,Otologicals 
Acetylcholine,DB03128,S01,Ophthalmologicals 
Quinacrine,DB01103,P01,Antiprotozoals 
Benzyl Alcohol,DB06770,P03,"Ectoparasiticides, incl. scabicides, insecticides and repellents "
Betaine,DB06756,A16,Other alimentary tract and metabolism products 
Carbon Dioxide,DB09157,V03,All other therapeutic products 
Carbon Monoxide,DB11588,V04,Diagnostic agents
Citric Acid,DB04272,A09,"Digestives, incl. enzymes "
Hydrochloric Acid,DB13366,A09,"Digestives, incl. enzymes "
Hydrochloric Acid,DB13366,B05,Blood substitutes and perfusion solutions 
Phloroglucinol,DB12944,A03,Drugs for functional gastrointestinal disorders 
Bupropion,DB01156,N06,Psychoanaleptics 
Phosphonoacetic acid,DB02823,J05,Antivirals for systemic use 
Aminocaproic acid,DB00513,B02,Antihemorrhagics 
Lactic Acid,DB04398,G01,Gynecological antiinfectives and antiseptics 
Dimethyl Sulfoxide,DB01093,G04,Urologicals 
Dimethyl Sulfoxide,DB01093,M02,Topical products for joint and muscular pain 
Dopamine,DB00988,C01,Cardiac therapy 
Glycine,DB00145,B05,Blood substitutes and perfusion solutions 
Hydrogen Peroxide,DB11091,A01,Stomatological preparations 
Hydrogen Peroxide,DB11091,D08,Antiseptics and disinfectants 
Hydrogen Peroxide,DB11091,S02,Otologicals 
Iodine,DB05382,D08,Antiseptics and disinfectants 
Racemethionine,DB13972,V03,All other therapeutic products 
Inositol,DB03106,A11,Vitamins
Melatonin,DB01065,N05,Psycholeptics 
Niacinamide,DB02701,A11,Vitamins
Nicotinic acid,DB00627,C04,Peripheral vasodilators 
Nicotinic acid,DB00627,C10,Lipid modifying agents 
Nitrogen,DB09152,V03,All other therapeutic products 
Nitrous Oxide,DB06690,N01,Anesthetics 
Oxygen,DB09140,V03,All other therapeutic products 
4-Aminobenzoic Acid,DB02362,D02,Emollients and protectives 
Phenol,DB03255,C05,Vasoprotectives 
Phenol,DB03255,D08,Antiseptics and disinfectants 
Phenol,DB03255,N01,Anesthetics 
Phenol,DB03255,R02,Throat preparations 
1-Propanol,DB03175,C10,Lipid modifying agents 
1-Propanol,DB03175,D08,Antiseptics and disinfectants 
Pyrazinamide,DB00339,J04,Antimycobacterials 
Pyridoxal phosphate,DB00114,A11,Vitamins
Pyridoxine,DB00165,A11,Vitamins
Thiamine,DB00152,A11,Vitamins 
Urea,DB03904,B05,Blood substitutes and perfusion solutions 
Urea,DB03904,D02,Emollients and protectives 
Gallopamil,DB12923,C08,Calcium channel blockers 
Mandelic Acid,DB13218,B05,Blood substitutes and perfusion solutions 
Mandelic Acid,DB13218,J01,Antibacterials for systemic use
Meglutol,DB04377,C10,Lipid modifying agents 
Pleconaril,DB05105,J05,Antivirals for systemic use 
Phenytoin,DB00252,N03,Antiepileptics 
Oxyquinoline,DB11145,A01,Stomatological preparations 
Oxyquinoline,DB11145,D08,Antiseptics and disinfectants 
Oxyquinoline,DB11145,G01,Gynecological antiinfectives and antiseptics 
Oxyquinoline,DB11145,R02,Throat preparations 
Tacrine,DB00382,N06,Psychoanaleptics 
Acebutolol,DB01193,C07,Beta blocking agents 
Aceclidine,DB13262,S01,Ophthalmologicals 
Acemetacin,DB13783,M01,Antiinflammatory and antirheumatic products 
Acetarsol,DB13268,A07,"Antidiarrheals, intestinal antiinflammatory/antiinfective agents "
Acetarsol,DB13268,G01,Gynecological antiinfectives and antiseptics 
Acetarsol,DB13268,P01,Antiprotozoals 
Acetazolamide,DB00819,S01,Ophthalmologicals 
Acetohexamide,DB00414,A10,Drugs used in diabetes 
Acetohydroxamic Acid,DB00551,G04,Urologicals 
Methacholine,DB06709,V04,Diagnostic agents
Acetylleucine,DB13226,N07,Other nervous system drugs 
Alaproclate,DB13233,N06,Psychoanaleptics 
Albendazole,DB00518,P02,Anthelmintics 
Albuterol,DB01001,R03,Drugs for obstructive airway diseases 
Albuterol,DB01001,R03,Drugs for obstructive airway diseases 
Alendronic Acid,DB00630,M05,Drugs for treatment of bone diseases 
Alfuzosin,DB00346,G04,Urologicals 
Alminoprofen,DB13314,M01,Antiinflammatory and antirheumatic products 
Alosetron,DB00969,A03,Drugs for functional gastrointestinal disorders 
Alprazolam,DB00404,N05,Psycholeptics 
Alprenolol,DB00866,C07,Beta blocking agents 
Altretamine,DB00488,L01,Antineoplastic agents
Amantadine,DB00915,N04,Anti-parkinson drugs 
Ambenonium,DB01122,N07,Other nervous system drugs 
Ambroxol,DB06742,R02,Throat preparations 
Ambroxol,DB06742,R05,Cough and cold preparations 
Diatrizoic Acid,DB00271,V08,Contrast media 
Amifostine,DB01143,V03,All other therapeutic products 
Aminoglutethimide,DB00357,L02,Endocrine therapy 
Aminohippuric acid,DB00345,V04,Diagnostic agents 
Theophylline,DB00277,R03,Drugs for obstructive airway diseases 
Amiodarone,DB01118,C01,Cardiac therapy 
Amisulpride,DB06288,N05,Psycholeptics 
Amitriptyline,DB00321,N06,Psychoanaleptics 
Amlexanox,DB01025,A01,Stomatological preparations 
Amlexanox,DB01025,R03,Drugs for obstructive airway diseases
Amlodipine,DB00381,C08,Calcium channel blockers 
Amobarbital,DB01351,N05,Psycholeptics 
Amodiaquine,DB00613,P01,Antiprotozoals 
Amoxapine,DB00543,N06,Psychoanaleptics 
Amsacrine,DB00276,L01,Antineoplastic agents
Anastrozole,DB01217,L02,Endocrine therapy 
Anethole trithione,DB13853,A16,Other alimentary tract and metabolism products 
Aniracetam,DB04599,N06,Psychoanaleptics 
Antazoline,DB08799,R01,Nasal preparations 
Antazoline,DB08799,R06,Antihistamines for systemic use 
Anthralin,DB11157,D05,Antipsoriatics 
Antipyrine,DB01435,N02,Analgesics 
Antipyrine,DB01435,S02,Otologicals 
Apraclonidine,DB00964,S01,Ophthalmologicals 
Aprindine,DB01429,C01,Cardiac therapy 
Aspirin,DB00945,N02,Analgesics 
Aspirin,DB00945,B01,Antithrombotic agents 
Aspirin,DB00945,A01,Stomatological preparations 
Astemizole,DB00637,R06,Antihistamines for systemic use 
Atenolol,DB00335,C07,Beta blocking agents 
Azathioprine,DB00993,L04,Immunosuppressants 
Azelaic Acid,DB00548,D10,Anti-acne preparations 
Azelastine,DB00972,R01,Nasal preparations 
Azelastine,DB00972,R06,Antihistamines for systemic use 
Azelastine,DB00972,S01,Ophthalmologicals 
Baclofen,DB00181,M03,Muscle relaxants 
Bamethan,DB13206,C04,Peripheral vasodilators 
Barbital,DB01483,N05,Psycholeptics 
Befunolol,DB09013,S01,Ophthalmologicals 
Bemegride,DB13740,R07,Other respiratory system products 
Bencyclane,DB13488,C04,Peripheral vasodilators 
Bendazac,DB13501,M02,Topical products for joint and muscular pain 
Bendazac,DB13501,S01,Ophthalmologicals 
Bendroflumethiazide,DB00436,C03,Diuretics 
Benfluorex,DB09022,A10,Drugs used in diabetes 
Benproperine,DB13309,R05,Cough and cold preparations 
Benzbromarone,DB12319,M04,Antigout preparations 
Benzethonium,DB11125,R02,Throat preparations 
Benzyl Benzoate,DB00676,P03,"Ectoparasiticides, incl. scabicides, insecticides and repellents "
Bepridil,DB01244,C08,Calcium channel blockers 
Bergapten,DB12216,D05,Antipsoriatics 
Betahistine,DB06698,N07,Other nervous system drugs 
Bethanidine,DB00217,C02,Antihypertensives 
Betaxolol,DB00195,C07,Beta blocking agents 
Betaxolol,DB00195,S01,Ophthalmologicals 
Bethanechol,DB01019,N07,Other nervous system drugs 
Bevantolol,DB01295,C07,Beta blocking agents 
Bicalutamide,DB01128,L02,Endocrine therapy 
Bifemelane,DB13550,N06,Psychoanaleptics 
