ensembl_id,symbol,Advanced Clinical,Approved Drug,Druggable Family,High-Quality Ligand,High-Quality Pocket,Med-Quality Pocket,Phase 1 Clinical,Structure with Ligand,uniprot_id,druggability_rank
ENSG00000160194,NDUFV3,False,True,False,False,False,False,False,True,P56181,1
ENSG00000196361,ELAVL3,False,False,False,True,False,False,False,False,Q14576,4
ENSG00000103653,CSK,False,False,True,True,True,False,False,True,P41240,4
ENSG00000159399,HK2,False,False,False,True,True,False,False,True,P52789,4
ENSG00000089685,BIRC5,False,False,True,True,False,True,False,False,O15392,4
ENSG00000130066,SAT1,False,False,False,True,True,False,False,True,P21673,4
ENSG00000168710,AHCYL1,False,False,False,True,False,True,False,True,O43865,4
ENSG00000204271,SPIN3,False,False,False,True,False,False,False,False,Q5JUX0,4
ENSG00000110195,FOLR1,False,False,False,True,False,False,False,True,P15328,4
ENSG00000137133,HINT2,False,False,False,False,False,False,False,True,Q9BX68,5
ENSG00000198856,OSTC,False,False,False,False,False,False,False,True,Q9NRP0,5
ENSG00000178982,EIF3K,False,False,False,False,False,False,False,True,Q9UBQ5,5
ENSG00000150991,UBC,False,False,False,False,True,False,False,True,P0CG48,5
ENSG00000133265,HSPBP1,False,False,False,False,True,False,False,True,Q9NZL4,5
ENSG00000157873,TNFRSF14,False,False,False,False,False,False,False,True,Q92956,5
ENSG00000139194,RBP5,False,False,False,False,True,False,False,True,P82980,5
ENSG00000182197,EXT1,False,False,False,False,False,False,False,True,Q16394,5
ENSG00000168148,H3-4,False,False,False,False,False,False,False,True,Q16695,5
ENSG00000106615,RHEB,False,False,False,False,False,False,False,True,Q15382,5
ENSG00000156587,UBE2L6,False,False,False,False,False,False,False,True,O14933,5
ENSG00000117305,HMGCL,False,False,False,False,True,False,False,True,P35914,5
ENSG00000125730,C3,False,False,False,False,True,False,False,True,P01024,5
ENSG00000239672,NME1,False,False,False,False,False,True,False,True,P15531,5
ENSG00000124160,NCOA5,False,False,False,False,False,False,False,True,Q9HCD5,5
ENSG00000119630,PGF,False,False,False,False,False,False,False,True,P49763,5
ENSG00000127191,TRAF2,False,False,False,False,True,False,False,False,Q12933,6
ENSG00000114209,PDCD10,False,False,False,False,False,True,False,False,Q9BUL8,7
ENSG00000107295,SH3GL2,False,False,False,False,False,True,False,False,Q99962,7
ENSG00000072195,SPEG,False,False,True,False,False,False,False,False,Q15772,8
