drugbank_id,drug_score,drug_neg_log_score,trustrank,drug_name,drug_atc_code,drug_atc_label,uniprot_id,symbol,ensembl_id,drug|protein,interaction_label,actions
DB02107,9.5097952365942e-05,4.021828834121957,1,,,,P35372,OPRM1,ENSG00000112038,DB02107|P35372,,
DB02107,9.5097952365942e-05,4.021828834121957,1,,,,P03372,ESR1,ENSG00000091831,DB02107|P03372,,
DB02107,9.5097952365942e-05,4.021828834121957,1,,,,P30536,TSPO,ENSG00000100300,DB02107|P30536,,
DB02107,9.5097952365942e-05,4.021828834121957,1,,,,P07437,TUBB,ENSG00000196230,DB02107|P07437,,
DB02107,9.5097952365942e-05,4.021828834121957,1,,,,Q02750,MAP2K1,ENSG00000169032,DB02107|Q02750,,
DB02107,9.5097952365942e-05,4.021828834121957,1,,,,P56181,NDUFV3,ENSG00000160194,DB02107|P56181,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,R01,Nasal preparations ,P35372,OPRM1,ENSG00000112038,DB00162|P35372,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,R01,Nasal preparations ,P03372,ESR1,ENSG00000091831,DB00162|P03372,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,R01,Nasal preparations ,P30536,TSPO,ENSG00000100300,DB00162|P30536,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,R01,Nasal preparations ,P07437,TUBB,ENSG00000196230,DB00162|P07437,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,R01,Nasal preparations ,Q02750,MAP2K1,ENSG00000169032,DB00162|Q02750,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,R01,Nasal preparations ,P56181,NDUFV3,ENSG00000160194,DB00162|P56181,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,S01,Ophthalmologicals,P35372,OPRM1,ENSG00000112038,DB00162|P35372,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,S01,Ophthalmologicals,P03372,ESR1,ENSG00000091831,DB00162|P03372,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,S01,Ophthalmologicals,P30536,TSPO,ENSG00000100300,DB00162|P30536,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,S01,Ophthalmologicals,P07437,TUBB,ENSG00000196230,DB00162|P07437,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,S01,Ophthalmologicals,Q02750,MAP2K1,ENSG00000169032,DB00162|Q02750,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,S01,Ophthalmologicals,P56181,NDUFV3,ENSG00000160194,DB00162|P56181,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,A11,Vitamins ,P35372,OPRM1,ENSG00000112038,DB00162|P35372,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,A11,Vitamins ,P03372,ESR1,ENSG00000091831,DB00162|P03372,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,A11,Vitamins ,P30536,TSPO,ENSG00000100300,DB00162|P30536,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,A11,Vitamins ,P07437,TUBB,ENSG00000196230,DB00162|P07437,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,A11,Vitamins ,Q02750,MAP2K1,ENSG00000169032,DB00162|Q02750,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,A11,Vitamins ,P56181,NDUFV3,ENSG00000160194,DB00162|P56181,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,D10,Anti-acne preparations ,P35372,OPRM1,ENSG00000112038,DB00162|P35372,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,D10,Anti-acne preparations ,P03372,ESR1,ENSG00000091831,DB00162|P03372,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,D10,Anti-acne preparations ,P30536,TSPO,ENSG00000100300,DB00162|P30536,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,D10,Anti-acne preparations ,P07437,TUBB,ENSG00000196230,DB00162|P07437,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,D10,Anti-acne preparations ,Q02750,MAP2K1,ENSG00000169032,DB00162|Q02750,,
DB00162,7.577595818642829e-05,4.1204685632751215,2,Retinol,D10,Anti-acne preparations ,P56181,NDUFV3,ENSG00000160194,DB00162|P56181,,
DB01593,5.469787326561983e-05,4.262029559351425,3,,,,P35372,OPRM1,ENSG00000112038,DB01593|P35372,,
DB01593,5.469787326561983e-05,4.262029559351425,3,,,,P03372,ESR1,ENSG00000091831,DB01593|P03372,target_positiveEffect,cofactor
DB01593,5.469787326561983e-05,4.262029559351425,3,,,,P30536,TSPO,ENSG00000100300,DB01593|P30536,,
DB01593,5.469787326561983e-05,4.262029559351425,3,,,,P07437,TUBB,ENSG00000196230,DB01593|P07437,,
DB01593,5.469787326561983e-05,4.262029559351425,3,,,,Q02750,MAP2K1,ENSG00000169032,DB01593|Q02750,,
DB01593,5.469787326561983e-05,4.262029559351425,3,,,,P56181,NDUFV3,ENSG00000160194,DB01593|P56181,,
DB14487,5.469787326561983e-05,4.262029559351425,3,Zinc Acetate,A16,Other alimentary tract and metabolism products ,P35372,OPRM1,ENSG00000112038,DB14487|P35372,,
DB14487,5.469787326561983e-05,4.262029559351425,3,Zinc Acetate,A16,Other alimentary tract and metabolism products ,P03372,ESR1,ENSG00000091831,DB14487|P03372,,
DB14487,5.469787326561983e-05,4.262029559351425,3,Zinc Acetate,A16,Other alimentary tract and metabolism products ,P30536,TSPO,ENSG00000100300,DB14487|P30536,,
DB14487,5.469787326561983e-05,4.262029559351425,3,Zinc Acetate,A16,Other alimentary tract and metabolism products ,P07437,TUBB,ENSG00000196230,DB14487|P07437,,
